MF,Name,mean.log2.fc,p,signif,bact.cor.pearson,bactlm.p.adj,SIRIUS_molecularFormula,SIRIUS_name
HNeg_1107,Unknown,1.0145986871478048,0.00926,TRUE,0.28077236541478,0.056905494491240896,NA,NA
HNeg_1191,Unknown,-1.0640806620612484,8.04e-5,TRUE,-0.27780952302961814,0.05931923153294839,NA,NA
HNeg_1293,Unknown,-2.031244234235432,0.00888,TRUE,-0.09304251698030198,0.5552787997922027,NA,NA
HNeg_1383,Unknown,-0.5889549239526951,0.00473,TRUE,-0.47408538452071364,8.757872380022263e-4,NA,NA
HNeg_1436,Unknown,1.4679027232163533,0.0142,TRUE,-0.2502408296413493,0.08961536377931335,NA,NA
HNeg_1473,Unknown,1.9253494242691007,0.00616,TRUE,-0.08996117811530845,0.5665664758617737,NA,NA
HNeg_1494,Unknown,1.4450787505453373,0.0228,TRUE,-0.3632135844926505,0.014719860892251767,NA,NA
HNeg_1671,Unknown,1.1400081769416623,0.0223,TRUE,-0.030657411921988897,0.8608453464150991,NA,NA
HNeg_1712,Unknown,1.4114225855249045,0.00878,TRUE,0.21924838233393162,0.13983680569222404,NA,NA
HNeg_1770,Unknown,-2.164247365872603,0.0273,TRUE,-0.027650592067498307,0.8761289567470505,C9H8N4O3,null
HNeg_1811,Unknown,1.4894339026487355,0.0358,TRUE,-0.05425833384503243,0.747196144021459,NA,NA
HNeg_1828,Unknown,1.4154624580380557,0.00934,TRUE,-0.052140192104030036,0.7545076246643346,NA,NA
HNeg_2041,Unknown,-2.5534505032914194,0.00242,TRUE,-0.20433558566197024,0.17125603914951507,NA,NA
HNeg_2101,Unknown,1.4249667414564122,0.00256,TRUE,0.02364845635528355,0.8943503260067954,NA,NA
HNeg_2171,Unknown,-0.8642453421517512,0.00395,TRUE,-0.4825920842489885,6.837388160343294e-4,NA,NA
HNeg_2311,Unknown,-1.0775833727732613,0.0159,TRUE,-0.47535738648200815,8.492836346940035e-4,NA,NA
HNeg_2406,Unknown,-1.1569287734305271,5.78e-5,TRUE,-0.030732967294302364,0.7924744835849807,NA,NA
HNeg_2428,Unknown,-1.5828473244888681,5.7e-6,TRUE,-0.11389266109038745,0.2823480390304651,NA,NA
HNeg_2488,Unknown,-0.755361348314155,0.0051,TRUE,-0.2699433288367706,0.06579357556447785,NA,NA
HNeg_2495,Unknown,2.5003772702874016,0.00306,TRUE,-0.2072923481208131,0.1652416277488738,NA,NA
HNeg_2543,Unknown,-1.2782356553928116,0.0183,TRUE,0.11019296527853963,0.48075925254545393,NA,NA
HNeg_2635,Sucrose,-1.1561085942897211,6.72e-6,TRUE,-0.2925625707998322,0.0050711950398701355,C10H20N3O10,null
HNeg_2736,Unknown,-1.5467621860625362,0.027,TRUE,-0.3174891797025298,0.034300329487165285,C19H12O3,NA
HNeg_2778,Unknown,-1.1847670204180065,0.0033,TRUE,-0.3306956175727759,0.027034981880676254,C8H19ClN8O5,NA
