SampID,MF,Area
200929_Poo_TruePooMortality_Full4,"Cytosine, 13C2, 15N3",132248616
200929_Poo_TruePooMortality_Full5,"Cytosine, 13C2, 15N3",115836592
200929_Poo_TruePooMortality_Full6,"Cytosine, 13C2, 15N3",234277584
200929_Poo_TruePooMortality_Half1,"Cytosine, 13C2, 15N3",149357808
200929_Poo_TruePooMortality_Half2,"Cytosine, 13C2, 15N3",84880144
200929_Poo_TruePooMortality_Half3,"Cytosine, 13C2, 15N3",70494672
200929_Poo_TruePooMortality_Half4,"Cytosine, 13C2, 15N3",64810696
200929_Poo_TruePooMortality_Half5,"Cytosine, 13C2, 15N3",52893488
200929_Poo_TruePooMortality_Half6,"Cytosine, 13C2, 15N3",103815056
200929_Smp_A_1C_T0,"Cytosine, 13C2, 15N3",130485976
200929_Smp_A_1C_T12,"Cytosine, 13C2, 15N3",135591520
200929_Smp_A_1C_T18,"Cytosine, 13C2, 15N3",169781808
200929_Smp_A_1C_T24,"Cytosine, 13C2, 15N3",251838896
200929_Smp_A_1C_T30,"Cytosine, 13C2, 15N3",207097760
200929_Smp_A_1C_T36,"Cytosine, 13C2, 15N3",198129264
200929_Smp_A_1C_T42,"Cytosine, 13C2, 15N3",176052928
200929_Smp_A_1C_T48,"Cytosine, 13C2, 15N3",150525648
200929_Smp_A_1C_T6,"Cytosine, 13C2, 15N3",129671064
200929_Smp_A_3LV_T0,"Cytosine, 13C2, 15N3",116982784
200929_Smp_A_3LV_T12,"Cytosine, 13C2, 15N3",251709136
200929_Smp_A_3LV_T24,"Cytosine, 13C2, 15N3",256182048
200929_Smp_A_3LV_T36,"Cytosine, 13C2, 15N3",217037024
200929_Smp_A_3LV_T48,"Cytosine, 13C2, 15N3",164354064
200929_Smp_A_4LGV_T0,"Cytosine, 13C2, 15N3",151915600
200929_Smp_A_4LGV_T12,"Cytosine, 13C2, 15N3",238006416
200929_Smp_A_4LGV_T24,"Cytosine, 13C2, 15N3",126864728
200929_Smp_A_4LGV_T36,"Cytosine, 13C2, 15N3",302074464
200929_Smp_A_4LGV_T48,"Cytosine, 13C2, 15N3",308523872
200929_Smp_A_6HV_T0,"Cytosine, 13C2, 15N3",242170992
200929_Smp_A_6HV_T12,"Cytosine, 13C2, 15N3",155788496
200929_Smp_A_6HV_T24,"Cytosine, 13C2, 15N3",134821616
200929_Smp_A_6HV_T36,"Cytosine, 13C2, 15N3",261660800
200929_Smp_A_6HV_T48,"Cytosine, 13C2, 15N3",136550672
200929_Smp_A_8G_T0,"Cytosine, 13C2, 15N3",144974256
200929_Smp_A_8G_T48,"Cytosine, 13C2, 15N3",169924336
200929_Smp_A_9V_T0,"Cytosine, 13C2, 15N3",166295776
200929_Poo_TruePooMortality_Full1,"DL-Alanine, 2H3",50484212
200929_Poo_TruePooMortality_Full2,"DL-Alanine, 2H3",46616968
200929_Poo_TruePooMortality_Full3,"DL-Alanine, 2H3",44900980
200929_Poo_TruePooMortality_Full4,"DL-Alanine, 2H3",48126544
200929_Poo_TruePooMortality_Full5,"DL-Alanine, 2H3",66349784
200929_Poo_TruePooMortality_Full6,"DL-Alanine, 2H3",40994836
200929_Poo_TruePooMortality_Half1,"DL-Alanine, 2H3",27994966
200929_Poo_TruePooMortality_Half2,"DL-Alanine, 2H3",23394366
200929_Poo_TruePooMortality_Half3,"DL-Alanine, 2H3",24177982
200929_Poo_TruePooMortality_Half4,"DL-Alanine, 2H3",24849172
200929_Poo_TruePooMortality_Half5,"DL-Alanine, 2H3",31265320
200929_Poo_TruePooMortality_Half6,"DL-Alanine, 2H3",20865456
200929_Smp_A_1C_T0,"DL-Alanine, 2H3",53163244
200929_Smp_A_1C_T12,"DL-Alanine, 2H3",50715176
200929_Smp_A_1C_T18,"DL-Alanine, 2H3",50338540
200929_Smp_A_1C_T24,"DL-Alanine, 2H3",47839968
200929_Smp_A_1C_T30,"DL-Alanine, 2H3",49292900
200929_Smp_A_1C_T36,"DL-Alanine, 2H3",39151828
200929_Smp_A_1C_T42,"DL-Alanine, 2H3",43303176
200929_Smp_A_1C_T48,"DL-Alanine, 2H3",44846308
200929_Smp_A_1C_T6,"DL-Alanine, 2H3",48512908
200929_Smp_A_3LV_T0,"DL-Alanine, 2H3",53721384
200929_Smp_A_3LV_T12,"DL-Alanine, 2H3",47186140
200929_Smp_A_3LV_T24,"DL-Alanine, 2H3",54650068
200929_Smp_A_3LV_T36,"DL-Alanine, 2H3",42807360
200929_Smp_A_3LV_T48,"DL-Alanine, 2H3",43429524
200929_Smp_A_4LGV_T0,"DL-Alanine, 2H3",51690840
200929_Smp_A_4LGV_T12,"DL-Alanine, 2H3",53574124
200929_Smp_A_4LGV_T24,"DL-Alanine, 2H3",51751248
200929_Smp_A_4LGV_T36,"DL-Alanine, 2H3",42994168
200929_Smp_A_4LGV_T48,"DL-Alanine, 2H3",49024624
200929_Smp_A_6HV_T0,"DL-Alanine, 2H3",56933708
200929_Smp_A_6HV_T12,"DL-Alanine, 2H3",53241516
200929_Smp_A_6HV_T24,"DL-Alanine, 2H3",42477432
200929_Smp_A_6HV_T36,"DL-Alanine, 2H3",49169344
200929_Smp_A_6HV_T48,"DL-Alanine, 2H3",52662672
200929_Smp_A_8G_T0,"DL-Alanine, 2H3",49695064
200929_Smp_A_8G_T48,"DL-Alanine, 2H3",49535628
200929_Smp_A_9V_T0,"DL-Alanine, 2H3",50205724
200929_Poo_TruePooMortality_Full1,"DL-Histidine, 15N",283878752
200929_Poo_TruePooMortality_Full2,"DL-Histidine, 15N",252916272
200929_Poo_TruePooMortality_Full3,"DL-Histidine, 15N",252249936
200929_Poo_TruePooMortality_Full4,"DL-Histidine, 15N",266473152
200929_Poo_TruePooMortality_Full5,"DL-Histidine, 15N",280876544
200929_Poo_TruePooMortality_Full6,"DL-Histidine, 15N",209599104
200929_Poo_TruePooMortality_Half1,"DL-Histidine, 15N",146955712
200929_Poo_TruePooMortality_Half2,"DL-Histidine, 15N",116335128
200929_Poo_TruePooMortality_Half3,"DL-Histidine, 15N",133205176
200929_Poo_TruePooMortality_Half4,"DL-Histidine, 15N",139260272
200929_Poo_TruePooMortality_Half5,"DL-Histidine, 15N",150807104
200929_Poo_TruePooMortality_Half6,"DL-Histidine, 15N",90736816
200929_Smp_A_1C_T0,"DL-Histidine, 15N",279527264
200929_Smp_A_1C_T12,"DL-Histidine, 15N",292689280
200929_Smp_A_1C_T18,"DL-Histidine, 15N",259845696
200929_Smp_A_1C_T24,"DL-Histidine, 15N",229493440
200929_Smp_A_1C_T30,"DL-Histidine, 15N",229597344
200929_Smp_A_1C_T36,"DL-Histidine, 15N",209991616
200929_Smp_A_1C_T42,"DL-Histidine, 15N",201605728
200929_Smp_A_1C_T48,"DL-Histidine, 15N",251768048
200929_Smp_A_1C_T6,"DL-Histidine, 15N",253906272
200929_Smp_A_3LV_T0,"DL-Histidine, 15N",289903776
200929_Smp_A_3LV_T12,"DL-Histidine, 15N",182187792
200929_Smp_A_3LV_T24,"DL-Histidine, 15N",274264608
200929_Smp_A_3LV_T36,"DL-Histidine, 15N",212211152
200929_Smp_A_3LV_T48,"DL-Histidine, 15N",218863520
200929_Smp_A_4LGV_T0,"DL-Histidine, 15N",287036800
200929_Smp_A_4LGV_T12,"DL-Histidine, 15N",237799184
200929_Smp_A_4LGV_T24,"DL-Histidine, 15N",249379248
200929_Smp_A_4LGV_T36,"DL-Histidine, 15N",269990752
200929_Smp_A_4LGV_T48,"DL-Histidine, 15N",307652704
200929_Smp_A_6HV_T0,"DL-Histidine, 15N",267492528
200929_Smp_A_6HV_T12,"DL-Histidine, 15N",290254432
200929_Smp_A_6HV_T24,"DL-Histidine, 15N",191201216
200929_Smp_A_6HV_T36,"DL-Histidine, 15N",246635120
200929_Smp_A_6HV_T48,"DL-Histidine, 15N",280848288
200929_Smp_A_8G_T0,"DL-Histidine, 15N",219752160
200929_Smp_A_8G_T48,"DL-Histidine, 15N",253307216
200929_Smp_A_9V_T0,"DL-Histidine, 15N",194036080
200929_Poo_TruePooMortality_Full1,"DL-Proline, 2H7",110415040
200929_Poo_TruePooMortality_Full2,"DL-Proline, 2H7",87760784
200929_Poo_TruePooMortality_Full3,"DL-Proline, 2H7",86412640
200929_Poo_TruePooMortality_Full4,"DL-Proline, 2H7",85603864
200929_Poo_TruePooMortality_Full5,"DL-Proline, 2H7",102197512
200929_Poo_TruePooMortality_Full6,"DL-Proline, 2H7",80511968
200929_Poo_TruePooMortality_Half1,"DL-Proline, 2H7",54518148
200929_Poo_TruePooMortality_Half2,"DL-Proline, 2H7",41852144
200929_Poo_TruePooMortality_Half3,"DL-Proline, 2H7",44685124
200929_Poo_TruePooMortality_Half4,"DL-Proline, 2H7",44976624
200929_Poo_TruePooMortality_Half5,"DL-Proline, 2H7",54660000
200929_Poo_TruePooMortality_Half6,"DL-Proline, 2H7",40515688
200929_Smp_A_1C_T0,"DL-Proline, 2H7",81463272
200929_Smp_A_1C_T12,"DL-Proline, 2H7",83934784
200929_Smp_A_1C_T18,"DL-Proline, 2H7",84684256
200929_Smp_A_1C_T24,"DL-Proline, 2H7",89277640
200929_Smp_A_1C_T30,"DL-Proline, 2H7",82336024
200929_Smp_A_1C_T36,"DL-Proline, 2H7",95113520
200929_Smp_A_1C_T42,"DL-Proline, 2H7",78546112
200929_Smp_A_1C_T48,"DL-Proline, 2H7",84829760
200929_Smp_A_1C_T6,"DL-Proline, 2H7",77197824
200929_Smp_A_3LV_T0,"DL-Proline, 2H7",81517512
200929_Smp_A_3LV_T12,"DL-Proline, 2H7",84464256
200929_Smp_A_3LV_T24,"DL-Proline, 2H7",95342056
200929_Smp_A_3LV_T36,"DL-Proline, 2H7",97863984
200929_Smp_A_3LV_T48,"DL-Proline, 2H7",81302248
200929_Smp_A_4LGV_T0,"DL-Proline, 2H7",82727680
200929_Smp_A_4LGV_T12,"DL-Proline, 2H7",101343592
200929_Smp_A_4LGV_T24,"DL-Proline, 2H7",84514064
200929_Smp_A_4LGV_T36,"DL-Proline, 2H7",66666256
200929_Smp_A_4LGV_T48,"DL-Proline, 2H7",100713664
200929_Smp_A_6HV_T0,"DL-Proline, 2H7",99376272
200929_Smp_A_6HV_T12,"DL-Proline, 2H7",87733040
200929_Smp_A_6HV_T24,"DL-Proline, 2H7",68814144
200929_Smp_A_6HV_T36,"DL-Proline, 2H7",86633984
200929_Smp_A_6HV_T48,"DL-Proline, 2H7",85512072
200929_Smp_A_8G_T0,"DL-Proline, 2H7",84560760
200929_Smp_A_8G_T48,"DL-Proline, 2H7",87283632
