Compound,SampID,Area,time,Time,biorep,treatment,treatment_number,Pro,BacTot,BacSml,BacLrg,Grz,Phage,Vol.filt.mL
OH-Pseudocob,E_2LG_T0,56198,T0,0,E,LG,2,16200000,1090000,465000,627000,612,0,50
OH-Pseudocob,E_2LG_T24,96315,T24,24,E,LG,2,13300000,1490000,808000,680000,10600,0,50
OH-Pseudocob,E_2LG_T36,38047,T36,36,E,LG,2,3370000,303000,86000,217000,31800,0,100
OH-Pseudocob,E_2LG_T48,16964,T48,48,E,LG,2,149000,57900,25600,32400,71600,0,200
OH-Pseudocob,E_3LG_T0,339851,T0,0,E,LG,3,15000000,1170000,522000,651000,733,0,50
OH-Pseudocob,E_3LG_T24,136709,T24,24,E,LG,3,12500000,1310000,724000,586000,14800,0,50
OH-Pseudocob,E_3LG_T36,28635,T36,36,E,LG,3,3670000,209000,64500,145000,34900,0,100
OH-Pseudocob,E_3LG_T48,9012,T48,48,E,LG,3,195000,45900,15900,30000,69000,0,200
OH-Pseudocob,E_4LG_T0,189114,T0,0,E,LG,4,12900000,1270000,597000,677000,525,0,50
OH-Pseudocob,E_4LG_T24,45610,T24,24,E,LG,4,11900000,1470000,790000,685000,10800,0,50
OH-Pseudocob,E_4LG_T36,35462,T36,36,E,LG,4,4710000,582000,218000,364000,23700,0,100
OH-Pseudocob,E_4LG_T48,14057,T48,48,E,LG,4,536000,58100,16000,42200,55400,0,200
OH-Pseudocob,E_8G_T48,7299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pyridoxamine,A_1C_T0,211280,T0,0,A,C,1,16700000,729000,231000,498000,0,0,50
Pyridoxamine,A_1C_T12,186024,T12,12,A,C,1,15400000,1130000,333000,798000,0,0,50
Pyridoxamine,A_1C_T18,362723,T18,18,A,C,1,19700000,1210000,451000,763000,0,0,50
Pyridoxamine,A_1C_T24,1359718,T24,24,A,C,1,28300000,1330000,444000,889000,0,0,100
Pyridoxamine,A_1C_T30,80373,T30,30,A,C,1,29200000,1540000,546000,994000,0,0,50
Pyridoxamine,A_1C_T36,9983558,T36,36,A,C,1,27700000,1960000,701000,1260000,0,0,300
Pyridoxamine,A_1C_T42,1151657,T42,42,A,C,1,34300000,2470000,968000,1500000,0,0,50
Pyridoxamine,A_1C_T48,2397389,T48,48,A,C,1,37100000,2830000,1100000,1730000,0,0,100
Pyridoxamine,A_1C_T6,182145,T6,6,A,C,1,19100000,872000,192000,680000,0,0,50
Pyridoxamine,A_3LV_T0,216485,T0,0,A,LV,3,17400000,667000,214000,453000,0,62800,50
Pyridoxamine,A_3LV_T12,126460,T12,12,A,LV,3,15000000,1190000,315000,873000,0,105000,50
Pyridoxamine,A_3LV_T24,1492193,T24,24,A,LV,3,25100000,1650000,606000,1050000,0,1190000,100
Pyridoxamine,A_3LV_T36,11686438,T36,36,A,LV,3,24200000,2270000,589000,1680000,0,31500000,300
Pyridoxamine,A_3LV_T48,1229390,T48,48,A,LV,3,13200000,5460000,526000,4930000,0,278000000,100
Pyridoxamine,A_4LGV_T0,228602,T0,0,A,LGV,4,16800000,694000,269000,425000,571,7250000,50
Pyridoxamine,A_4LGV_T12,166254,T12,12,A,LGV,4,12900000,842000,186000,657000,2310,98100000,50
Pyridoxamine,A_4LGV_T24,270502,T24,24,A,LGV,4,6330000,1220000,181000,1030000,10100,249000000,100
Pyridoxamine,A_4LGV_T36,80718,T36,36,A,LGV,4,10100,49700,7850,41900,47000,193000000,300
Pyridoxamine,A_4LGV_T48,136428,T48,48,A,LGV,4,10300,175000,58400,117000,60900,204000000,300
Pyridoxamine,A_6HV_T0,243433,T0,0,A,HV,6,16100000,691000,332000,359000,0,10400000,50
Pyridoxamine,A_6HV_T12,153791,T12,12,A,HV,6,14500000,1230000,311000,924000,0,23300000,50
Pyridoxamine,A_6HV_T24,578383,T24,24,A,HV,6,12900000,2130000,407000,1720000,0,184000000,100
Pyridoxamine,A_6HV_T36,6237996,T36,36,A,HV,6,1480000,5880000,1010000,4870000,0,204000000,300
Pyridoxamine,A_6HV_T48,2634653,T48,48,A,HV,6,1860000,8660000,4840000,3810000,0,207000000,100
Pyridoxamine,A_8G_T0,15510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pyridoxamine,A_8G_T48,322032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pyridoxamine,A_9V_T0,2303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pyridoxamine,B_1C_T0,194811,T0,0,B,C,1,18200000,918000,347000,572000,0,0,50
Pyridoxamine,B_1C_T12,241495,T12,12,B,C,1,15400000,1320000,310000,1010000,0,0,50
Pyridoxamine,B_1C_T18,494400,T18,18,B,C,1,19100000,1950000,640000,1320000,0,0,50
Pyridoxamine,B_1C_T24,1422882,T24,24,B,C,1,27500000,2350000,878000,1470000,0,0,100
Pyridoxamine,B_1C_T30,754746,T30,30,B,C,1,29500000,2510000,953000,1550000,0,0,50
Pyridoxamine,B_1C_T36,2884483,T36,36,B,C,1,31000000,3480000,1010000,2460000,0,0,300
Pyridoxamine,B_1C_T42,1272124,T42,42,B,C,1,33100000,4110000,1360000,2750000,0,0,50
Pyridoxamine,B_1C_T48,3670391,T48,48,B,C,1,44700000,4720000,1860000,2860000,0,0,100
Pyridoxamine,B_1C_T6,102725,T6,6,B,C,1,17500000,880000,220000,660000,0,0,50
Pyridoxamine,B_3LV_T0,283133,T0,0,B,LV,3,18500000,587000,219000,368000,0,97700,50
Pyridoxamine,B_3LV_T12,258721,T12,12,B,LV,3,14300000,1520000,258000,1270000,0,126000,50
Pyridoxamine,B_3LV_T24,1918436,T24,24,B,LV,3,26300000,2350000,854000,1490000,0,1760000,100
Pyridoxamine,B_3LV_T36,15693910,T36,36,B,LV,3,24100000,4020000,609000,3410000,0,38100000,300
Pyridoxamine,B_3LV_T48,3635741,T48,48,B,LV,3,11300000,10600000,1650000,9000000,0,290000000,100
Pyridoxamine,B_4LGV_T0,206287,T0,0,B,LGV,4,19200000,510000,215000,295000,364,7020000,50
Pyridoxamine,B_4LGV_T12,119370,T12,12,B,LGV,4,12900000,1190000,189000,1000000,1160,84000000,50
Pyridoxamine,B_4LGV_T24,0,T24,24,B,LGV,4,6940000,2100000,237000,1860000,3200,380000000,100
Pyridoxamine,B_4LGV_T36,1636659,T36,36,B,LGV,4,509000,3940000,1050000,2890000,10900,340000000,300
Pyridoxamine,B_4LGV_T48,72314,T48,48,B,LGV,4,38400,152000,90400,61600,37000,403000000,300
Pyridoxamine,B_6HV_T0,185135,T0,0,B,HV,6,16900000,732000,289000,443000,0,8360000,50
Pyridoxamine,B_6HV_T12,150457,T12,12,B,HV,6,13800000,1200000,161000,1040000,0,25200000,50
Pyridoxamine,B_6HV_T24,673499,T24,24,B,HV,6,11000000,2300000,325000,1980000,0,271000000,100
Pyridoxamine,B_6HV_T36,4063485,T36,36,B,HV,6,943000,7370000,1210000,6160000,0,270000000,270
Pyridoxamine,B_6HV_T48,2546267,T48,48,B,HV,6,868000,11900000,5400000,6470000,0,286000000,100
Pyridoxamine,C_1C_T0,580330,T0,0,C,C,1,16400000,1250000,556000,689000,0,0,50
Pyridoxamine,C_1C_T12,464761,T12,12,C,C,1,16800000,1650000,749000,902000,0,0,50
Pyridoxamine,C_1C_T18,911245,T18,18,C,C,1,20100000,1740000,867000,874000,0,0,50
Pyridoxamine,C_1C_T24,2123119,T24,24,C,C,1,26500000,2150000,947000,1210000,0,0,100
Pyridoxamine,C_1C_T30,880724,T30,30,C,C,1,30700000,1980000,877000,1100000,0,0,50
Pyridoxamine,C_1C_T36,3551548,T36,36,C,C,1,26300000,2330000,1020000,1320000,0,0,100
Pyridoxamine,C_1C_T42,1541518,T42,42,C,C,1,35700000,2770000,1310000,1450000,0,0,50
Pyridoxamine,C_1C_T48,5394195,T48,48,C,C,1,44800000,3090000,1400000,1690000,0,0,100
Pyridoxamine,C_1C_T6,369298,T6,6,C,C,1,18300000,1890000,821000,1070000,0,0,50
Pyridoxamine,C_3LV_T0,378313,T0,0,C,LV,3,17300000,1290000,606000,679000,0,37400,50
Pyridoxamine,C_3LV_T12,496207,T12,12,C,LV,3,16500000,1710000,630000,1080000,0,180000,50
Pyridoxamine,C_3LV_T24,2329014,T24,24,C,LV,3,27900000,2430000,1130000,1300000,0,2430000,100
Pyridoxamine,C_3LV_T36,3417452,T36,36,C,LV,3,23300000,3110000,810000,2300000,0,103000000,100
Pyridoxamine,C_3LV_T48,166537,T48,48,C,LV,3,12200000,8420000,2100000,6320000,0,260000000,100
Pyridoxamine,C_4LGV_T0,407836,T0,0,C,LGV,4,16600000,845000,443000,402000,868,11300000,50
Pyridoxamine,C_4LGV_T12,460134,T12,12,C,LGV,4,12200000,1900000,484000,1420000,3860,183000000,50
Pyridoxamine,C_4LGV_T24,293945,T24,24,C,LGV,4,2840000,948000,179000,769000,16100,285000000,100
Pyridoxamine,C_4LGV_T36,75899,T36,36,C,LGV,4,7530,172000,41900,130000,66900,246000000,300
Pyridoxamine,C_4LGV_T48,113049,T48,48,C,LGV,4,3600,211000,40900,170000,55400,171000000,300
Pyridoxamine,C_6HV_T0,484927,T0,0,C,HV,6,16100000,1470000,687000,779000,0,9130000,50
Pyridoxamine,C_6HV_T12,571344,T12,12,C,HV,6,15600000,2120000,468000,1660000,0,38100000,50
Pyridoxamine,C_6HV_T24,2447363,T24,24,C,HV,6,8120000,4650000,773000,3880000,0,287000000,100
Pyridoxamine,C_6HV_T36,2809973,T36,36,C,HV,6,1230000,7890000,4510000,3380000,0,180000000,100
Pyridoxamine,C_6HV_T48,2877817,T48,48,C,HV,6,1000000,8500000,5600000,2900000,0,159000000,100
Pyridoxamine,E_2LG_T0,457984,T0,0,E,LG,2,16200000,1090000,465000,627000,612,0,50
Pyridoxamine,E_2LG_T24,541812,T24,24,E,LG,2,13300000,1490000,808000,680000,10600,0,50
Pyridoxamine,E_2LG_T36,229617,T36,36,E,LG,2,3370000,303000,86000,217000,31800,0,100
Pyridoxamine,E_2LG_T48,168590,T48,48,E,LG,2,149000,57900,25600,32400,71600,0,200
Pyridoxamine,E_3LG_T0,506964,T0,0,E,LG,3,15000000,1170000,522000,651000,733,0,50
Pyridoxamine,E_3LG_T24,487793,T24,24,E,LG,3,12500000,1310000,724000,586000,14800,0,50
Pyridoxamine,E_3LG_T36,229319,T36,36,E,LG,3,3670000,209000,64500,145000,34900,0,100
Pyridoxamine,E_3LG_T48,172285,T48,48,E,LG,3,195000,45900,15900,30000,69000,0,200
Pyridoxamine,E_4LG_T0,395813,T0,0,E,LG,4,12900000,1270000,597000,677000,525,0,50
Pyridoxamine,E_4LG_T24,533770,T24,24,E,LG,4,11900000,1470000,790000,685000,10800,0,50
Pyridoxamine,E_4LG_T36,273754,T36,36,E,LG,4,4710000,582000,218000,364000,23700,0,100
Pyridoxamine,E_4LG_T48,172051,T48,48,E,LG,4,536000,58100,16000,42200,55400,0,200
Pyridoxamine,E_8G_T48,352834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vitamin B2,A_1C_T0,55149,T0,0,A,C,1,16700000,729000,231000,498000,0,0,50
Vitamin B2,A_1C_T12,80236,T12,12,A,C,1,15400000,1130000,333000,798000,0,0,50
Vitamin B2,A_1C_T18,169071,T18,18,A,C,1,19700000,1210000,451000,763000,0,0,50
Vitamin B2,A_1C_T24,708436,T24,24,A,C,1,28300000,1330000,444000,889000,0,0,100
Vitamin B2,A_1C_T30,240692,T30,30,A,C,1,29200000,1540000,546000,994000,0,0,50
Vitamin B2,A_1C_T36,116064216,T36,36,A,C,1,27700000,1960000,701000,1260000,0,0,300
Vitamin B2,A_1C_T42,177579,T42,42,A,C,1,34300000,2470000,968000,1500000,0,0,50
Vitamin B2,A_1C_T48,2305988,T48,48,A,C,1,37100000,2830000,1100000,1730000,0,0,100
Vitamin B2,A_1C_T6,125504,T6,6,A,C,1,19100000,872000,192000,680000,0,0,50
Vitamin B2,A_3LV_T0,27990,T0,0,A,LV,3,17400000,667000,214000,453000,0,62800,50
Vitamin B2,A_3LV_T12,42042,T12,12,A,LV,3,15000000,1190000,315000,873000,0,105000,50
Vitamin B2,A_3LV_T24,1464671,T24,24,A,LV,3,25100000,1650000,606000,1050000,0,1190000,100
Vitamin B2,A_3LV_T36,83669728,T36,36,A,LV,3,24200000,2270000,589000,1680000,0,31500000,300
Vitamin B2,A_3LV_T48,7446136,T48,48,A,LV,3,13200000,5460000,526000,4930000,0,278000000,100
Vitamin B2,A_4LGV_T0,106414,T0,0,A,LGV,4,16800000,694000,269000,425000,571,7250000,50
Vitamin B2,A_4LGV_T12,206797,T12,12,A,LGV,4,12900000,842000,186000,657000,2310,98100000,50
Vitamin B2,A_4LGV_T24,389331,T24,24,A,LGV,4,6330000,1220000,181000,1030000,10100,249000000,100
Vitamin B2,A_4LGV_T36,2620580,T36,36,A,LGV,4,10100,49700,7850,41900,47000,193000000,300
Vitamin B2,A_4LGV_T48,1780515,T48,48,A,LGV,4,10300,175000,58400,117000,60900,204000000,300
Vitamin B2,A_6HV_T0,59326,T0,0,A,HV,6,16100000,691000,332000,359000,0,10400000,50
Vitamin B2,A_6HV_T12,144879,T12,12,A,HV,6,14500000,1230000,311000,924000,0,23300000,50
Vitamin B2,A_6HV_T24,1323008,T24,24,A,HV,6,12900000,2130000,407000,1720000,0,184000000,100
Vitamin B2,A_6HV_T36,55347120,T36,36,A,HV,6,1480000,5880000,1010000,4870000,0,204000000,300
Vitamin B2,A_6HV_T48,14166463,T48,48,A,HV,6,1860000,8660000,4840000,3810000,0,207000000,100
Vitamin B2,A_8G_T0,12830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vitamin B2,A_8G_T48,6396074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vitamin B2,A_9V_T0,6534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vitamin B2,B_1C_T0,48985,T0,0,B,C,1,18200000,918000,347000,572000,0,0,50
Vitamin B2,B_1C_T12,159583,T12,12,B,C,1,15400000,1320000,310000,1010000,0,0,50
Vitamin B2,B_1C_T18,446662,T18,18,B,C,1,19100000,1950000,640000,1320000,0,0,50
Vitamin B2,B_1C_T24,897097,T24,24,B,C,1,27500000,2350000,878000,1470000,0,0,100
Vitamin B2,B_1C_T30,545413,T30,30,B,C,1,29500000,2510000,953000,1550000,0,0,50
Vitamin B2,B_1C_T36,35303780,T36,36,B,C,1,31000000,3480000,1010000,2460000,0,0,300
Vitamin B2,B_1C_T42,1927827,T42,42,B,C,1,33100000,4110000,1360000,2750000,0,0,50
Vitamin B2,B_1C_T48,4344002,T48,48,B,C,1,44700000,4720000,1860000,2860000,0,0,100
Vitamin B2,B_1C_T6,183176,T6,6,B,C,1,17500000,880000,220000,660000,0,0,50
Vitamin B2,B_3LV_T0,44801,T0,0,B,LV,3,18500000,587000,219000,368000,0,97700,50
Vitamin B2,B_3LV_T12,110984,T12,12,B,LV,3,14300000,1520000,258000,1270000,0,126000,50
Vitamin B2,B_3LV_T24,1206325,T24,24,B,LV,3,26300000,2350000,854000,1490000,0,1760000,100
Vitamin B2,B_3LV_T36,116999528,T36,36,B,LV,3,24100000,4020000,609000,3410000,0,38100000,300
Vitamin B2,B_3LV_T48,25351794,T48,48,B,LV,3,11300000,10600000,1650000,9000000,0,290000000,100
Vitamin B2,B_4LGV_T0,202462,T0,0,B,LGV,4,19200000,510000,215000,295000,364,7020000,50
Vitamin B2,B_4LGV_T12,107431,T12,12,B,LGV,4,12900000,1190000,189000,1000000,1160,84000000,50
Vitamin B2,B_4LGV_T24,0,T24,24,B,LGV,4,6940000,2100000,237000,1860000,3200,380000000,100
Vitamin B2,B_4LGV_T36,4505425,T36,36,B,LGV,4,509000,3940000,1050000,2890000,10900,340000000,300
Vitamin B2,B_4LGV_T48,1810549,T48,48,B,LGV,4,38400,152000,90400,61600,37000,403000000,300
Vitamin B2,B_6HV_T0,125743,T0,0,B,HV,6,16900000,732000,289000,443000,0,8360000,50
Vitamin B2,B_6HV_T12,160694,T12,12,B,HV,6,13800000,1200000,161000,1040000,0,25200000,50
Vitamin B2,B_6HV_T24,1803515,T24,24,B,HV,6,11000000,2300000,325000,1980000,0,271000000,100
Vitamin B2,B_6HV_T36,49420148,T36,36,B,HV,6,943000,7370000,1210000,6160000,0,270000000,270
Vitamin B2,B_6HV_T48,795087,T48,48,B,HV,6,868000,11900000,5400000,6470000,0,286000000,100
Vitamin B2,C_1C_T0,163524,T0,0,C,C,1,16400000,1250000,556000,689000,0,0,50
Vitamin B2,C_1C_T12,339138,T12,12,C,C,1,16800000,1650000,749000,902000,0,0,50
Vitamin B2,C_1C_T18,397537,T18,18,C,C,1,20100000,1740000,867000,874000,0,0,50
Vitamin B2,C_1C_T24,2373605,T24,24,C,C,1,26500000,2150000,947000,1210000,0,0,100
Vitamin B2,C_1C_T30,330988,T30,30,C,C,1,30700000,1980000,877000,1100000,0,0,50
Vitamin B2,C_1C_T36,8177575,T36,36,C,C,1,26300000,2330000,1020000,1320000,0,0,100
Vitamin B2,C_1C_T42,831987,T42,42,C,C,1,35700000,2770000,1310000,1450000,0,0,50
Vitamin B2,C_1C_T48,4839796,T48,48,C,C,1,44800000,3090000,1400000,1690000,0,0,100
Vitamin B2,C_1C_T6,404546,T6,6,C,C,1,18300000,1890000,821000,1070000,0,0,50
Vitamin B2,C_3LV_T0,252854,T0,0,C,LV,3,17300000,1290000,606000,679000,0,37400,50
Vitamin B2,C_3LV_T12,139008,T12,12,C,LV,3,16500000,1710000,630000,1080000,0,180000,50
Vitamin B2,C_3LV_T24,1762537,T24,24,C,LV,3,27900000,2430000,1130000,1300000,0,2430000,100
Vitamin B2,C_3LV_T36,25768324,T36,36,C,LV,3,23300000,3110000,810000,2300000,0,103000000,100
Vitamin B2,C_3LV_T48,2168405,T48,48,C,LV,3,12200000,8420000,2100000,6320000,0,260000000,100
Vitamin B2,C_4LGV_T0,150214,T0,0,C,LGV,4,16600000,845000,443000,402000,868,11300000,50
Vitamin B2,C_4LGV_T12,527967,T12,12,C,LGV,4,12200000,1900000,484000,1420000,3860,183000000,50
Vitamin B2,C_4LGV_T24,3104294,T24,24,C,LGV,4,2840000,948000,179000,769000,16100,285000000,100
Vitamin B2,C_4LGV_T36,2291347,T36,36,C,LGV,4,7530,172000,41900,130000,66900,246000000,300
Vitamin B2,C_4LGV_T48,2985063,T48,48,C,LGV,4,3600,211000,40900,170000,55400,171000000,300
Vitamin B2,C_6HV_T0,113753,T0,0,C,HV,6,16100000,1470000,687000,779000,0,9130000,50
Vitamin B2,C_6HV_T12,224813,T12,12,C,HV,6,15600000,2120000,468000,1660000,0,38100000,50
Vitamin B2,C_6HV_T24,5663341,T24,24,C,HV,6,8120000,4650000,773000,3880000,0,287000000,100
Vitamin B2,C_6HV_T36,6205678,T36,36,C,HV,6,1230000,7890000,4510000,3380000,0,180000000,100
Vitamin B2,C_6HV_T48,6405837,T48,48,C,HV,6,1000000,8500000,5600000,2900000,0,159000000,100
Vitamin B2,E_2LG_T0,84615,T0,0,E,LG,2,16200000,1090000,465000,627000,612,0,50
Vitamin B2,E_2LG_T24,214954,T24,24,E,LG,2,13300000,1490000,808000,680000,10600,0,50
Vitamin B2,E_2LG_T36,2097892,T36,36,E,LG,2,3370000,303000,86000,217000,31800,0,100
Vitamin B2,E_2LG_T48,1529193,T48,48,E,LG,2,149000,57900,25600,32400,71600,0,200
Vitamin B2,E_3LG_T0,121258,T0,0,E,LG,3,15000000,1170000,522000,651000,733,0,50
Vitamin B2,E_3LG_T24,670565,T24,24,E,LG,3,12500000,1310000,724000,586000,14800,0,50
Vitamin B2,E_3LG_T36,550124,T36,36,E,LG,3,3670000,209000,64500,145000,34900,0,100
Vitamin B2,E_3LG_T48,2304240,T48,48,E,LG,3,195000,45900,15900,30000,69000,0,200
Vitamin B2,E_4LG_T0,231204,T0,0,E,LG,4,12900000,1270000,597000,677000,525,0,50
Vitamin B2,E_4LG_T24,1238258,T24,24,E,LG,4,11900000,1470000,790000,685000,10800,0,50
Vitamin B2,E_4LG_T36,553078,T36,36,E,LG,4,4710000,582000,218000,364000,23700,0,100
Vitamin B2,E_4LG_T48,1075701,T48,48,E,LG,4,536000,58100,16000,42200,55400,0,200
Vitamin B2,E_8G_T48,489078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vitamin B5,A_1C_T0,173725,T0,0,A,C,1,16700000,729000,231000,498000,0,0,50
Vitamin B5,A_1C_T12,143623,T12,12,A,C,1,15400000,1130000,333000,798000,0,0,50
Vitamin B5,A_1C_T18,49931,T18,18,A,C,1,19700000,1210000,451000,763000,0,0,50
Vitamin B5,A_1C_T24,383801,T24,24,A,C,1,28300000,1330000,444000,889000,0,0,100
Vitamin B5,A_1C_T30,434349,T30,30,A,C,1,29200000,1540000,546000,994000,0,0,50
Vitamin B5,A_1C_T36,9929147,T36,36,A,C,1,27700000,1960000,701000,1260000,0,0,300
Vitamin B5,A_1C_T42,411889,T42,42,A,C,1,34300000,2470000,968000,1500000,0,0,50
Vitamin B5,A_1C_T48,702507,T48,48,A,C,1,37100000,2830000,1100000,1730000,0,0,100
Vitamin B5,A_1C_T6,216429,T6,6,A,C,1,19100000,872000,192000,680000,0,0,50
Vitamin B5,A_3LV_T0,134237,T0,0,A,LV,3,17400000,667000,214000,453000,0,62800,50
Vitamin B5,A_3LV_T12,26852,T12,12,A,LV,3,15000000,1190000,315000,873000,0,105000,50
Vitamin B5,A_3LV_T24,492567,T24,24,A,LV,3,25100000,1650000,606000,1050000,0,1190000,100
Vitamin B5,A_3LV_T36,10518487,T36,36,A,LV,3,24200000,2270000,589000,1680000,0,31500000,300
Vitamin B5,A_3LV_T48,5784299,T48,48,A,LV,3,13200000,5460000,526000,4930000,0,278000000,100
Vitamin B5,A_4LGV_T0,58815,T0,0,A,LGV,4,16800000,694000,269000,425000,571,7250000,50
Vitamin B5,A_4LGV_T12,291006,T12,12,A,LGV,4,12900000,842000,186000,657000,2310,98100000,50
Vitamin B5,A_4LGV_T24,1665284,T24,24,A,LGV,4,6330000,1220000,181000,1030000,10100,249000000,100
Vitamin B5,A_4LGV_T36,329448,T36,36,A,LGV,4,10100,49700,7850,41900,47000,193000000,300
Vitamin B5,A_4LGV_T48,398691,T48,48,A,LGV,4,10300,175000,58400,117000,60900,204000000,300
Vitamin B5,A_6HV_T0,181387,T0,0,A,HV,6,16100000,691000,332000,359000,0,10400000,50
Vitamin B5,A_6HV_T12,229341,T12,12,A,HV,6,14500000,1230000,311000,924000,0,23300000,50
Vitamin B5,A_6HV_T24,1867162,T24,24,A,HV,6,12900000,2130000,407000,1720000,0,184000000,100
Vitamin B5,A_6HV_T36,149141520,T36,36,A,HV,6,1480000,5880000,1010000,4870000,0,204000000,300
Vitamin B5,A_6HV_T48,16504936,T48,48,A,HV,6,1860000,8660000,4840000,3810000,0,207000000,100
Vitamin B5,A_8G_T0,18811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vitamin B5,A_8G_T48,7363184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vitamin B5,A_9V_T0,7885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vitamin B5,B_1C_T0,82242,T0,0,B,C,1,18200000,918000,347000,572000,0,0,50
Vitamin B5,B_1C_T12,26311,T12,12,B,C,1,15400000,1320000,310000,1010000,0,0,50
Vitamin B5,B_1C_T18,259933,T18,18,B,C,1,19100000,1950000,640000,1320000,0,0,50
Vitamin B5,B_1C_T24,1207171,T24,24,B,C,1,27500000,2350000,878000,1470000,0,0,100
Vitamin B5,B_1C_T30,374559,T30,30,B,C,1,29500000,2510000,953000,1550000,0,0,50
Vitamin B5,B_1C_T36,3995171,T36,36,B,C,1,31000000,3480000,1010000,2460000,0,0,300
Vitamin B5,B_1C_T42,815062,T42,42,B,C,1,33100000,4110000,1360000,2750000,0,0,50
Vitamin B5,B_1C_T48,2653803,T48,48,B,C,1,44700000,4720000,1860000,2860000,0,0,100
Vitamin B5,B_1C_T6,276013,T6,6,B,C,1,17500000,880000,220000,660000,0,0,50
Vitamin B5,B_3LV_T0,125533,T0,0,B,LV,3,18500000,587000,219000,368000,0,97700,50
Vitamin B5,B_3LV_T12,206458,T12,12,B,LV,3,14300000,1520000,258000,1270000,0,126000,50
Vitamin B5,B_3LV_T24,1311253,T24,24,B,LV,3,26300000,2350000,854000,1490000,0,1760000,100
Vitamin B5,B_3LV_T36,121720536,T36,36,B,LV,3,24100000,4020000,609000,3410000,0,38100000,300
Vitamin B5,B_3LV_T48,13886977,T48,48,B,LV,3,11300000,10600000,1650000,9000000,0,290000000,100
Vitamin B5,B_4LGV_T0,123866,T0,0,B,LGV,4,19200000,510000,215000,295000,364,7020000,50
Vitamin B5,B_4LGV_T12,418899,T12,12,B,LGV,4,12900000,1190000,189000,1000000,1160,84000000,50
Vitamin B5,B_4LGV_T24,66,T24,24,B,LGV,4,6940000,2100000,237000,1860000,3200,380000000,100
Vitamin B5,B_4LGV_T36,3475395,T36,36,B,LGV,4,509000,3940000,1050000,2890000,10900,340000000,300
Vitamin B5,B_4LGV_T48,379157,T48,48,B,LGV,4,38400,152000,90400,61600,37000,403000000,300
Vitamin B5,B_6HV_T0,200557,T0,0,B,HV,6,16900000,732000,289000,443000,0,8360000,50
Vitamin B5,B_6HV_T12,54793,T12,12,B,HV,6,13800000,1200000,161000,1040000,0,25200000,50
Vitamin B5,B_6HV_T24,4600096,T24,24,B,HV,6,11000000,2300000,325000,1980000,0,271000000,100
Vitamin B5,B_6HV_T36,121652416,T36,36,B,HV,6,943000,7370000,1210000,6160000,0,270000000,270
Vitamin B5,B_6HV_T48,10744295,T48,48,B,HV,6,868000,11900000,5400000,6470000,0,286000000,100
Vitamin B5,C_1C_T0,319326,T0,0,C,C,1,16400000,1250000,556000,689000,0,0,50
Vitamin B5,C_1C_T12,460521,T12,12,C,C,1,16800000,1650000,749000,902000,0,0,50
Vitamin B5,C_1C_T18,188451,T18,18,C,C,1,20100000,1740000,867000,874000,0,0,50
Vitamin B5,C_1C_T24,1755750,T24,24,C,C,1,26500000,2150000,947000,1210000,0,0,100
Vitamin B5,C_1C_T30,839109,T30,30,C,C,1,30700000,1980000,877000,1100000,0,0,50
Vitamin B5,C_1C_T36,919126,T36,36,C,C,1,26300000,2330000,1020000,1320000,0,0,100
Vitamin B5,C_1C_T42,663200,T42,42,C,C,1,35700000,2770000,1310000,1450000,0,0,50
Vitamin B5,C_1C_T48,1739438,T48,48,C,C,1,44800000,3090000,1400000,1690000,0,0,100
Vitamin B5,C_1C_T6,264654,T6,6,C,C,1,18300000,1890000,821000,1070000,0,0,50
Vitamin B5,C_3LV_T0,206457,T0,0,C,LV,3,17300000,1290000,606000,679000,0,37400,50
Vitamin B5,C_3LV_T12,180406,T12,12,C,LV,3,16500000,1710000,630000,1080000,0,180000,50
Vitamin B5,C_3LV_T24,2452351,T24,24,C,LV,3,27900000,2430000,1130000,1300000,0,2430000,100
Vitamin B5,C_3LV_T36,2532817,T36,36,C,LV,3,23300000,3110000,810000,2300000,0,103000000,100
Vitamin B5,C_3LV_T48,1124418,T48,48,C,LV,3,12200000,8420000,2100000,6320000,0,260000000,100
Vitamin B5,C_4LGV_T0,341314,T0,0,C,LGV,4,16600000,845000,443000,402000,868,11300000,50
Vitamin B5,C_4LGV_T12,599364,T12,12,C,LGV,4,12200000,1900000,484000,1420000,3860,183000000,50
Vitamin B5,C_4LGV_T24,2455254,T24,24,C,LGV,4,2840000,948000,179000,769000,16100,285000000,100
