MF,Name,SampID,Vol.filt.mL,umol.in.vial.ave,nM.in.smp,nM_C,nM_N
HNeg_1982,Uridine,A_1C_T0,50,0.11543421006193652,0.92347368049549206,8.311263124459428,1.8469473609909841
HNeg_2117,D-Fructose 6-phosphate,A_1C_T0,50,0.01877135720133578,0.1501708576106862,0.9010251456641172,NA
HNeg_2173,Inosine,A_1C_T0,50,0.01373816817718019,0.10990534541744156,1.0990534541744157,0.4396213816697663
HNeg_2635,Sucrose,A_1C_T0,50,4.297967284940648,34.383738279525176,412.6048593543021,NA
HNeg_3117,UDP-N-acetylglucosamine,A_1C_T0,50,0.07180704666444718,0.5744563733155773,9.765758346364814,1.723369119946732
HNeg_sky1,2-Ketoglutaric acid,A_1C_T0,50,0.2475047880600837,1.9800383044806693,9.900191522403349,NA
HNeg_sky11,D-Gluconic acid,A_1C_T0,50,0.0042106641154346,0.03368531292347682,0.20211187754086096,NA
HNeg_sky19,L-Cysteic acid,A_1C_T0,50,0.01955549900242261,0.1564439920193809,0.4693319760581427,0.1564439920193809
HNeg_sky22,N-Acetyl-L-glutamic acid,A_1C_T0,50,0.06738697734792942,0.5390958187834354,3.773670731484048,0.5390958187834354
HNeg_sky32,Taurine,A_1C_T0,50,0.00773308420779751,0.06186467366238014,0.12372934732476028,0.06186467366238014
HNeg_sky36,Thymine,A_1C_T0,50,0.12730232926579815,1.0184186341263852,5.092093170631927,2.0368372682527704
HNeg_sky6,Adenosine monophosphate,A_1C_T0,50,0.05797326270029172,0.4637861016023338,4.637861016023338,2.318930508011669
HPos_1157,Ectoine,A_1C_T0,50,1.0146479555751462,8.11718364460117,48.70310186760702,16.23436728920234
HPos_1241,L-Glutamine,A_1C_T0,50,1.2513830090944176,10.01106407275534,50.0553203637767,20.02212814551068
HPos_1496,5-Hydroxyectoine,A_1C_T0,50,0.00103645941698138,0.00829167533585108,0.0497500520151065,0.01658335067170216
HPos_1848,Arsenobetaine,A_1C_T0,50,5.594129055395631e-4,0.0044753032443165,0.02237651622158252,NA
HPos_1926,L-Tyrosine,A_1C_T0,50,0.09503537699001029,0.7602830159200822,6.84254714328074,0.7602830159200822
HPos_257,Sarcosine,A_1C_T0,50,0.2614277024588192,2.091421619670553,6.274264859011659,2.091421619670553
HPos_261,L-Alanine,A_1C_T0,50,1.196005364157236,9.568042913257887,28.704128739773665,9.568042913257887
HPos_3067,Cytidine,A_1C_T0,50,0.02645649643915982,0.21165197151327855,1.904867743619507,0.6349559145398357
HPos_3196,Deoxyadenosine,A_1C_T0,50,0.00651951696554966,0.05215613572439732,0.5215613572439732,0.2607806786219866
HPos_3236,2-O-alpha-D-Glucosylglycerol,A_1C_T0,50,0.35945715003194856,2.8756572002555885,25.880914802300296,NA
HPos_3429,Adenosine,A_1C_T0,50,0.3630952224655637,2.9047617797245087,29.04761779724509,14.523808898622544
HPos_3670,Guanosine,A_1C_T0,50,0.05471812034391497,0.4377449627513197,4.377449627513197,2.1887248137565987
HPos_5986,Glutathione disulfide,A_1C_T0,50,0.4105481037970114,3.2843848303760907,65.68769660752181,19.706308982256544
HPos_639,L-Proline,A_1C_T0,50,0.27998320519215086,2.2398656415372065,11.199328207686031,2.2398656415372065
HPos_705,L-Threonine,A_1C_T0,50,0.4288970667409724,3.431176533927779,13.724706135711116,3.431176533927779
HPos_962,L-Aspartic acid,A_1C_T0,50,3.56976934101013,28.558154728081036,114.23261891232414,28.558154728081036
HPos_978,Dimethylsulfoniopropionate,A_1C_T0,50,0.00302789920836364,0.02422319366690919,0.12111596833454598,NA
HPos_989,Adenine,A_1C_T0,50,0.07671953760611956,0.6137563008489565,3.0687815042447824,3.0687815042447824
HPos_sky16,Creatine,A_1C_T0,50,0.00374782471407206,0.0299825977125765,0.11993039085030602,0.08994779313772952
HPos_sky35,Glycine betaine,A_1C_T0,50,0.14083518358304042,1.1266814686643234,5.6334073433216165,1.1266814686643234
HPos_sky38,Guanine,A_1C_T0,50,0.04966435357875331,0.3973148286300265,1.9865741431501325,1.9865741431501325
HPos_sky45,Hypotaurine,A_1C_T0,50,0.9424881827842364,7.53990546227389,15.07981092454778,7.53990546227389
HPos_sky51,L-Glutamic acid,A_1C_T0,50,24.14476301654625,193.15810413236997,965.79052066185,193.15810413236997
HPos_sky54,L-Homoserine,A_1C_T0,50,0.03319457068813931,0.2655565655051144,1.0622262620204577,0.2655565655051144
HPos_sky59,L-Methionine,A_1C_T0,50,0.00392917290024387,0.03143338320195102,0.1571669160097551,0.03143338320195102
HPos_sky60,L-Methionine S-oxide,A_1C_T0,50,0.00600891301483743,0.04807130411869947,0.24035652059349735,0.04807130411869947
HPos_sky64,L-Serine,A_1C_T0,50,0.6367700807421584,5.094160645937266,15.2824819378118,5.094160645937266
HPos_sky71,N6-Acetyl-L-lysine,A_1C_T0,50,0.00882823727198125,0.07062589817585005,0.5650071854068004,0.1412517963517001
HPos_sky72,Ophthalmic acid,A_1C_T0,50,0.03538343439854422,0.2830674751883537,3.1137422270718904,0.849202425565061
HPos_sky74,Proline betaine,A_1C_T0,50,0.00367095066456114,0.02936760531648919,0.20557323721542436,0.02936760531648919
RP_14640,Methylthioadenosine,A_1C_T0,50,0.00337820936360843,0.02702567490886748,0.29728242399754234,0.13512837454433743
RP_3959,L-Phenylalanine,A_1C_T0,50,0.04118386174214419,0.3294708939371535,2.9652380454343814,0.3294708939371535
RP_6828,L-Tryptophan,A_1C_T0,50,0.02722101453433876,0.2177681162747101,2.395449279021811,0.4355362325494202
RP_7155,L-Kynurenine,A_1C_T0,50,4.3677796923477714e-4,0.00349422375387821,0.03494223753878216,0.00698844750775643
RP_7669,Desthiobiotin,A_1C_T0,50,1.8394328991686547e-4,0.00147154631933492,0.01471546319334923,0.00294309263866984
RP_sky1,Agmatine,A_1C_T0,50,0.00111409176372007,0.00891273410976059,0.04456367054880297,0.03565093643904238
RP_sky16,Pantothenic acid,A_1C_T0,50,2.376954445374817e-4,0.00190156355629985,0.01711407200669868,0.00190156355629985
RP_sky17,Pyridoxal,A_1C_T0,50,5.588773230577608e-4,0.00447101858446208,0.03576814867569668,0.00447101858446208
RP_sky21,Pyridoxine,A_1C_T0,50,5.020129049118184e-5,4.0161032392945466e-4,0.00321288259143563,4.0161032392945466e-4
RP_sky23,S-Adenosylhomocysteine,A_1C_T0,50,0.00513779389824741,0.04110235118597932,0.5754329166037104,0.2466141071158759
RP_sky24,S-Adenosylmethionine,A_1C_T0,50,0.04198562439026152,0.33588499512209213,5.038274926831382,2.015309970732553
HNeg_1982,Uridine,A_1C_T12,50,0.17417553011763717,1.3934042409410972,12.540638168469874,2.7868084818821943
HNeg_2117,D-Fructose 6-phosphate,A_1C_T12,50,0.13544317709300976,1.083545416744078,6.501272500464468,NA
HNeg_2173,Inosine,A_1C_T12,50,0.01936229928650193,0.1548983942920154,1.5489839429201542,0.6195935771680616
HNeg_2634,Trehalose,A_1C_T12,50,0.15630824444864272,1.2504659555891415,15.0055914670697,NA
HNeg_2635,Sucrose,A_1C_T12,50,19.37890422131588,155.03123377052705,1860.3748052463247,NA
HNeg_3117,UDP-N-acetylglucosamine,A_1C_T12,50,0.16581394287633291,1.326511543010663,22.550696231181274,3.9795346290319897
HNeg_609,"Taurine, 2H4",A_1C_T12,NA,NA,NA,NA,NA
HNeg_sky1,2-Ketoglutaric acid,A_1C_T12,50,0.2911208820169327,2.328967056135461,11.644835280677306,NA
HNeg_sky11,D-Gluconic acid,A_1C_T12,50,0.00675152437964226,0.05401219503713808,0.3240731702228285,NA
HNeg_sky19,L-Cysteic acid,A_1C_T12,50,0.02350152978749757,0.1880122382999806,0.5640367148999418,0.1880122382999806
HNeg_sky22,N-Acetyl-L-glutamic acid,A_1C_T12,50,0.18709199287136435,1.4967359429709148,10.477151600796404,1.4967359429709148
HNeg_sky32,Taurine,A_1C_T12,50,0.00883250933745447,0.07066007469963582,0.14132014939927165,0.07066007469963582
HNeg_sky34,Threonic acid,A_1C_T12,50,0.02145598524968145,0.1716478819974516,0.6865915279898064,NA
HNeg_sky6,Adenosine monophosphate,A_1C_T12,50,0.12009135615404544,0.9607308492323632,9.607308492323632,4.803654246161816
HPos_1157,Ectoine,A_1C_T12,50,1.8518062702163465,14.814450161730774,88.88670097038464,29.628900323461547
HPos_1230,(3-Carboxypropyl)trimethylammonium,A_1C_T12,50,0.0016186617543675,0.01294929403494006,0.09064505824458044,0.01294929403494006
HPos_1241,L-Glutamine,A_1C_T12,50,3.3065484543934343,26.452387635147467,132.26193817573733,52.904775270294934
HPos_1419,L-Histidine,A_1C_T12,50,0.2532747014171479,2.026197611337183,12.157185668023097,6.078592834011548
HPos_1496,5-Hydroxyectoine,A_1C_T12,50,0.00393669027737273,0.0314935222189819,0.1889611333138914,0.0629870444379638
HPos_1848,Arsenobetaine,A_1C_T12,50,7.910629815984675e-4,0.00632850385278774,0.0316425192639387,NA
HPos_1926,L-Tyrosine,A_1C_T12,50,0.15401726067362406,1.2321380853889925,11.089242768500933,1.2321380853889925
HPos_257,Sarcosine,A_1C_T12,50,0.357477398280899,2.859819186247192,8.579457558741575,2.859819186247192
HPos_261,L-Alanine,A_1C_T12,50,1.9112904192622735,15.290323354098188,45.87097006229456,15.290323354098188
HPos_3067,Cytidine,A_1C_T12,50,0.06374223961399168,0.5099379169119335,4.5894412522074015,1.5298137507358005
HPos_3196,Deoxyadenosine,A_1C_T12,50,0.01004049678543621,0.08032397428348974,0.8032397428348974,0.4016198714174487
HPos_3236,2-O-alpha-D-Glucosylglycerol,A_1C_T12,50,1.1921919312555551,9.53753545004444,85.83781905039996,NA
HPos_3429,Adenosine,A_1C_T12,50,0.42621074392842023,3.409685951427362,34.09685951427362,17.04842975713681
HPos_3670,Guanosine,A_1C_T12,50,0.08273330587810407,0.6618664470248324,6.618664470248325,3.3093322351241623
HPos_556,Cytosine,A_1C_T12,50,0.1254150554547954,1.0033204436383631,4.013281774553453,3.0099613309150897
HPos_5986,Glutathione disulfide,A_1C_T12,50,1.2409050482823958,9.927240386259164,198.5448077251833,59.56344231755499
HPos_639,L-Proline,A_1C_T12,50,0.2524219994418524,2.019375995534819,10.096879977674096,2.019375995534819
HPos_705,L-Threonine,A_1C_T12,50,0.9789318891841052,7.831455113472844,31.325820453891374,7.831455113472844
HPos_954,L-Asparagine,A_1C_T12,50,1.0905849860894912,8.724679888715928,34.89871955486371,17.449359777431855
HPos_962,L-Aspartic acid,A_1C_T12,50,10.153015400189677,81.22412320151739,324.89649280606955,81.22412320151739
HPos_978,Dimethylsulfoniopropionate,A_1C_T12,50,0.01719926227985787,0.13759409823886298,0.687970491194315,NA
HPos_989,Adenine,A_1C_T12,50,0.10590484190266616,0.8472387352213293,4.236193676106646,4.236193676106646
HPos_sky16,Creatine,A_1C_T12,50,0.00899396545985934,0.07195172367887472,0.28780689471549886,0.21585517103662416
HPos_sky35,Glycine betaine,A_1C_T12,50,0.19307501610187752,1.54460012881502,7.7230006440751,1.54460012881502
HPos_sky38,Guanine,A_1C_T12,50,0.2629789375058892,2.103831500047113,10.519157500235565,10.519157500235565
HPos_sky45,Hypotaurine,A_1C_T12,50,0.1876189669728745,1.5009517357829958,3.0019034715659916,1.5009517357829958
HPos_sky51,L-Glutamic acid,A_1C_T12,50,50.757009257052445,406.0560740564195,2030.2803702820977,406.0560740564195
HPos_sky54,L-Homoserine,A_1C_T12,50,0.09888381172596224,0.7910704938076979,3.1642819752307916,0.7910704938076979
HPos_sky59,L-Methionine,A_1C_T12,50,0.0105418066021971,0.08433445281757683,0.42167226408788416,0.08433445281757683
HPos_sky60,L-Methionine S-oxide,A_1C_T12,50,0.01208667717894083,0.09669341743152664,0.48346708715763326,0.09669341743152664
HPos_sky64,L-Serine,A_1C_T12,50,1.0868789613466043,8.695031690772835,26.085095072318506,8.695031690772835
HPos_sky71,N6-Acetyl-L-lysine,A_1C_T12,50,0.01055584398217031,0.08444675185736249,0.6755740148588999,0.16889350371472495
HPos_sky72,Ophthalmic acid,A_1C_T12,50,0.08893046157969853,0.7114436926375882,7.82588061901347,2.1343310779127647
HPos_sky74,Proline betaine,A_1C_T12,50,0.01304098162733198,0.10432785301865588,0.730294971130591,0.10432785301865588
RP_14640,Methylthioadenosine,A_1C_T12,50,0.00507321026657686,0.04058568213261489,0.44644250345876385,0.2029284106630745
RP_20713,Riboflavin,A_1C_T12,50,8.279013350996803e-5,6.623210680797442e-4,0.01125945815735565,0.00264928427231897
RP_3959,L-Phenylalanine,A_1C_T12,50,0.06847586220944676,0.547806897675574,4.930262079080166,0.547806897675574
RP_6828,L-Tryptophan,A_1C_T12,50,0.03262100670524338,0.260968053641947,2.8706485900614167,0.521936107283894
RP_7155,L-Kynurenine,A_1C_T12,50,6.048267172874598e-4,0.00483861373829967,0.04838613738299678,0.00967722747659935
RP_7669,Desthiobiotin,A_1C_T12,50,3.5531908089997806e-4,0.00284255264719982,0.02842552647199824,0.00568510529439964
RP_sky1,Agmatine,A_1C_T12,50,0.00141258793800254,0.01130070350402035,0.05650351752010175,0.0452028140160814
RP_sky16,Pantothenic acid,A_1C_T12,50,7.567474549190541e-4,0.00605397963935243,0.05448581675417189,0.00605397963935243
RP_sky17,Pyridoxal,A_1C_T12,50,8.506178595153737e-4,0.00680494287612298,0.05443954300898391,0.00680494287612298
RP_sky21,Pyridoxine,A_1C_T12,50,5.997551815046927e-5,4.798041452037541e-4,0.00383843316163003,4.798041452037541e-4
RP_sky23,S-Adenosylhomocysteine,A_1C_T12,50,0.00451308877311054,0.03610471018488436,0.5054659425883811,0.21662826110930616
RP_sky24,S-Adenosylmethionine,A_1C_T12,50,0.08886731021055173,0.7109384816844138,10.664077225266206,4.2656308901064826
HNeg_1982,Uridine,A_1C_T18,50,0.15211742965733205,1.2169394372586562,10.952454935327903,2.4338788745173123
HNeg_2117,D-Fructose 6-phosphate,A_1C_T18,50,0.04924077897767989,0.39392623182143904,2.3635573909286345,NA
HNeg_2173,Inosine,A_1C_T18,50,0.02418448450744797,0.1934758760595838,1.934758760595838,0.7739035042383352
HNeg_2634,Trehalose,A_1C_T18,50,0.19427886834230992,1.554230946738479,18.650771360861743,NA
HNeg_2635,Sucrose,A_1C_T18,50,18.86547456338967,150.92379650711734,1811.085558085408,NA
HNeg_3117,UDP-N-acetylglucosamine,A_1C_T18,50,0.01081426735747348,0.0865141388597879,1.4707403606163942,0.2595424165793637
HNeg_609,"Taurine, 2H4",A_1C_T18,NA,NA,NA,NA,NA
HNeg_sky1,2-Ketoglutaric acid,A_1C_T18,50,0.20155755330642056,1.6124604264513644,8.062302132256821,NA
HNeg_sky11,D-Gluconic acid,A_1C_T18,50,0.01469328389878722,0.1175462711902978,0.7052776271417867,NA
HNeg_sky19,L-Cysteic acid,A_1C_T18,50,0.02039222204138257,0.16313777633106055,0.4894133289931817,0.16313777633106055
