SampID,Vol.filt.mL,time,Time,biorep,treatment,treatment_number,Pro,BacTot,BacSml,BacLrg,Grz,Phage,MF,FinalBMIS,FinalRSD,Area,Adjusted_Area,Name,RT,mz,MS2,fraction,Predicted_Adduct_Ion,SIRIUS_molecularFormula,SIRIUS_name
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_1671,"Thymine, 2H4",0.08133053045509275,927226,810988.9917146537,Unknown,1.905,213.14919,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_1712,"Thymine, 2H4",0.20226555498604049,1150587,1006349.467130978,Unknown,1.857,215.16478,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_1744,"DL-Alanine, 2H3",0.09670713347206682,2436886,2181049.4055482834,Unknown,11.259,217.08275,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_1770,Inj_vol,0.08848038821908702,616485,616485,Unknown,2.312,219.05197,TRUE,HILIC_Neg,NA,C9H8N4O3,null
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_1811,"Thymine, 2H4",0.19910640806704827,0,0,Unknown,1.793,223.17001,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_1813,"DL-Proline, 2H7",0.12711358721525268,85798,86249.72981175368,Unknown,10.558,223.7386,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_1828,"Thymine, 2H4",0.0486757876012359,248183,217070.79064944023,Unknown,1.784,225.18561,TRUE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_1840,"L-Cysteic acid, 2H3",0.17652953496325802,0,0,Unknown,2.545,227.13982,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_1877,"Thymine, 2H4",0.05371078195799097,21748,19021.671730312013,Unknown,2.174,229.15564,TRUE,HILIC_Neg,NA,C9H20N5O2,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_1877,"Thymine, 2H4",0.05371078195799097,21748,19021.671730312013,Unknown,2.174,229.15564,TRUE,HILIC_Neg,NA,C9H20N5O2,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_1878,"Thymine, 2H4",0.10119589477639736,177965,155655.31586743504,Unknown,1.82,229.18031,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_1884,"Trehalose, 13C",0.22483277892605408,18539,18825.988334909172,Unknown,12.283,231.09799,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_1932,Inj_vol,0.28853091172048634,411750,411750,Unknown,10.469,237.06142,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_1963,"DL-Proline, 2H7",0.17734531297333822,676650,680212.5886048991,Thymidine,3.491,241.08284,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_1978,"Sulfoacetic acid, 13C2",0.21808868927429528,288939,269604.2262701697,Unknown,12.043,243.01785,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_1982,Inj_vol,0.1050776909079253,2290054,2290054,Uridine,6.15,243.06216,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_1987,"DL-Histidine, 15N",0.094027139802178,615839,527195.4984320396,Unknown,2.743,243.15982,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2000,"DL-Proline, 2H7",0.11828015583691968,17197,17287.542874807434,Unknown,10.642,245.0338,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2003,Inj_vol,0.20911873530936745,0,0,Unknown,2.614,245.10295,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2005,"Sucrose, 13C",0.1004730176807339,17118,16267.748483223852,Unknown,12.11,245.11432,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2010,"Cytosine, 13C2, 15N3",0.19337274277452415,584845,857347.8974081506,Unknown,11.256,245.97084,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2021,Inj_vol,0.08363223890402818,205387,205387,Unknown,2.393,247.11205,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2041,"DL-Alanine, 2H3",0.23958955948892063,289103,258751.5075765651,Unknown,11.304,250.09267,FALSE,HILIC_Neg,NA,NA,NA
