MF,Ion
HPos_1584,[M+H]+
HPos_2866,[M+H]+
HPos_3587,[M+H]+
HPos_3762,[M+H]+
HPos_4417,[M+H]+
HPos_5108,[M+H]+
HPos_5120,[M+H]+
HPos_5974,[M+H]+
HNeg_1076,[M-H]-
HNeg_1677,[M-H]-
HNeg_1794,[M-H]-
HNeg_1887,[M-H]-
HNeg_1988,[M-H]-
HNeg_2001,[M-H]-
HNeg_2066,[M-H]-
HNeg_2120,[M-H]-
HNeg_2262,[M-H]-
HNeg_2857,[M-H]-
HNeg_3121,[M-H]-
HPos_520,[M+H]+
HPos_1307,[M+H]+
RP_10989,[M+H]+
RP_13207,[M+H]+
RP_18373,[M+H]+
RP_6754,[M+H]+
RP_8867,[13CM+H]+
RP_9544,[M+H]+
