SampID,MF,Area
201006_Poo_TruePooMortality_Full1,"Indole-3-acetic acid, 2H5",29809928
201006_Poo_TruePooMortality_Full2,"Indole-3-acetic acid, 2H5",60917200
201006_Poo_TruePooMortality_Full3,"Indole-3-acetic acid, 2H5",52356120
201006_Poo_TruePooMortality_Full4,"Indole-3-acetic acid, 2H5",62995152
201006_Poo_TruePooMortality_Half1,"Indole-3-acetic acid, 2H5",15676842
201006_Poo_TruePooMortality_Half2,"Indole-3-acetic acid, 2H5",32261386
201006_Poo_TruePooMortality_Half3,"Indole-3-acetic acid, 2H5",26569716
201006_Poo_TruePooMortality_Half4,"Indole-3-acetic acid, 2H5",33739136
201006_Smp_A_1C_T0,"Indole-3-acetic acid, 2H5",60588808
201006_Smp_A_1C_T12,"Indole-3-acetic acid, 2H5",50415568
201006_Smp_A_1C_T18,"Indole-3-acetic acid, 2H5",54241524
201006_Smp_A_1C_T24,"Indole-3-acetic acid, 2H5",52030852
201006_Smp_A_1C_T30,"Indole-3-acetic acid, 2H5",15315327
201006_Smp_A_1C_T36,"Indole-3-acetic acid, 2H5",57355928
201006_Smp_A_1C_T42,"Indole-3-acetic acid, 2H5",50987644
201006_Smp_A_1C_T48,"Indole-3-acetic acid, 2H5",60630768
201006_Smp_A_1C_T6,"Indole-3-acetic acid, 2H5",52700804
201006_Smp_A_3LV_T0,"Indole-3-acetic acid, 2H5",72964936
201006_Smp_A_3LV_T12,"Indole-3-acetic acid, 2H5",53994700
201006_Smp_A_3LV_T24,"Indole-3-acetic acid, 2H5",20159332
201006_Smp_A_3LV_T36,"Indole-3-acetic acid, 2H5",58333272
201006_Smp_A_3LV_T48,"Indole-3-acetic acid, 2H5",27716586
201006_Smp_A_4LGV_T0,"Indole-3-acetic acid, 2H5",58422228
201006_Smp_A_4LGV_T12,"Indole-3-acetic acid, 2H5",49122180
201006_Smp_A_4LGV_T24,"Indole-3-acetic acid, 2H5",70650344
201006_Smp_A_4LGV_T36,"Indole-3-acetic acid, 2H5",54365832
201006_Smp_A_4LGV_T48,"Indole-3-acetic acid, 2H5",51164336
201006_Smp_A_6HV_T0,"Indole-3-acetic acid, 2H5",55532644
201006_Smp_A_6HV_T12,"Indole-3-acetic acid, 2H5",46761792
201006_Smp_A_6HV_T24,"Indole-3-acetic acid, 2H5",66442184
201006_Smp_A_6HV_T36,"Indole-3-acetic acid, 2H5",20593086
201006_Smp_A_6HV_T48,"Indole-3-acetic acid, 2H5",62928084
201006_Smp_A_8G_T0,"Indole-3-acetic acid, 2H5",56365572
201006_Smp_A_8G_T48,"Indole-3-acetic acid, 2H5",56373996
201006_Smp_A_9V_T0,"Indole-3-acetic acid, 2H5",56165388
201006_Smp_Filter_blk_1,"Indole-3-acetic acid, 2H5",57581236
201006_Smp_Filter_blk_2,"Indole-3-acetic acid, 2H5",77401648
201006_Smp_Media_blk,"Indole-3-acetic acid, 2H5",46752728
201006_Poo_TruePooMortality_Full1,"L-Phenylalanine, 2H8",11451548
