MF,Name,mean.log2.fc,p,signif,bact.cor.pearson,bactlm.p.adj
HNeg_1013,Unknown,0.9583136387204663,0.0114,TRUE,0.8027766788126857,2.300912041272231e-12
HNeg_1041,Unknown,-0.6506247416900492,0.0779,FALSE,-0.22892882289004157,0.12327705007400165
HNeg_1104,Unknown,0.8086022093755587,5.88e-4,TRUE,0.3003664616599633,0.0038709214834476923
HNeg_1107,Unknown,1.0145986871478048,0.00926,TRUE,0.28077236541478,0.056905494491240896
HNeg_1113,Unknown,0.760283484860452,0.0572,FALSE,0.7764318055074084,3.7855544266502864e-11
HNeg_1114,Unknown,-0.20643281014523265,0.209,FALSE,-0.4395941702356337,0.002274156655299802
HNeg_1179,Unknown,-1.4580395808725302,0.248,FALSE,0.33048807112341144,0.027034981880676254
HNeg_1191,Unknown,-1.0640806620612484,8.04e-5,TRUE,-0.27780952302961814,0.05931923153294839
HNeg_1234,Unknown,-0.13892127422425377,0.668,FALSE,-0.467037272684124,0.0010605764278080725
HNeg_1264,Unknown,0.5917588738256905,0.179,FALSE,0.3240089008412971,0.0017590130550091303
HNeg_1277,Unknown,0.978010378759619,0.0261,TRUE,0.5817726416451815,1.616603761030398e-5
HNeg_1293,Unknown,-2.031244234235432,0.00888,TRUE,-0.09304251698030198,0.5552787997922027
HNeg_1299,Unknown,0.5475587715130092,0.353,FALSE,-0.403830657821965,0.005736236485384234
HNeg_1315,Unknown,1.851970401509414,0.00602,TRUE,0.5569347975960902,4.834943454626929e-5
HNeg_1352,Unknown,0.7706694704682584,0.11,FALSE,0.29617738800139426,0.047012183171236746
HNeg_1353,Unknown,0.7918973891888281,0.06,FALSE,0.32962511560947255,0.027473002184338673
HNeg_1356,Unknown,-0.8042260452312174,0.282,FALSE,-0.10772838203277733,0.48939192017846794
HNeg_1383,Unknown,-0.5889549239526951,0.00473,TRUE,-0.47408538452071364,8.757872380022263e-4
HNeg_1436,Unknown,1.4679027232163533,0.0142,TRUE,-0.2502408296413493,0.08961536377931335
HNeg_1473,Unknown,1.9253494242691007,0.00616,TRUE,-0.08996117811530845,0.5665664758617737
HNeg_1494,Unknown,1.4450787505453373,0.0228,TRUE,-0.3632135844926505,0.014719860892251767
HNeg_1552,Unknown,-2.016747259743933,0.104,FALSE,0.22945486226001552,0.12250199130664238
HNeg_1559,Unknown,0.9422579153053935,0.343,FALSE,-0.2201507689795227,0.13847150578925455
HNeg_1671,Unknown,1.1400081769416623,0.0223,TRUE,-0.030657411921988897,0.8608453464150991
HNeg_1712,Unknown,1.4114225855249045,0.00878,TRUE,0.21924838233393162,0.13983680569222404
HNeg_1744,Unknown,-0.09795862493554805,0.701,FALSE,-0.14581962322880723,0.33818339823181853
HNeg_1770,Unknown,-2.164247365872603,0.0273,TRUE,-0.027650592067498307,0.8761289567470505
HNeg_1811,Unknown,1.4894339026487355,0.0358,TRUE,-0.05425833384503243,0.747196144021459
HNeg_1813,Unknown,-4.884570456782966,0.103,FALSE,-0.45565705789771593,0.0015326051969454695
HNeg_1828,Unknown,1.4154624580380557,0.00934,TRUE,-0.052140192104030036,0.7545076246643346
HNeg_1840,Unknown,3.3982185024634775,0.16,FALSE,0.5082048461977807,2.960513706940744e-4
HNeg_1877,Unknown,2.6413585832973716,0.0499,TRUE,0.28707669475933223,0.006072649795681933
HNeg_1878,Unknown,-1.322890524662332,0.118,FALSE,-0.06870427197602927,0.6706992966173955
HNeg_1884,Unknown,0.38167574739371324,0.376,FALSE,0.5984098161225169,7.338650362918595e-6
HNeg_1932,Unknown,0.007495454205096412,0.978,FALSE,0.3350641986937858,0.025677491475135327
HNeg_1963,Thymidine,1.2211698785232419,0.00233,TRUE,0.3802745833318819,0.010106124394868547
HNeg_1978,Unknown,0.28408383175299645,0.563,FALSE,0.6323978768886942,1.3015594864722663e-6
HNeg_1982,Uridine,0.367695876916237,0.047,TRUE,0.4278829781028816,0.0030851611729989744
HNeg_1987,Unknown,0.33811399423756355,0.355,FALSE,-0.31820760865893777,0.03411365987299156
HNeg_2000,Unknown,1.5689130111789937,0.19,FALSE,0.2155302474793436,0.14691934338155727
HNeg_2003,Unknown,0.918911477240001,0.108,FALSE,0.30007013774876384,0.04467484833658545
HNeg_2005,Unknown,0.9582773729236533,0.00584,TRUE,0.38020472515072606,0.010106124394868547
