GENE.NAME,HV0_LFC_nonDE_padj,HV0_LFC_nonDE_log2FoldChange,HV12_LFC_nonDE_padj,HV12_LFC_nonDE_log2FoldChange,HV24_LFC_nonDE_padj,HV24_LFC_nonDE_log2FoldChange,HV36_LFC_nonDE_padj,HV36_LFC_nonDE_log2FoldChange,KEGG,PathwayID,Pathway_info,Details
aarA,0.999972841910413,0.022797108451949585,0.09425897110631948,-0.3868723780904226,0.0063186843690195916,-0.8209902998526605,0.0034541862682164375,0.4307405674162019,K14330,9191,Metabolism,99983 Lipid metabolism
accA,0.999972841910413,0.05922428005799557,0.9396755210510429,0.02835043706720274,0.8061735147799158,-0.08509629813967874,0.001936676476185468,0.6835089794255645,K01962,9101,Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620]
accA,0.999972841910413,0.05922428005799557,0.9396755210510429,0.02835043706720274,0.8061735147799158,-0.08509629813967874,0.001936676476185468,0.6835089794255645,K01962,9103,Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ko00061]
accA,0.999972841910413,0.05922428005799557,0.9396755210510429,0.02835043706720274,0.8061735147799158,-0.08509629813967874,0.001936676476185468,0.6835089794255645,K01962,9101,Carbohydrate metabolism,00640 Propanoate metabolism [PATH:ko00640]
accA,0.999972841910413,0.05922428005799557,0.9396755210510429,0.02835043706720274,0.8061735147799158,-0.08509629813967874,0.001936676476185468,0.6835089794255645,K01962,9102,Energy metabolism,00720 Carbon fixation pathways in prokaryotes [PATH:ko00720]
accB,0.999972841910413,-0.0658837400928439,0.22243523201501483,-0.35359293668838093,0.007587054086744202,-0.7132593220956465,4.29894881080687e-6,-0.7901307920558511,K02160,9101,Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620]
accB,0.999972841910413,-0.0658837400928439,0.22243523201501483,-0.35359293668838093,0.007587054086744202,-0.7132593220956465,4.29894881080687e-6,-0.7901307920558511,K02160,9102,Energy metabolism,00720 Carbon fixation pathways in prokaryotes [PATH:ko00720]
accB,0.999972841910413,-0.0658837400928439,0.22243523201501483,-0.35359293668838093,0.007587054086744202,-0.7132593220956465,4.29894881080687e-6,-0.7901307920558511,K02160,9101,Carbohydrate metabolism,00640 Propanoate metabolism [PATH:ko00640]
accB,0.999972841910413,-0.0658837400928439,0.22243523201501483,-0.35359293668838093,0.007587054086744202,-0.7132593220956465,4.29894881080687e-6,-0.7901307920558511,K02160,9103,Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ko00061]
accC,0.999972841910413,-0.09046256070100543,0.7420069910888757,-0.10652357625880989,9.726123522932895e-7,-1.3406443425085353,0.011704950224110004,-0.40758950217564943,K01961,9101,Carbohydrate metabolism,00640 Propanoate metabolism [PATH:ko00640]
