Time,A_1,B_1,C_1,A_3,B_3,C_3,A_4,B_4,C_4,A_6,B_6,C_6,E_2,E_3,E_4
0,1.67E+07,1.82E+07,1.64E+07,1.74E+07,1.85E+07,1.73E+07,1.68E+07,1.92E+07,1.66E+07,1.61E+07,1.69E+07,1.61E+07,1.62E+07,1.50E+07,1.29E+07
2,1.74E+07,1.87E+07,1.54E+07,1.71E+07,1.81E+07,1.61E+07,1.65E+07,1.83E+07,1.64E+07,1.69E+07,1.69E+07,1.58E+07,1.53E+07,1.36E+07,1.20E+07
4,1.77E+07,1.78E+07,1.78E+07,1.80E+07,1.84E+07,1.66E+07,1.68E+07,1.76E+07,1.65E+07,1.62E+07,1.73E+07,1.66E+07,1.45E+07,1.23E+07,1.12E+07
6,1.91E+07,1.75E+07,1.83E+07,1.77E+07,1.80E+07,1.77E+07,1.55E+07,1.86E+07,1.69E+07,1.76E+07,1.71E+07,1.71E+07,1.37E+07,1.17E+07,1.21E+07
8,1.82E+07,1.81E+07,1.67E+07,1.77E+07,1.70E+07,1.70E+07,1.79E+07,1.72E+07,1.59E+07,1.81E+07,1.73E+07,1.62E+07,1.50E+07,1.21E+07,1.10E+07
10,1.68E+07,1.63E+07,1.70E+07,1.55E+07,1.53E+07,1.71E+07,1.45E+07,1.47E+07,1.52E+07,1.47E+07,1.54E+07,1.61E+07,1.70E+07,1.38E+07,1.05E+07
12,1.54E+07,1.54E+07,1.68E+07,1.50E+07,1.43E+07,1.65E+07,1.29E+07,1.29E+07,1.22E+07,1.45E+07,1.38E+07,1.56E+07,1.40E+07,1.24E+07,1.01E+07
14,1.50E+07,1.60E+07,1.88E+07,1.62E+07,1.57E+07,1.69E+07,1.26E+07,1.31E+07,1.15E+07,1.50E+07,1.50E+07,1.67E+07,1.55E+07,1.21E+07,1.23E+07
16,1.77E+07,1.77E+07,1.99E+07,1.64E+07,1.77E+07,1.83E+07,1.22E+07,1.23E+07,1.11E+07,1.52E+07,1.52E+07,1.39E+07,1.32E+07,1.12E+07,1.21E+07
18,1.97E+07,1.91E+07,2.01E+07,2.02E+07,1.93E+07,1.83E+07,1.00E+07,1.19E+07,8.50E+06,1.46E+07,1.45E+07,1.29E+07,1.30E+07,1.17E+07,1.22E+07
20,2.28E+07,2.10E+07,2.24E+07,2.11E+07,2.28E+07,2.28E+07,9.23E+06,1.07E+07,7.11E+06,1.48E+07,1.42E+07,1.17E+07,1.54E+07,1.28E+07,1.37E+07
22,2.39E+07,2.39E+07,2.62E+07,2.38E+07,2.35E+07,2.65E+07,7.17E+06,7.03E+06,4.93E+06,1.50E+07,1.25E+07,9.61E+06,1.43E+07,1.24E+07,1.52E+07
24,2.83E+07,2.75E+07,2.65E+07,2.51E+07,2.63E+07,2.79E+07,6.33E+06,6.94E+06,2.84E+06,1.29E+07,1.10E+07,8.12E+06,1.33E+07,1.25E+07,1.19E+07
26,2.92E+07,2.94E+07,2.62E+07,2.60E+07,2.83E+07,2.98E+07,4.20E+06,5.20E+06,1.08E+06,1.13E+07,8.22E+06,5.08E+06,1.32E+07,1.08E+07,1.13E+07
28,2.94E+07,2.84E+07,3.13E+07,2.78E+07,2.61E+07,2.98E+07,2.24E+06,2.50E+06,2.74E+05,9.37E+06,7.51E+06,3.89E+06,1.16E+07,1.01E+07,1.12E+07
30,2.92E+07,2.95E+07,3.07E+07,2.53E+07,2.96E+07,2.72E+07,6.09E+05,1.87E+06,4.61E+04,5.93E+06,4.55E+06,2.28E+06,9.43E+06,9.39E+06,9.15E+06
32,3.03E+07,3.07E+07,2.73E+07,2.96E+07,2.87E+07,2.57E+07,1.81E+05,1.07E+06,#N/A,4.44E+06,3.18E+06,1.94E+06,7.62E+06,6.55E+06,7.30E+06
34,3.06E+07,2.91E+07,2.70E+07,2.82E+07,2.78E+07,2.60E+07,3.98E+04,8.74E+05,#N/A,2.27E+06,2.03E+06,1.66E+06,5.46E+06,5.36E+06,6.66E+06
36,2.77E+07,3.10E+07,2.63E+07,2.42E+07,2.41E+07,2.33E+07,1.01E+04,5.09E+05,7.53E+03,1.48E+06,9.43E+05,1.23E+06,3.37E+06,3.67E+06,4.71E+06
38,3.21E+07,3.09E+07,2.99E+07,2.37E+07,2.29E+07,2.27E+07,#N/A,#N/A,#N/A,1.21E+06,5.70E+05,1.17E+06,2.14E+06,2.62E+06,5.65E+06
40,3.58E+07,3.48E+07,3.34E+07,2.30E+07,2.14E+07,2.00E+07,5.36E+03,1.39E+05,#N/A,1.35E+06,4.97E+05,9.37E+05,1.09E+06,1.77E+06,2.27E+06
42,3.43E+07,3.31E+07,3.57E+07,1.97E+07,1.88E+07,1.83E+07,#N/A,#N/A,3.62E+03,1.14E+06,6.31E+05,9.27E+05,6.34E+05,1.19E+06,1.74E+06
44,4.03E+07,3.55E+07,3.63E+07,1.94E+07,1.67E+07,1.51E+07,4.53E+03,1.29E+05,#N/A,1.11E+06,1.38E+06,1.03E+06,3.14E+05,7.33E+05,1.15E+06
46,4.08E+07,4.02E+07,4.40E+07,1.77E+07,1.29E+07,1.38E+07,#N/A,#N/A,#N/A,1.47E+06,1.31E+06,1.10E+06,1.47E+05,3.04E+05,4.01E+05
48,3.71E+07,4.47E+07,4.48E+07,1.32E+07,1.13E+07,1.22E+07,1.03E+04,3.84E+04,3.60E+03,1.86E+06,8.68E+05,1.00E+06,1.49E+05,1.95E+05,5.36E+05
