experiment,treatment,time,abundance,Qc,net,loss
A,Control,0,14430000,23.7238493770008,NA,NA
A,Control,2,17059500,27.0604313307618,0.056722516537721646,0
A,Control,4,17429812,30.393719571811264,0.034898604778778264,0
A,Control,6,18855236,33.70063101085978,0.013387032841899682,0
A,Control,8,18015216,36.95006244658996,-0.014300893328636377,0
A,Control,10,16610307,39.27107722753801,-0.03316877617880287,0
A,Control,12,15515027,39.8145980496465,-0.02866374350353773,0
A,Control,14,14971153,38.6415327237917,0.0037650346700051074,0
A,Control,16,17627037,36.1664065417937,0.04524849219026983,0
A,Control,18,19528501,32.944068397263436,0.05999458568381222,0
A,Control,20,22653895,29.989293997376215,0.05706750660758253,0
A,Control,22,22714954,28.147763479001984,0.04958182336295991,0
A,Control,24,27600885,28.20314752821034,0.04844230237251779,0
A,Control,26,28656451,29.95923977957548,0.029850726132593763,0
A,Control,28,28745887,32.61663601973686,0.01184238524471759,0
A,Control,30,28728385,35.14554548826678,0.0048536401211212166,0
A,Control,32,29928353,37.01478462367602,0.002910381386614702,0
A,Control,34,30113005,37.733120084439726,-0.0029324669942738524,0
A,Control,36,27310161,36.44885655873454,2.707298923372292e-4,0
A,Control,38,31472573,33.765337936304896,0.023148784657342603,0
A,Control,40,32644053.5,30.9394793312566,0.033141084334836535,0
A,Control,42,33815534,28.535216576466766,0.03778609136973721,0
A,Control,44,39322115,26.80593941466249,0.03416782476253388,0
A,Control,46,39683838,25.87814256117669,0.006655273223110214,0
A,Control,48,35374999,25.412056790241575,-0.020868936074853295,0
A,High grazer - very high virus,0,15957156.5,23.15626799915411,NA,NA
A,High grazer - very high virus,2,15148013.5,24.857859330302592,-0.03158744525957058,0.08830996179729222
A,High grazer - very high virus,4,13988597.5,26.490403797630854,-0.04795411905910196,0.08285272383788023
A,High grazer - very high virus,6,11933991.5,27.648545018694453,-0.08531049887312125,0.09869753171502094
A,High grazer - very high virus,8,8996221.5,27.851917270984302,-0.14917172476223461,0.13487083143359824
A,High grazer - very high virus,10,5076654.5,26.909653087336107,-0.24419825687898866,0.2110294807001858
A,High virus,0,15324358,22.93232446409515,NA,NA
A,High virus,2,16510085,25.365360131044657,0.021757236819549775,0.03496527971817187
A,High virus,4,15970382,27.917146549846823,0.015950673646502267,0.018947931132275997
A,High virus,6,17447296,30.55575835813267,0.012001267533316096,0.0013857653085835864
