MF,Name,final_fc_determination,mz,RT,Fraction,SIRUS_adduct,SIRIUS_molecular_formula,Classyfire_class,Classyfire_class_probability,Classyfire_most_specific_classification,Classyfire_most_specific_classification_probability,SIRIUS_predicted_identity,SIRIUS_identity_confidence_score
HPos_3316,Unknown,Not Changed,260.16077,2.882,HPos,[M + H]+,C11H21N3O4,Carboxylic acids and derivatives,0.9999985694885254,Dipeptides,0.998577356338501,"L-Isoleucine, L-glutaminyl-",0.514292859327626
HPos_3429,Adenosine,Not Changed,268.10349,5.488,HPos,[M + H]+,C10H13N5O4,Purine nucleosides,0.9989687204360962,Purine nucleosides,0.9989687204360962,Adenocor,0.696327335281081
HPos_3429,Adenosine,Not Changed,268.10349,5.488,HPos,[M + H]+,C10H13N5O4,Purine nucleosides,0.9989680051803588,Purine nucleosides,0.9989680051803588,Adenocor,0.668461271554116
HPos_3495,Unknown,Increased,272.13406,10.679,HPos,[M + H]+,C10H17N5O4,Fatty Acyls,0.584387481212616,Fatty acyl glycosides of mono- and disaccharides,0.5175005793571472,Lilioside B,0.411770236067014
HPos_3495,Unknown,Increased,272.13406,10.679,HPos,[M + H]+,C9H21NO8,Organooxygen compounds,0.9999996423721312,Hexoses,0.5298759937286377,Lilioside B,0.367560195993998
HPos_3536,Unknown,Not Changed,274.18719,10.62,HPos,[M + H]+,C11H23N5O3,Carboxylic acids and derivatives,1,Dipeptides,0.9968754053115844,valylarginine,0.921191802527608
HPos_3581,Unknown,Increased,277.08936,10.619,HPos,[M + Na]+,C9H18O8,NA,NA,NA,NA,NA,NA
HPos_3701,Unknown,Decreased,286.11331,10.461,HPos,[M + H]+,C9H19NO9,Organooxygen compounds,1,Disaccharides,0.7218278050422668,mannosylglycerate,0.408618688641918
HPos_3732,Unknown,Increased,288.20331,10.427,HPos,[M + H]+,C12H25N5O3,Carboxylic acids and derivatives,1,Dipeptides,0.9999843835830688,Leucylarginine,0.253540231210833
HPos_3766,Unknown,Not Changed,290.17105,2.771,HPos,[M + H]+,C12H23N3O5,Carboxylic acids and derivatives,1,Oligopeptides,0.9963178634643556,2-[[2-(2-aminopropanoylamino)-3-hydroxypropanoyl]amino]-3-methylpentanoic acid,0.201576639894412
HPos_4371,Unknown,Decreased,340.03543,10.607,HPos,[M + H]+,C9H14N3O7PS,Diazines,0.9992244243621826,Pyrimidones,0.6442363262176514,null,0.0520827927634155
HPos_4606,Unknown,Decreased,360.1499,12.007,HPos,[M + H]+,C12H25NO11,Fatty Acyls,0.3999108374118805,Alkyl glycosides,0.6092979311943054,Sugar-d6,0.155378078187898
HPos_4662,Unknown,Not Changed,366.05112,9.668,HPos,[M + H]+,C8H15NO15,Carboxylic acids and derivatives,0.99971741437912,Arginine and derivatives,0.6035228371620178,NA,NA
HPos_5283,Unknown,Decreased,438.15906,10.218,HPos,[M + Na]+,C16H25N5O8,Purine nucleosides,0.9862284660339355,Purine nucleosides,0.9862284660339355,L-alanyl-L-asparaginyl-L-alpha-aspartyl-L-proline,0.0915670750270206
HPos_5283,Unknown,Decreased,438.15906,10.218,HPos,[M + Na]+,C16H25N5O8,NA,NA,NA,NA,NA,NA
HPos_639,Proline,Not Changed,116.07065,9.667,HPos,[M + H]+,C5H9NO2,NA,NA,NA,NA,NA,NA
HPos_901,Unknown,Not Changed,130.04996,11.157,HPos,[M + H]+,C5H7NO3,Carboxylic acids and derivatives,0.9999346733093262,Proline and derivatives,0.9664319157600404,Pidolate,0.971994075240831
HPos_962,Aspartic acid,Decreased,134.04491,11.546,HPos,[M + H]+,C4H7NO4,Carboxylic acids and derivatives,0.9999984502792358,L-alpha-amino acids,0.5474900007247925,aspartate,0.886815889485639
HPos_962,Aspartic acid,Decreased,134.04491,11.546,HPos,[M + H]+,C4H7NO4,Carboxylic acids and derivatives,0.9999986886978148,L-alpha-amino acids,0.5330116152763367,aspartate,0.974960712213028
HPos_989,Adenine,Increased,136.06171,5.611,HPos,[M + H]+,C5H5N5,Imidazopyrimidines,0.9298095703125,6-aminopurines,0.6384421586990356,adenine,0.773188776043401
HNeg_1104,Unknown,Not Changed,167.01228,9.4,HNeg,[M - H]-,C5H5N4OP,Azoles,0.7788457274436951,Imidazoles,0.6969960331916809,null,0.08258754331290655
HNeg_1104,Unknown,Not Changed,167.01228,9.4,HNeg,[M + Cl]-,C5H8O4,NA,NA,NA,NA,NA,NA
HNeg_1264,Unknown,Not Changed,180.06586,9.537,HNeg,[M - H]-,C7H9N4O2,Carboxylic acids and derivatives,0.9999088048934937,Tyrosine and derivatives,0.6216623783111572,"2-amino-4-azidohepta-4,6-dienoic acid",N/A
HNeg_1264,Unknown,Not Changed,180.06586,9.537,HNeg,[M - H]-,C7H9N4O2,Carboxylic acids and derivatives,0.999832272529602,Tyrosine and derivatives,0.5274839997291565,"2-amino-4-azidohepta-4,6-dienoic acid",N/A
HNeg_1352,Unknown,Not Changed,187.10834,2.775,HNeg,[M - H]-,C6H14N5O2,Carboxylic acids and derivatives,0.9664801359176636,Alpha amino acids and derivatives,0.8234822750091553,NA,NA
HNeg_1770,Unknown,Decreased,219.05197,2.312,HNeg,[M - H]-,C9H8N4O3,Pteridines and derivatives,0.7351212501525879,Pteridines and derivatives,0.7351212501525879,null,0.12092335068023458
HNeg_1877,Unknown,Not Changed,229.15564,2.174,HNeg,[M - H]-,C9H20N5O2,Carboxylic acids and derivatives,0.9982178807258606,Alpha amino acids,0.5424481630325317,NA,NA
HNeg_1877,Unknown,Not Changed,229.15564,2.174,HNeg,[M - H]-,C9H20N5O2,Carboxylic acids and derivatives,0.9988468885421752,Valine and derivatives,0.7156293988227844,NA,NA
HNeg_2635,Sucrose,Decreased,341.10889,11.914,HNeg,[M - H]-,C10H20N3O10,Organooxygen compounds,0.9989412426948548,Monosaccharides,0.5626798272132874,null,0.13248435792597507
HNeg_2635,Sucrose,Decreased,341.10889,11.914,HNeg,[M - H]-,C10H20N3O10,Organooxygen compounds,0.999450981616974,Monosaccharides,0.5315454602241516,null,0.1728850807817472
HNeg_2736,Unknown,Decreased,366.99765,10.542,HNeg,[M + Br]-,C19H12O3,NA,NA,NA,NA,NA,NA
HNeg_2778,Unknown,Decreased,377.08578,11.928,HNeg,[M + Cl]-,C8H19ClN8O5,Imidazopyrimidines,0.7901344895362854,Purines and purine derivatives,0.5647355318069458,NA,NA
HNeg_2905,Unknown,Decreased,414.16245,10.21,HNeg,[M - H]-,C15H19N12O3,Imidazopyrimidines,0.998975157737732,6-aminopurines,0.923129379749298,null,0.838872211497001
HNeg_651,Unknown,Decreased,132.02922,11.538,HNeg,[M - H]-,C2H5N4O3,Carboxylic acids and derivatives,0.9880480766296388,Alpha amino acids and derivatives,0.7259581089019775,NA,NA
