SampID,Time,Rep,Treatment,MF,Name,Metab_nM_in_sample,Metab_nM_C_in_sample,Metab_nM_N_in_sample,Total_FCM_biomass_C_in_sample_nM,Percent_metab_C
A_1C_T0,0,A,C,HNeg_1982,Uridine,0.92347368049549206,8.311263124459428,1.8469473609909841,29708.197838308643,0.027976328856077818
A_1C_T0,0,A,C,HNeg_2117,D-Fructose 6-phosphate,0.1501708576106862,0.9010251456641172,NA,29708.197838308643,0.0030329175487792386
A_1C_T0,0,A,C,HNeg_2173,Inosine,0.10990534541744156,1.0990534541744157,0.4396213816697663,29708.197838308643,0.0036994955404436856
A_1C_T0,0,A,C,HNeg_2635,Sucrose,34.383738279525176,412.6048593543021,NA,29708.197838308643,1.3888585958662536
A_1C_T0,0,A,C,HNeg_3117,UDP-N-acetylglucosamine,0.5744563733155773,9.765758346364814,1.723369119946732,29708.197838308643,0.032872267781157344
A_1C_T0,0,A,C,HNeg_sky1,2-Ketoglutaric acid,1.9800383044806693,9.900191522403349,NA,29708.197838308643,0.033324779834464004
A_1C_T0,0,A,C,HNeg_sky11,D-Gluconic acid,0.03368531292347682,0.20211187754086096,NA,29708.197838308643,6.803235882596629e-4
A_1C_T0,0,A,C,HNeg_sky19,L-Cysteic acid,0.1564439920193809,0.4693319760581427,0.1564439920193809,29708.197838308643,0.001579806283142966
A_1C_T0,0,A,C,HNeg_sky22,N-Acetyl-L-glutamic acid,0.5390958187834354,3.773670731484048,0.5390958187834354,29708.197838308643,0.012702455908038656
A_1C_T0,0,A,C,HNeg_sky32,Taurine,0.06186467366238014,0.12372934732476028,0.06186467366238014,29708.197838308643,4.164821710094162e-4
A_1C_T0,0,A,C,HNeg_sky36,Thymine,1.0184186341263852,5.092093170631927,2.0368372682527704,29708.197838308643,0.017140363741841268
A_1C_T0,0,A,C,HNeg_sky6,Adenosine monophosphate,0.4637861016023338,4.637861016023338,2.318930508011669,29708.197838308643,0.015611384578982535
A_1C_T0,0,A,C,HPos_1157,Ectoine,8.11718364460117,48.70310186760702,16.23436728920234,29708.197838308643,0.16393825748933347
A_1C_T0,0,A,C,HPos_1241,L-Glutamine,10.01106407275534,50.0553203637767,20.02212814551068,29708.197838308643,0.16848992536070465
A_1C_T0,0,A,C,HPos_1496,5-Hydroxyectoine,0.00829167533585108,0.0497500520151065,0.01658335067170216,29708.197838308643,1.6746236943041337e-4
A_1C_T0,0,A,C,HPos_1848,Arsenobetaine,0.0044753032443165,0.02237651622158252,NA,29708.197838308643,7.532101524087759e-5
A_1C_T0,0,A,C,HPos_1926,L-Tyrosine,0.7602830159200822,6.84254714328074,0.7602830159200822,29708.197838308643,0.023032521799276878
A_1C_T0,0,A,C,HPos_257,Sarcosine,2.091421619670553,6.274264859011659,2.091421619670553,29708.197838308643,0.02111964143082759
A_1C_T0,0,A,C,HPos_261,L-Alanine,9.568042913257887,28.704128739773665,9.568042913257887,29708.197838308643,0.09662022885400261
A_1C_T0,0,A,C,HPos_3067,Cytidine,0.21165197151327855,1.904867743619507,0.6349559145398357,29708.197838308643,0.0064119262770062245
A_1C_T0,0,A,C,HPos_3196,Deoxyadenosine,0.05215613572439732,0.5215613572439732,0.2607806786219866,29708.197838308643,0.0017556142586724708
A_1C_T0,0,A,C,HPos_3236,2-O-alpha-D-Glucosylglycerol,2.8756572002555885,25.880914802300296,NA,29708.197838308643,0.08711708109378122
A_1C_T0,0,A,C,HPos_3429,Adenosine,2.9047617797245087,29.04761779724509,14.523808898622544,29708.197838308643,0.09777643852831848
A_1C_T0,0,A,C,HPos_3670,Guanosine,0.4377449627513197,4.377449627513197,2.1887248137565987,29708.197838308643,0.014734820507585579
A_1C_T0,0,A,C,HPos_5986,Glutathione disulfide,3.2843848303760907,65.68769660752181,19.706308982256544,29708.197838308643,0.2211096646287231
A_1C_T0,0,A,C,HPos_639,L-Proline,2.2398656415372065,11.199328207686031,2.2398656415372065,29708.197838308643,0.037697770388631674
A_1C_T0,0,A,C,HPos_705,L-Threonine,3.431176533927779,13.724706135711116,3.431176533927779,29708.197838308643,0.04619838002429466
A_1C_T0,0,A,C,HPos_962,L-Aspartic acid,28.558154728081036,114.23261891232414,28.558154728081036,29708.197838308643,0.3845154779635319
A_1C_T0,0,A,C,HPos_978,Dimethylsulfoniopropionate,0.02422319366690919,0.12111596833454598,NA,29708.197838308643,4.0768534326362697e-4
A_1C_T0,0,A,C,HPos_989,Adenine,0.6137563008489565,3.0687815042447824,3.0687815042447824,29708.197838308643,0.010329746425370833
A_1C_T0,0,A,C,HPos_sky16,Creatine,0.0299825977125765,0.11993039085030602,0.08994779313772952,29708.197838308643,4.036946014128669e-4
A_1C_T0,0,A,C,HPos_sky35,Glycine betaine,1.1266814686643234,5.6334073433216165,1.1266814686643234,29708.197838308643,0.018962467444111848
A_1C_T0,0,A,C,HPos_sky38,Guanine,0.3973148286300265,1.9865741431501325,1.9865741431501325,29708.197838308643,0.006686956085193598
A_1C_T0,0,A,C,HPos_sky45,Hypotaurine,7.53990546227389,15.07981092454778,7.53990546227389,29708.197838308643,0.0507597633711137
A_1C_T0,0,A,C,HPos_sky51,L-Glutamic acid,193.15810413236997,965.79052066185,193.15810413236997,29708.197838308643,3.2509226103795017
A_1C_T0,0,A,C,HPos_sky54,L-Homoserine,0.2655565655051144,1.0622262620204577,0.2655565655051144,29708.197838308643,0.003575532476933756
A_1C_T0,0,A,C,HPos_sky59,L-Methionine,0.03143338320195102,0.1571669160097551,0.03143338320195102,29708.197838308643,5.290355102155971e-4
A_1C_T0,0,A,C,HPos_sky60,L-Methionine S-oxide,0.04807130411869947,0.24035652059349735,0.04807130411869947,29708.197838308643,8.090578967518462e-4
A_1C_T0,0,A,C,HPos_sky64,L-Serine,5.094160645937266,15.2824819378118,5.094160645937266,29708.197838308643,0.05144196905173791
A_1C_T0,0,A,C,HPos_sky71,N6-Acetyl-L-lysine,0.07062589817585005,0.5650071854068004,0.1412517963517001,29708.197838308643,0.0019018561424760177
A_1C_T0,0,A,C,HPos_sky72,Ophthalmic acid,0.2830674751883537,3.1137422270718904,0.849202425565061,29708.197838308643,0.010481087557107648
A_1C_T0,0,A,C,HPos_sky74,Proline betaine,0.02936760531648919,0.20557323721542436,0.02936760531648919,29708.197838308643,6.919747819584607e-4
A_1C_T0,0,A,C,RP_14640,Methylthioadenosine,0.02702567490886748,0.29728242399754234,0.13512837454433743,29708.197838308643,0.001000674714822982
A_1C_T0,0,A,C,RP_3959,L-Phenylalanine,0.3294708939371535,2.9652380454343814,0.3294708939371535,29708.197838308643,0.009981211454067789
A_1C_T0,0,A,C,RP_6828,L-Tryptophan,0.2177681162747101,2.395449279021811,0.4355362325494202,29708.197838308643,0.00806326015485492
A_1C_T0,0,A,C,RP_7155,L-Kynurenine,0.00349422375387821,0.03494223753878216,0.00698844750775643,29708.197838308643,1.1761816630197688e-4
A_1C_T0,0,A,C,RP_7669,Desthiobiotin,0.00147154631933492,0.01471546319334923,0.00294309263866984,29708.197838308643,4.9533341852105476e-5
A_1C_T0,0,A,C,RP_sky1,Agmatine,0.00891273410976059,0.04456367054880297,0.03565093643904238,29708.197838308643,1.500046242836657e-4
