Gene.ID,Gene.Name,KEGG.ID,KEGG.Pathway.ID,KEGG.Pathway.Description,Time,p.adj,Log2FC
WP_011131650.1,argH,K01755,9105,Amino acid metabolism,24,0.3166834679014491,0.3096442059492013
WP_011131650.1,argH,K01755,9105,Amino acid metabolism,36,0.2886030480444454,-0.21232685457854297
WP_011131650.1,argH,K01755,9141,Transport and catabolism,0,0.999972841910413,0.1147560656511933
WP_011131650.1,argH,K01755,9141,Transport and catabolism,12,0.5663413100339579,0.16293187828062622
WP_011131650.1,argH,K01755,9141,Transport and catabolism,24,0.3166834679014491,0.3096442059492013
WP_011131650.1,argH,K01755,9141,Transport and catabolism,36,0.2886030480444454,-0.21232685457854297
WP_011131652.1,dusA,K05539,9122,Translation,0,0.999972841910413,0.11496728747726802
WP_011131652.1,dusA,K05539,9122,Translation,12,0.20171094596378436,0.4785395702638578
WP_011131652.1,dusA,K05539,9122,Translation,24,8.565353673177874e-8,2.2590758849006263
WP_011131652.1,dusA,K05539,9122,Translation,36,0.3355885475851436,0.2512587419484348
WP_011131653.1,msrB,K07305,9192,Genetic information processing,0,0.999972841910413,-0.01379891419787775
WP_011131653.1,msrB,K07305,9192,Genetic information processing,12,5.390596510165505e-5,1.545231724168498
WP_011131653.1,msrB,K07305,9192,Genetic information processing,24,4.35271853676875e-8,2.327154079524988
WP_011131653.1,msrB,K07305,9192,Genetic information processing,36,2.3413877102384804e-4,0.9246064085632276
WP_011131654.1,grpE,K03687,9122,Translation,0,0.999972841910413,-0.3027421140866537
WP_011131654.1,grpE,K03687,9122,Translation,12,0.8031321021859874,0.0748119635085223
WP_011131654.1,grpE,K03687,9122,Translation,24,0.782327015848069,0.14812179109051396
WP_011131654.1,grpE,K03687,9122,Translation,36,0.9519730475837354,-0.01585131809819203
WP_011131654.1,grpE,K03687,9123,"Folding, sorting and degradation",0,0.999972841910413,-0.3027421140866537
WP_011131654.1,grpE,K03687,9123,"Folding, sorting and degradation",12,0.8031321021859874,0.0748119635085223
WP_011131654.1,grpE,K03687,9123,"Folding, sorting and degradation",24,0.782327015848069,0.14812179109051396
WP_011131654.1,grpE,K03687,9123,"Folding, sorting and degradation",36,0.9519730475837354,-0.01585131809819203
WP_011131655.1,dnaJ,K03686,9122,Translation,0,0.999972841910413,0.04679231851429035
WP_011131655.1,dnaJ,K03686,9122,Translation,12,0.4216574762269264,0.2371734044330195
WP_011131655.1,dnaJ,K03686,9122,Translation,24,0.0985095841195548,0.5828257691186232
WP_011131655.1,dnaJ,K03686,9122,Translation,36,0.15793953097578595,0.2504949496766966
WP_011131655.1,dnaJ,K03686,9123,"Folding, sorting and degradation",0,0.999972841910413,0.04679231851429035
WP_011131655.1,dnaJ,K03686,9123,"Folding, sorting and degradation",12,0.4216574762269264,0.2371734044330195
WP_011131655.1,dnaJ,K03686,9123,"Folding, sorting and degradation",24,0.0985095841195548,0.5828257691186232
WP_011131655.1,dnaJ,K03686,9123,"Folding, sorting and degradation",36,0.15793953097578595,0.2504949496766966
WP_011131656.1,sirA,K00392,9102,Energy metabolism,0,0.999972841910413,0.32744309307897507
WP_011131656.1,sirA,K00392,9102,Energy metabolism,12,0.7078200395773094,0.12603140414205632
WP_011131656.1,sirA,K00392,9102,Energy metabolism,24,0.3339287671788105,0.3764410759441134
WP_011131656.1,sirA,K00392,9102,Energy metabolism,36,0.6106267322385363,-0.15149115939837432
WP_011131657.1,rsgA,K06949,9122,Translation,0,0.999972841910413,0.30193302809306904
WP_011131657.1,rsgA,K06949,9122,Translation,12,0.29800921767357047,0.36722078995964264
WP_011131657.1,rsgA,K06949,9122,Translation,24,2.763009549803848e-9,1.7933549847506225
WP_011131657.1,rsgA,K06949,9122,Translation,36,1.663806183106369e-14,1.5753579558387187
WP_011131657.1,rsgA,K06949,9108,Metabolism of cofactors and vitamins,0,0.999972841910413,0.30193302809306904
WP_011131657.1,rsgA,K06949,9108,Metabolism of cofactors and vitamins,12,0.29800921767357047,0.36722078995964264
WP_011131657.1,rsgA,K06949,9108,Metabolism of cofactors and vitamins,24,2.763009549803848e-9,1.7933549847506225
WP_011131657.1,rsgA,K06949,9108,Metabolism of cofactors and vitamins,36,1.663806183106369e-14,1.5753579558387187
WP_011131658.1,PMM0020,K09747,9194,Poorly characterized,0,0.999972841910413,-0.10679769938206858
WP_011131658.1,PMM0020,K09747,9194,Poorly characterized,12,0.5828379154367969,-0.2366274893163951
WP_011131658.1,PMM0020,K09747,9194,Poorly characterized,24,0.00335534211969147,-1.032942072489698
WP_011131658.1,PMM0020,K09747,9194,Poorly characterized,36,9.424391279340092e-6,-1.53291297966902
WP_011131659.1,murB,K00075,9101,Carbohydrate metabolism,0,0.999972841910413,0.2048522754109465
WP_011131659.1,murB,K00075,9101,Carbohydrate metabolism,12,0.1246889089868476,0.5507134229738466
WP_011131659.1,murB,K00075,9101,Carbohydrate metabolism,24,2.327457332087188e-5,1.7103513101631616
WP_011131659.1,murB,K00075,9101,Carbohydrate metabolism,36,5.789375988727151e-6,1.2593553277427858
WP_011131659.1,murB,K00075,9107,Glycan biosynthesis and metabolism,0,0.999972841910413,0.2048522754109465
WP_011131659.1,murB,K00075,9107,Glycan biosynthesis and metabolism,12,0.1246889089868476,0.5507134229738466
WP_011131659.1,murB,K00075,9107,Glycan biosynthesis and metabolism,24,2.327457332087188e-5,1.7103513101631616
WP_011131659.1,murB,K00075,9107,Glycan biosynthesis and metabolism,36,5.789375988727151e-6,1.2593553277427858
WP_011131660.1,murC,K01924,9106,Metabolism of other amino acids,0,0.999972841910413,0.15559351428292006
WP_011131660.1,murC,K01924,9106,Metabolism of other amino acids,12,0.47600136802726817,0.2664634013390863
WP_011131660.1,murC,K01924,9106,Metabolism of other amino acids,24,6.34544310040611e-5,1.5336895384372884
WP_011131660.1,murC,K01924,9106,Metabolism of other amino acids,36,0.0108623151705023,0.5458950894751674
WP_011131660.1,murC,K01924,9107,Glycan biosynthesis and metabolism,0,0.999972841910413,0.15559351428292006
WP_011131660.1,murC,K01924,9107,Glycan biosynthesis and metabolism,12,0.47600136802726817,0.2664634013390863
WP_011131660.1,murC,K01924,9107,Glycan biosynthesis and metabolism,24,6.34544310040611e-5,1.5336895384372884
WP_011131660.1,murC,K01924,9107,Glycan biosynthesis and metabolism,36,0.0108623151705023,0.5458950894751674
WP_011131661.1,gap2,K00150,9101,Carbohydrate metabolism,0,0.999972841910413,-0.05427702329230769
WP_011131661.1,gap2,K00150,9101,Carbohydrate metabolism,12,0.8699298031190615,0.07158436467157445
WP_011131661.1,gap2,K00150,9101,Carbohydrate metabolism,24,2.3721440010893592e-12,-1.9967634882791832
WP_011131661.1,gap2,K00150,9101,Carbohydrate metabolism,36,2.2425452622066257e-4,-0.5524011116346029
WP_011131661.1,gap2,K00150,9102,Energy metabolism,0,0.999972841910413,-0.05427702329230769
WP_011131661.1,gap2,K00150,9102,Energy metabolism,12,0.8699298031190615,0.07158436467157445
WP_011131661.1,gap2,K00150,9102,Energy metabolism,24,2.3721440010893592e-12,-1.9967634882791832
WP_011131661.1,gap2,K00150,9102,Energy metabolism,36,2.2425452622066257e-4,-0.5524011116346029
WP_011131662.1,thiL,K00946,9108,Metabolism of cofactors and vitamins,0,0.999972841910413,0.1346854507568809
WP_011131662.1,thiL,K00946,9108,Metabolism of cofactors and vitamins,12,0.07889020876762798,0.5291427818576477
WP_011131662.1,thiL,K00946,9108,Metabolism of cofactors and vitamins,24,0.00110284991261546,0.983315339816616
WP_011131662.1,thiL,K00946,9108,Metabolism of cofactors and vitamins,36,0.00102123412264068,0.6032754397726697
WP_011131663.1,PMM0025,K01802,9192,Genetic information processing,0,0.999972841910413,-0.3816214017938762
WP_011131663.1,PMM0025,K01802,9192,Genetic information processing,12,0.5100586128940339,-0.21071348144762891
WP_011131663.1,PMM0025,K01802,9192,Genetic information processing,24,0.00114932918628596,-1.132585701297492
WP_011131663.1,PMM0025,K01802,9192,Genetic information processing,36,4.99919215505666e-4,-0.6006829940772207
WP_011131664.1,efp,K02356,9122,Translation,0,0.999972841910413,-0.06535037352671261
WP_011131664.1,efp,K02356,9122,Translation,12,0.9972012825060304,0.00283021055746036
WP_011131664.1,efp,K02356,9122,Translation,24,0.03836150496177921,-0.6970573542433818
WP_011131664.1,efp,K02356,9122,Translation,36,0.17137698645914365,-0.29146405423431104
WP_011131665.1,accB,K02160,9101,Carbohydrate metabolism,0,0.999972841910413,-0.0658837400928439
WP_011131665.1,accB,K02160,9101,Carbohydrate metabolism,12,0.22243523201501483,-0.35359293668838093
WP_011131665.1,accB,K02160,9101,Carbohydrate metabolism,24,0.0075870540867442,-0.7132593220956465
WP_011131665.1,accB,K02160,9101,Carbohydrate metabolism,36,4.29894881080687e-6,-0.7901307920558511
WP_011131665.1,accB,K02160,9102,Energy metabolism,0,0.999972841910413,-0.0658837400928439
WP_011131665.1,accB,K02160,9102,Energy metabolism,12,0.22243523201501483,-0.35359293668838093
WP_011131665.1,accB,K02160,9102,Energy metabolism,24,0.0075870540867442,-0.7132593220956465
WP_011131665.1,accB,K02160,9102,Energy metabolism,36,4.29894881080687e-6,-0.7901307920558511
WP_011131665.1,accB,K02160,9103,Lipid metabolism,0,0.999972841910413,-0.0658837400928439
WP_011131665.1,accB,K02160,9103,Lipid metabolism,12,0.22243523201501483,-0.35359293668838093
WP_011131665.1,accB,K02160,9103,Lipid metabolism,24,0.0075870540867442,-0.7132593220956465
WP_011131665.1,accB,K02160,9103,Lipid metabolism,36,4.29894881080687e-6,-0.7901307920558511
WP_011131666.1,pdxA,K00097,9108,Metabolism of cofactors and vitamins,0,0.999972841910413,0.23672442823541565
WP_011131666.1,pdxA,K00097,9108,Metabolism of cofactors and vitamins,12,0.3993673509900778,0.2913569069196686
WP_011131666.1,pdxA,K00097,9108,Metabolism of cofactors and vitamins,24,0.047503927578459,0.7563542057150454
WP_011131666.1,pdxA,K00097,9108,Metabolism of cofactors and vitamins,36,0.00205373171069539,0.697253057142093
WP_011131671.1,PMM0033,K07120,9194,Poorly characterized,0,0.999972841910413,-0.17465792604213018
WP_011131671.1,PMM0033,K07120,9194,Poorly characterized,12,0.39739672871880904,-0.2906815194894644
WP_011131671.1,PMM0033,K07120,9194,Poorly characterized,24,0.27525995174926515,0.5104514813659446
WP_011131671.1,PMM0033,K07120,9194,Poorly characterized,36,0.4444223095032053,-0.1933477348778891
WP_011131674.1,cbiD,K02188,9108,Metabolism of cofactors and vitamins,0,0.999972841910413,0.07366523067767088
WP_011131674.1,cbiD,K02188,9108,Metabolism of cofactors and vitamins,12,0.5546528459227821,-0.17463017628653604
WP_011131674.1,cbiD,K02188,9108,Metabolism of cofactors and vitamins,24,0.7216972196326613,-0.172785686026003
WP_011131674.1,cbiD,K02188,9108,Metabolism of cofactors and vitamins,36,0.22123413342590387,0.28374590426626317
WP_011131675.1,guaA,K01951,9111,Xenobiotics biodegradation and metabolism,0,0.999972841910413,0.05475681857742168
WP_011131675.1,guaA,K01951,9111,Xenobiotics biodegradation and metabolism,12,0.23844059747083077,-0.3953814537943654
WP_011131675.1,guaA,K01951,9111,Xenobiotics biodegradation and metabolism,24,0.48153305520096507,-0.297310381564573
WP_011131675.1,guaA,K01951,9111,Xenobiotics biodegradation and metabolism,36,1.16424606926572e-4,-0.6954697808807455
WP_011131675.1,guaA,K01951,9112,Enzyme families,0,0.999972841910413,0.05475681857742168
WP_011131675.1,guaA,K01951,9112,Enzyme families,12,0.23844059747083077,-0.3953814537943654
WP_011131675.1,guaA,K01951,9112,Enzyme families,24,0.48153305520096507,-0.297310381564573
WP_011131675.1,guaA,K01951,9112,Enzyme families,36,1.16424606926572e-4,-0.6954697808807455
WP_011131675.1,guaA,K01951,9104,Nucleotide metabolism,0,0.999972841910413,0.05475681857742168
WP_011131675.1,guaA,K01951,9104,Nucleotide metabolism,12,0.23844059747083077,-0.3953814537943654
WP_011131675.1,guaA,K01951,9104,Nucleotide metabolism,24,0.48153305520096507,-0.297310381564573
WP_011131675.1,guaA,K01951,9104,Nucleotide metabolism,36,1.16424606926572e-4,-0.6954697808807455
WP_011131682.1,alaS,K01872,9122,Translation,0,0.999972841910413,-0.10619571743270552
WP_011131682.1,alaS,K01872,9122,Translation,12,0.4339996062775052,0.2649380091625258
WP_011131682.1,alaS,K01872,9122,Translation,24,0.742209791166004,-0.11580473801001064
WP_011131682.1,alaS,K01872,9122,Translation,36,0.8898671120588261,0.03293563520708132
WP_011131682.1,alaS,K01872,9105,Amino acid metabolism,0,0.999972841910413,-0.10619571743270552
WP_011131682.1,alaS,K01872,9105,Amino acid metabolism,12,0.4339996062775052,0.2649380091625258
WP_011131682.1,alaS,K01872,9105,Amino acid metabolism,24,0.742209791166004,-0.11580473801001064
WP_011131682.1,alaS,K01872,9105,Amino acid metabolism,36,0.8898671120588261,0.03293563520708132
WP_011131683.1,speA,K01585,9105,Amino acid metabolism,0,0.999972841910413,0.19479873100288583
WP_011131683.1,speA,K01585,9105,Amino acid metabolism,12,0.4167910985444313,0.34352610487478247
WP_011131683.1,speA,K01585,9105,Amino acid metabolism,24,1.0226977047717953e-7,1.7248945132454248
WP_011131683.1,speA,K01585,9105,Amino acid metabolism,36,0.019601564413110652,0.5823990492467812
WP_011131684.1,ndk,K00940,9104,Nucleotide metabolism,0,0.999972841910413,0.02884667036813935
WP_011131684.1,ndk,K00940,9104,Nucleotide metabolism,12,0.1246889089868476,0.5351241612705769
WP_011131684.1,ndk,K00940,9104,Nucleotide metabolism,24,1.2218636965170568e-6,-1.5991956052327865
WP_011131684.1,ndk,K00940,9104,Nucleotide metabolism,36,0.2834223244177917,-0.2927172346648723
WP_011131684.1,ndk,K00940,9111,Xenobiotics biodegradation and metabolism,0,0.999972841910413,0.02884667036813935
WP_011131684.1,ndk,K00940,9111,Xenobiotics biodegradation and metabolism,12,0.1246889089868476,0.5351241612705769
WP_011131684.1,ndk,K00940,9111,Xenobiotics biodegradation and metabolism,24,1.2218636965170568e-6,-1.5991956052327865
WP_011131684.1,ndk,K00940,9111,Xenobiotics biodegradation and metabolism,36,0.2834223244177917,-0.2927172346648723
WP_011131684.1,ndk,K00940,9132,Signal transduction,0,0.999972841910413,0.02884667036813935
WP_011131684.1,ndk,K00940,9132,Signal transduction,12,0.1246889089868476,0.5351241612705769
WP_011131684.1,ndk,K00940,9132,Signal transduction,24,1.2218636965170568e-6,-1.5991956052327865
WP_011131684.1,ndk,K00940,9132,Signal transduction,36,0.2834223244177917,-0.2927172346648723
WP_011131684.1,ndk,K00940,9123,"Folding, sorting and degradation",0,0.999972841910413,0.02884667036813935
WP_011131684.1,ndk,K00940,9123,"Folding, sorting and degradation",12,0.1246889089868476,0.5351241612705769
WP_011131684.1,ndk,K00940,9123,"Folding, sorting and degradation",24,1.2218636965170568e-6,-1.5991956052327865
WP_011131684.1,ndk,K00940,9123,"Folding, sorting and degradation",36,0.2834223244177917,-0.2927172346648723
WP_011131685.1,thiO,K03153,9108,Metabolism of cofactors and vitamins,0,0.999972841910413,0.06932725676862035
WP_011131685.1,thiO,K03153,9108,Metabolism of cofactors and vitamins,12,0.06809116386184132,0.6489557388353238
WP_011131685.1,thiO,K03153,9108,Metabolism of cofactors and vitamins,24,0.00366309872632151,1.1829159754886969
WP_011131685.1,thiO,K03153,9108,Metabolism of cofactors and vitamins,36,0.9873108851893144,0.00564621902497945
WP_011131685.1,thiO,K03149,9108,Metabolism of cofactors and vitamins,0,0.999972841910413,0.06932725676862035
WP_011131685.1,thiO,K03149,9108,Metabolism of cofactors and vitamins,12,0.06809116386184132,0.6489557388353238
WP_011131685.1,thiO,K03149,9108,Metabolism of cofactors and vitamins,24,0.00366309872632151,1.1829159754886969
WP_011131685.1,thiO,K03149,9108,Metabolism of cofactors and vitamins,36,0.9873108851893144,0.00564621902497945
WP_011131686.1,gatB,K02434,9122,Translation,0,0.999972841910413,-0.00124707016232985
WP_011131686.1,gatB,K02434,9122,Translation,12,0.9028272086107318,-0.05073715636831689
WP_011131686.1,gatB,K02434,9122,Translation,24,0.05581107434658233,-0.7226240002798513
WP_011131686.1,gatB,K02434,9122,Translation,36,0.00545496507105943,-0.6053313489325194
WP_011131687.1,coaE,K00859,9108,Metabolism of cofactors and vitamins,0,0.999972841910413,-0.1599863029482353
WP_011131687.1,coaE,K00859,9108,Metabolism of cofactors and vitamins,12,0.16206864080123806,0.5826830493450281
WP_011131687.1,coaE,K00859,9108,Metabolism of cofactors and vitamins,24,0.00661221879812624,1.1159150563540778
WP_011131687.1,coaE,K00859,9108,Metabolism of cofactors and vitamins,36,0.950758003964018,0.02727729445217031
WP_011131689.1,PMM0051,K03496,9142,Cell motility,0,0.999972841910413,-0.2472229371641272
WP_011131689.1,PMM0051,K03496,9142,Cell motility,12,0.5484995285480393,-0.31305250778054566
WP_011131689.1,PMM0051,K03496,9142,Cell motility,24,1.2532609205963032e-9,-2.040796224255197
WP_011131689.1,PMM0051,K03496,9142,Cell motility,36,1.4518722460712654e-14,-1.3455656392759148
WP_011131689.1,PMM0051,K03496,9124,Replication and repair,0,0.999972841910413,-0.2472229371641272
WP_011131689.1,PMM0051,K03496,9124,Replication and repair,12,0.5484995285480393,-0.31305250778054566
WP_011131689.1,PMM0051,K03496,9124,Replication and repair,24,1.2532609205963032e-9,-2.040796224255197
WP_011131689.1,PMM0051,K03496,9124,Replication and repair,36,1.4518722460712654e-14,-1.3455656392759148
WP_011131690.1,tas,K05275,9108,Metabolism of cofactors and vitamins,0,0.999972841910413,-0.08876539056466876
WP_011131690.1,tas,K05275,9108,Metabolism of cofactors and vitamins,12,0.993823230879485,-0.00415593790028621
WP_011131690.1,tas,K05275,9108,Metabolism of cofactors and vitamins,24,0.33467110523072063,0.3933749114714773
WP_011131690.1,tas,K05275,9108,Metabolism of cofactors and vitamins,36,0.43263451330871094,0.28714275278326623
WP_011131691.1,PMM0053,K07444,9192,Genetic information processing,0,0.999972841910413,0.05785506958043698
WP_011131691.1,PMM0053,K07444,9192,Genetic information processing,12,0.5703108744040336,-0.21079024318926165
WP_011131691.1,PMM0053,K07444,9192,Genetic information processing,24,0.8504933435740488,0.13665331339357745
WP_011131691.1,PMM0053,K07444,9192,Genetic information processing,36,0.18082453316789895,0.40968215309756345
WP_011131697.1,PMM0059,K00748,9107,Glycan biosynthesis and metabolism,0,0.999972841910413,0.0843011656109134
WP_011131697.1,PMM0059,K00748,9107,Glycan biosynthesis and metabolism,12,0.5108848256329231,0.2194534650115871
WP_011131697.1,PMM0059,K00748,9107,Glycan biosynthesis and metabolism,24,0.8820353751632042,0.06516624740858995
WP_011131697.1,PMM0059,K00748,9107,Glycan biosynthesis and metabolism,36,0.03964163998792834,0.4744222056956034
WP_011131698.1,accC,K01961,9101,Carbohydrate metabolism,0,0.999972841910413,-0.09046256070100545
WP_011131698.1,accC,K01961,9101,Carbohydrate metabolism,12,0.7420069910888757,-0.10652357625880989
WP_011131698.1,accC,K01961,9101,Carbohydrate metabolism,24,9.726123522932895e-7,-1.3406443425085353
WP_011131698.1,accC,K01961,9101,Carbohydrate metabolism,36,0.01170495022411,-0.40758950217564943
WP_011131698.1,accC,K01961,9102,Energy metabolism,0,0.999972841910413,-0.09046256070100545
WP_011131698.1,accC,K01961,9102,Energy metabolism,12,0.7420069910888757,-0.10652357625880989
WP_011131698.1,accC,K01961,9102,Energy metabolism,24,9.726123522932895e-7,-1.3406443425085353
WP_011131698.1,accC,K01961,9102,Energy metabolism,36,0.01170495022411,-0.40758950217564943
WP_011131698.1,accC,K01961,9103,Lipid metabolism,0,0.999972841910413,-0.09046256070100545
WP_011131698.1,accC,K01961,9103,Lipid metabolism,12,0.7420069910888757,-0.10652357625880989
WP_011131698.1,accC,K01961,9103,Lipid metabolism,24,9.726123522932895e-7,-1.3406443425085353
WP_011131698.1,accC,K01961,9103,Lipid metabolism,36,0.01170495022411,-0.40758950217564943
WP_011131699.1,PMM0061,K02221,9131,Membrane transport,0,0.999972841910413,0.25048785484366437
