Gene.ID,Gene.Name,KEGG.ID,KEGG.Pathway.ID,KEGG.Pathway.Description,Time,p.adj,Log2FC
WP_002805124.1,psbI,K02710,9102,Energy metabolism,0,0.999972841910413,-0.160355682091893
WP_002805124.1,psbI,K02710,9102,Energy metabolism,12,0.4300351870176736,-0.3439558770094113
WP_002805124.1,psbI,K02710,9102,Energy metabolism,24,2.0644693513894815e-8,-1.8994137100190371
WP_002805124.1,psbI,K02710,9102,Energy metabolism,36,0.00202169314024813,-0.8924312988166418
WP_002805169.1,atpE,K02110,9102,Energy metabolism,0,0.999972841910413,-0.19104998075310828
WP_002805169.1,atpE,K02110,9102,Energy metabolism,12,0.7186980289496095,-0.19596953237941328
WP_002805169.1,atpE,K02110,9102,Energy metabolism,24,6.874239155391595e-12,-2.2903409904475143
WP_002805169.1,atpE,K02110,9102,Energy metabolism,36,1.3640030342161308e-8,-1.1408465849397054
WP_002805854.1,rbcL,K01601,9102,Energy metabolism,0,0.999972841910413,-0.1710494598501928
WP_002805854.1,rbcL,K01601,9102,Energy metabolism,12,0.1015630662654394,0.8572066199290388
WP_002805854.1,rbcL,K01601,9102,Energy metabolism,24,1.10573200074646e-7,-2.2969655549414014
WP_002805854.1,rbcL,K01601,9102,Energy metabolism,36,2.858855550084729e-4,0.7581637211811376
WP_002805854.1,rbcL,K01601,9101,Carbohydrate metabolism,0,0.999972841910413,-0.1710494598501928
WP_002805854.1,rbcL,K01601,9101,Carbohydrate metabolism,12,0.1015630662654394,0.8572066199290388
WP_002805854.1,rbcL,K01601,9101,Carbohydrate metabolism,24,1.10573200074646e-7,-2.2969655549414014
WP_002805854.1,rbcL,K01601,9101,Carbohydrate metabolism,36,2.858855550084729e-4,0.7581637211811376
WP_002806014.1,rpsR,K02963,9122,Translation,0,0.999972841910413,-0.20223061010964163
WP_002806014.1,rpsR,K02963,9122,Translation,12,0.7574954994984108,-0.18071308620757465
WP_002806014.1,rpsR,K02963,9122,Translation,24,1.289570760849772e-10,-1.9727672583172005
WP_002806014.1,rpsR,K02963,9122,Translation,36,1.2221527708624903e-4,-0.6775796237422109
WP_002806486.1,rpsU,K02970,9122,Translation,0,0.999972841910413,0.1538538306413052
WP_002806486.1,rpsU,K02970,9122,Translation,12,0.7893888080946396,0.13419694588538217
WP_002806486.1,rpsU,K02970,9122,Translation,24,0.29417538254687964,-0.4781395873792154
WP_002806486.1,rpsU,K02970,9122,Translation,36,0.05147361925084132,-0.6170599353355319
WP_007099573.1,psaC,K02691,9102,Energy metabolism,0,0.999972841910413,0.04417143978893374
WP_007099573.1,psaC,K02691,9102,Energy metabolism,12,0.6009898711600933,-0.24046184673905632
WP_007099573.1,psaC,K02691,9102,Energy metabolism,24,6.544394512934957e-7,-1.4891064206303222
WP_007099573.1,psaC,K02691,9102,Energy metabolism,36,8.827976959496401e-7,-0.9726400798665092
WP_011131639.1,dnaN,K02338,9104,Nucleotide metabolism,0,0.999972841910413,-0.02756001986502616
WP_011131639.1,dnaN,K02338,9104,Nucleotide metabolism,12,0.03822918267834258,-0.5751612050779519
WP_011131639.1,dnaN,K02338,9104,Nucleotide metabolism,24,0.03243066124545875,-0.7361613690967237
WP_011131639.1,dnaN,K02338,9104,Nucleotide metabolism,36,7.758785883398256e-5,-0.7781885120161843
WP_011131639.1,dnaN,K02338,9124,Replication and repair,0,0.999972841910413,-0.02756001986502616
WP_011131639.1,dnaN,K02338,9124,Replication and repair,12,0.03822918267834258,-0.5751612050779519
WP_011131639.1,dnaN,K02338,9124,Replication and repair,24,0.03243066124545875,-0.7361613690967237
WP_011131639.1,dnaN,K02338,9124,Replication and repair,36,7.758785883398256e-5,-0.7781885120161843
WP_011131641.1,purL,K01952,9104,Nucleotide metabolism,0,0.999972841910413,0.18777646514543989
WP_011131641.1,purL,K01952,9104,Nucleotide metabolism,12,0.16270526247615555,0.4237605887452977
WP_011131641.1,purL,K01952,9104,Nucleotide metabolism,24,2.060472962178558e-7,1.660128495267862
WP_011131641.1,purL,K01952,9104,Nucleotide metabolism,36,0.00218217966195517,0.4699690144365863
WP_011131642.1,purF,K00764,9104,Nucleotide metabolism,0,0.999972841910413,-0.05865987391055523
WP_011131642.1,purF,K00764,9104,Nucleotide metabolism,12,0.847288763889193,0.07021232587523288
WP_011131642.1,purF,K00764,9104,Nucleotide metabolism,24,0.8214788125560273,0.08097595640078561
WP_011131642.1,purF,K00764,9104,Nucleotide metabolism,36,0.10311252581759464,0.37038232866526505
WP_011131642.1,purF,K00764,9105,Amino acid metabolism,0,0.999972841910413,-0.05865987391055523
WP_011131642.1,purF,K00764,9105,Amino acid metabolism,12,0.847288763889193,0.07021232587523288
WP_011131642.1,purF,K00764,9105,Amino acid metabolism,24,0.8214788125560273,0.08097595640078561
WP_011131642.1,purF,K00764,9105,Amino acid metabolism,36,0.10311252581759464,0.37038232866526505
WP_011131642.1,purF,K00764,9112,Enzyme families,0,0.999972841910413,-0.05865987391055523
WP_011131642.1,purF,K00764,9112,Enzyme families,12,0.847288763889193,0.07021232587523288
WP_011131642.1,purF,K00764,9112,Enzyme families,24,0.8214788125560273,0.08097595640078561
WP_011131642.1,purF,K00764,9112,Enzyme families,36,0.10311252581759464,0.37038232866526505
WP_011131643.1,PMM0005,K02469,9124,Replication and repair,0,0.999972841910413,-0.05731376525197373
WP_011131643.1,PMM0005,K02469,9124,Replication and repair,12,0.23844059747083077,-0.4100822148013979
WP_011131643.1,PMM0005,K02469,9124,Replication and repair,24,0.27257956354911367,-0.3978333533245688
WP_011131643.1,PMM0005,K02469,9124,Replication and repair,36,0.00942440142216552,-0.4153092069965126
WP_011131645.1,queG,K18979,9122,Translation,0,0.999972841910413,0.03718494044423752
WP_011131645.1,queG,K18979,9122,Translation,12,0.2837908289118507,-0.3087425039804148
WP_011131645.1,queG,K18979,9122,Translation,24,0.5067051175916614,0.3126513743615153
WP_011131645.1,queG,K18979,9122,Translation,36,0.03392190065966288,0.49095121800235625
WP_011131648.1,ftsY,K03110,9145,Cellular community - prokaryotes,0,0.999972841910413,-0.1141104898675896
WP_011131648.1,ftsY,K03110,9145,Cellular community - prokaryotes,12,0.3586378417792772,0.3647495831191496
WP_011131648.1,ftsY,K03110,9145,Cellular community - prokaryotes,24,0.303273893063079,0.3812897259002402
WP_011131648.1,ftsY,K03110,9145,Cellular community - prokaryotes,36,0.2907583850484307,-0.31809541473715774
WP_011131648.1,ftsY,K03110,9131,Membrane transport,0,0.999972841910413,-0.1141104898675896
WP_011131648.1,ftsY,K03110,9131,Membrane transport,12,0.3586378417792772,0.3647495831191496
WP_011131648.1,ftsY,K03110,9131,Membrane transport,24,0.303273893063079,0.3812897259002402
WP_011131648.1,ftsY,K03110,9131,Membrane transport,36,0.2907583850484307,-0.31809541473715774
WP_011131648.1,ftsY,K03110,9123,"Folding, sorting and degradation",0,0.999972841910413,-0.1141104898675896
WP_011131648.1,ftsY,K03110,9123,"Folding, sorting and degradation",12,0.3586378417792772,0.3647495831191496
WP_011131648.1,ftsY,K03110,9123,"Folding, sorting and degradation",24,0.303273893063079,0.3812897259002402
WP_011131648.1,ftsY,K03110,9123,"Folding, sorting and degradation",36,0.2907583850484307,-0.31809541473715774
WP_011131649.1,rsbU,K07315,9121,Transcription,0,0.999972841910413,-0.2383753861264665
WP_011131649.1,rsbU,K07315,9121,Transcription,12,0.3269505088882169,0.40678834156516003
WP_011131649.1,rsbU,K07315,9121,Transcription,24,0.06049250896826595,0.7269804349256055
WP_011131649.1,rsbU,K07315,9121,Transcription,36,0.16691770336727776,0.35426798127676007
WP_011131650.1,argH,K01755,9105,Amino acid metabolism,0,0.999972841910413,0.1147560656511933
WP_011131650.1,argH,K01755,9105,Amino acid metabolism,12,0.5663413100339579,0.16293187828062622
