Time,Treatment,Rep,Pro.count,BacSml.count,BacLrg.count,BacTot.count,Phage.abun,Pro.C,BacSml.C,BacLrg.C,BacTot.C,TotMicrobial.C,Pro.C.Fraction
12,C,C,16800000,749000,902000,1650000,0,666694278.1184698,9393821.191146038,19640445.614629615,29034266.805775657,695728544.9242455,0.9582678229640024
12,LV,A,15000000,315000,873000,1190000,105000,576471562.7801362,3842431.5868844343,19363127.51192729,23205559.098811727,599677121.878948,0.961303244275682
12,LV,B,14300000,258000,1270000,1520000,126000,592500171.8114562,3216137.3297040225,31087079.892908648,34303217.22261267,626803389.0340688,0.9452727636404848
12,LV,C,16500000,630000,1080000,1710000,180000,648864122.1076504,8347050.177426658,23873886.84979209,32220937.027218744,681085059.1348691,0.952691757666588
12,HV,A,14500000,311000,924000,1230000,23300000,520359502.183746,4135309.0115054585,20799622.191421863,24934931.202927325,545294433.3866733,0.954272536676996
12,HV,B,13800000,161000,1040000,1200000,25200000,558714556.4858589,2156629.2122271457,24723465.51562277,26880094.727849916,585594651.2137089,0.9540977796294108
12,HV,C,15600000,468000,1660000,2120000,38100000,603729394.9237404,6165149.1533148065,37392796.883422315,43557946.03673712,647287340.9604775,0.9327069397462592
14,C,A,15000000,NA,NA,NA,NA,578508298.5623922,NA,NA,NA,NA,NA
14,C,B,16000000,NA,NA,NA,NA,663584274.388313,NA,NA,NA,NA,NA
14,C,C,18800000,NA,NA,NA,NA,729545076.0980239,NA,NA,NA,NA,NA
14,LV,A,16200000,NA,NA,NA,NA,604677197.4351612,NA,NA,NA,NA,NA
14,LV,B,15700000,NA,NA,NA,NA,636730508.3818523,NA,NA,NA,NA,NA
14,LV,C,16900000,NA,NA,NA,NA,650814105.4464259,NA,NA,NA,NA,NA
14,HV,A,15000000,NA,NA,NA,NA,530844062.0619152,NA,NA,NA,NA,NA
14,HV,B,15000000,NA,NA,NA,NA,608532464.1516091,NA,NA,NA,NA,NA
14,HV,C,16700000,NA,NA,NA,NA,568988253.2448483,NA,NA,NA,NA,NA
16,C,A,17700000,NA,NA,NA,NA,637506586.2692395,NA,NA,NA,NA,NA
16,C,B,17700000,NA,NA,NA,NA,688482254.1460685,NA,NA,NA,NA,NA
16,C,C,19900000,NA,NA,NA,NA,706874342.6886753,NA,NA,NA,NA,NA
16,LV,A,16400000,NA,NA,NA,NA,571640971.1825997,NA,NA,NA,NA,NA
16,LV,B,17700000,NA,NA,NA,NA,679714916.698185,NA,NA,NA,NA,NA
16,LV,C,18300000,NA,NA,NA,NA,700984999.213073,NA,NA,NA,NA,NA
16,HV,A,15200000,NA,NA,NA,NA,519960878.36359584,NA,NA,NA,NA,NA
16,HV,B,15200000,NA,NA,NA,NA,604510051.3827533,NA,NA,NA,NA,NA
16,HV,C,13900000,NA,NA,NA,NA,513661148.9947133,NA,NA,NA,NA,NA
18,C,A,19700000,451000,763000,1210000,0,643348272.6400274,5265264.373045846,17040844.425343078,22306108.798388924,665654381.4384164,0.9664899542158988
18,C,B,19100000,640000,1320000,1950000,0,666801588.5464541,7490648.752849404,29860470.213048372,37351118.965897776,704152707.5123519,0.9469559392907076
