rank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id
1	C7H16N3O9S	[M - H]-	C7H16N3O9S	117.2716309202445	112.57423442370597	4.697396496538526	27	0.5802186827067769	2.400100977694394	2.400100977694394	4.1480343021107515		317.05476	651.098	67_200929_Poo_TruePooMortality_DDAneg_67
2	C11H21N3O4	[M - H]-	C11H21N3O4	111.03795841557374	107.82298065005617	3.21497776551757	13	0.20039933488142936	-3.3499539067994024	3.3499539067994024	-0.13686609264531885		258.14589	167.517	28_200929_Poo_TruePooMortality_DDAneg_28
3	C7H16N3O9S	[M - H]-	C7H16N3O9S	101.85552454770058	95.09299298389891	6.762531563801666	22	0.37968796492593443	1.8357413552977895	1.8357413552977895	4.003654878925443		317.05472	651.785	69_200929_Poo_TruePooMortality_DDAneg_69
4	C17H26N7O13	[M - H]-	C17H26N7O13	95.17663704695215	88.95345384618722	6.223183200764932	18	0.5051458138210814	1.3858072343290055	1.649521304551098	-0.21214021766075564		535.15147	617.487	59_200929_Poo_TruePooMortality_DDAneg_59
5	C7H16N3O7	[M - H]-	C7H16N3O7	85.5179253082893	81.2233228377142	4.294602470575101	15	0.8510357870228287	1.9093928535483586	1.9093928535483586	4.96084894182089		253.09280	637.434	63_200929_Poo_TruePooMortality_DDAneg_63
6	C10H19N3O4	[M - H]-	C10H19N3O4	77.08712341309095	77.08712341309095	0.0	11	0.19271349939214266	-3.4283566132125527	3.4283566132125527	-0.5941642156418502		244.13013	169.374	29_200929_Poo_TruePooMortality_DDAneg_29
7	C6H14N5O2	[M - H]-	C6H14N5O2	74.72330581435617	72.87288466748589	1.8504211468702705	14	0.9332421409658781	1.2428635533189203	1.4151975263592953	3.558381692423251		187.10814	166.874	23_200929_Poo_TruePooMortality_DDAneg_23
8	C10H20N3O10	[M - H]-	C10H20N3O10	68.60853434216597	63.548383885059515	5.060150457106452	21	0.9786119488694585	1.6678617945251002	1.6678617945251002	3.6602817737417674		341.10884	715.56	75_200929_Poo_TruePooMortality_DDAneg_75
9	C7H14N3O8	[M - H]-	C7H14N3O8	66.90042632841283	62.651713865095985	4.248712463316849	15	0.6050141131883817	1.29862182306597	1.29862182306597	5.2107029873860675		267.07220	617.72	60_200929_Poo_TruePooMortality_DDAneg_60
10	C7H16N5O3	[M - H]-	C7H16N5O3	65.2650047557282	63.20443766523938	2.0605670904888163	19	0.9224048495723369	1.8950753874482225	1.8950753874482225	4.094908057750505		217.11893	167.362	25_200929_Poo_TruePooMortality_DDAneg_25
