id	molecularFormula	adduct	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications
1_201006_Poo_TruePooMortality_DDApos_1	C3H9N4O3P	[M + Na]+	Alkaloids	0.7835962772369385	Small peptides	0.6125879883766174	Aminoacids	0.47146791219711304	Organic phosphonic acids	0.9336773157119751			Organic phosphonic acids	0.9336773157119751	Organic phosphonic acids and derivatives	0.9760504364967346	Organic acids and derivatives	0.9024224877357483	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Organonitrogen compounds; Organophosphorus compounds; Organic phosphonic acids and derivatives; Organic phosphonic acids; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
19_201006_Poo_TruePooMortality_DDApos_19	C10H21NO5	[M + Na]+	Fatty acids	0.4017757177352905	Fatty esters	0.5348648428916931	Wax monoesters	0.3463124632835388	Fatty acid esters	0.6292524337768555			Fatty acid esters	0.6292524337768555	Fatty Acyls	0.9672556519508362	Lipids and lipid-like molecules	0.9691529273986816	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty acid esters; Quaternary ammonium salts; Carboxylic acid derivatives; Carboxylic acid salts; Carboxylic acids; Carbonyl compounds; Amines; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
73_201006_Poo_TruePooMortality_DDApos_73	C9H8O3	[M + H]+	Shikimates and Phenylpropanoids	0.5088575482368469	Phenylpropanoids (C6-C3)	0.768817126750946	Cinnamic acids and derivatives	0.566541314125061	1-benzopyrans	0.511173665523529			1-benzopyrans	0.511173665523529	Benzopyrans	0.2682454586029053	Organoheterocyclic compounds	0.0846223309636116	Organic compounds; Ketones; Phenols; Organooxygen compounds; Carbonyl compounds; Benzenoids; 1-benzopyrans; Aryl ketones; Aryl alkyl ketones; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Chemical entities
55_201006_Poo_TruePooMortality_DDApos_55	C12H25N5O3	[M + H]+	Amino acids and Peptides	0.9999548196792603	Small peptides	0.9999905824661255	Dipeptides	0.9999986886978149	Dipeptides	0.9999954700469971	Peptides	0.999832272529602	Amino acids, peptides, and analogues	0.9999997615814209	Carboxylic acids and derivatives	0.9999998807907104	Organic acids and derivatives	1.0	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Branched fatty acids; Amino acids and derivatives; Peptides; Guanidines; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; N-acyl-alpha amino acids; Amines; Primary amines; Carboximidamides; Methyl-branched fatty acids; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; N-acyl-L-alpha-amino acids; Hydrocarbon derivatives; Amino acids; Leucine and derivatives; Isoleucine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities
2_201006_Poo_TruePooMortality_DDApos_2	C6H10N2O5P	[M + Na]+	Amino acids and Peptides	0.5267024636268616	Small peptides	0.5175998210906982	Pyridine alkaloids	0.26341864466667175	Azoles	0.7854142785072327					Azoles	0.7854142785072327	Organoheterocyclic compounds	0.8808068633079529	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organophosphorus compounds; Organic phosphonic acids and derivatives; Azoles; Carboxylic acids; Organic phosphonic acids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
20_201006_Poo_TruePooMortality_DDApos_20	C10H7O6PS2	[M + Na]+	Shikimates and Phenylpropanoids	0.9739482998847961	Phenolic acids (C6-C1)	0.45733216404914856	Simple coumarins	0.39760860800743103	1-sulfo,2-unsubstituted aromatic compounds	0.5635685324668884	Arylsulfonic acids and derivatives	0.537675678730011	Organosulfonic acids and derivatives	0.1689852625131607	Organic sulfonic acids and derivatives	0.1601289063692093	Organic acids and derivatives	0.986047625541687	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Sulfonyls; Arylsulfonic acids and derivatives; Benzenoids; Arylsufonic acids; 1-sulfo,2-unsubstituted aromatic compounds; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Benzenesulfonyl compounds; Organic oxygen compounds; Chemical entities
38_201006_Poo_TruePooMortality_DDApos_38	C11H15N5O3S	[M + H]+	Carbohydrates	0.9951788187026978	Nucleosides	0.9946111440658569	Purine nucleos(t)ides	0.9971238970756531	5'-deoxy-5'-thionucleosides	0.996755063533783			5'-deoxy-5'-thionucleosides	0.996755063533783	5'-deoxyribonucleosides	1.0	Nucleosides, nucleotides, and analogues	0.998189389705658	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Carbohydrates and carbohydrate conjugates; Pyrimidines and pyrimidine derivatives; Imidazoles; Alcohols and polyols; Purines and purine derivatives; Organonitrogen compounds; Nucleosides, nucleotides, and analogues; Organooxygen compounds; Azoles; Thioethers; Aminopyrimidines and derivatives; Diazines; Pentoses; Monosaccharides; Secondary alcohols; Imidazopyrimidines; Glycosyl compounds; Glycosylamines; Polyols; Substituted imidazoles; N-substituted imidazoles; Amines; Primary amines; 1,2-diols; Tetrahydrofurans; 6-aminopurines; Sulfenyl compounds; Organic cations; Dialkylthioethers; Imidolactams; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; 5'-deoxyribonucleosides; 5'-deoxy-5'-thionucleosides; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
3_201006_Poo_TruePooMortality_DDApos_3	C5H3N5OS2	[M + K]+	Alkaloids	0.9830366969108582	Pseudoalkaloids	0.7781747579574585	pteridine alkaloids	0.7713019847869873	Thiadiazoles	0.9419944882392883			Thiadiazoles	0.9419944882392883	Azoles	0.9937857389450073	Organoheterocyclic compounds	0.9999265670776367	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Thiadiazoles; Organonitrogen compounds; Azoles; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic cyanides; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities
74_201006_Poo_TruePooMortality_DDApos_74	C15H29NO12	[M + Na]+	Carbohydrates	0.5771865248680115	Saccharides	0.5405274629592896	Disaccharides	0.43279770016670227	Alkyl glycosides	0.5890889763832092	Alkyl glycosides	0.5890889763832092	Fatty acyl glycosides	0.4772329032421112	Fatty Acyls	0.5116671323776245	Lipids and lipid-like molecules	0.6490018367767334	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Nitriles; Disaccharides; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; Alkyl glycosides; O-glycosyl compounds; Polyols; Fatty Acyls; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
56_201006_Poo_TruePooMortality_DDApos_56	C16H19N9O4	[M + H]+	Alkaloids	0.996684730052948	Pseudoalkaloids	0.7894466519355774	pteridine alkaloids	0.694136381149292	Pterins and derivatives	0.9544587135314941			Pterins and derivatives	0.9544587135314941	Pteridines and derivatives	0.9263260960578918	Organoheterocyclic compounds	0.9999040365219116	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Imidazoles; Pteridines and derivatives; Pterins and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Pyrimidones; Organooxygen compounds; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Aminopyrimidines and derivatives; Diazines; Carbonyl compounds; Substituted imidazoles; N-substituted imidazoles; Amines; Primary amines; Tertiary amines; Vinylogous amides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
