Name	Pos-m/z	RT	Adduct
2-Ketoglutaric acid	145.01329879543	11.245833333333334	[M-H]-
3-Sulfolactate, 13C3	171.99054037175833	12.426666666666666	[M-H]-
5-Oxoproline	128.03424625832042	5.684166666666667	[M-H]-
AMP, 15N5	351.041047343835	11.094166666666666	[M-H]-
Acetylglycine	116.0341878591986	7.769166666666667	[M-H]-
Adenosine monophosphate	346.0558877832655	10.925833333333333	[M-H]-
Allopurinol	135.0302268956676	4.0825	[M-H]-
Citric acid	191.019170449041	13.650833333333333	[M-H]-
Cysteinolic acid	154.01697860169836	9.06	[M-H]-
D-Fructose 6-phosphate	259.0223999341834	12.626666666666667	[M-H]-
D-Gluconic acid	195.050533638882	10.26	[M-H]-
D-Glucose 1-phosphate	259.02239777566757	12.626666666666667	[M-H]-
D-Glucose 6-phosphate	259.0223761905095	13.448333333333334	[M-H]-
Fumaric acid	115.00254656729258	12.296666666666667	[M-H]-
Glycerophosphoric acid	171.00568626929334	11.728333333333333	[M-H]-
Inosine	267.07363148722806	7.990833333333333	[M-H]-
Isethionic acid	124.99034453748631	4.99	[M-H]-
Isocitric acid	191.019170449041	13.650833333333333	[M-H]-
L-Cysteic acid	167.9964554042722	11.294166666666667	[M-H]-
L-Cysteic acid, 2H3	171.01527912272	11.305833333333334	[M-H]-
Malic acid	133.01320784931	12.050833333333333	[M-H]-
N-Acetyl-L-glutamic acid	188.05587079161518	10.545833333333334	[M-H]-
Orotic acid	155.00897427317804	4.950833333333334	[M-H]-
Oxalic acid	88.98690435666039	13.566666666666666	[M-H]-
Salicylic acid	137.02340868630432	2.065	[M-H]-
Shikimic acid	173.045964725875	11.018333333333333	[M-H]-
Succinic acid	117.01814334699557	11.334166666666667	[M-H]-
Sucrose	341.1089613565532	11.919166666666667	[M-H]-
Sucrose, 13C	353.1493203640725	11.9125	[M-H]-
Sulfoacetic acid	138.96966455668175	12.915000000000001	[M-H]-
Sulfoacetic acid, 13C2	140.97638026347332	12.894166666666667	[M-H]-
Taurine	124.00628710277687	9.870000000000001	[M-H]-
Taurine, 2H4	128.0314512004375	9.970833333333333	[M-H]-
Threonic acid	135.02882788651334	9.231666666666667	[M-H]-
Thymidine	241.083181292446	3.4125	[M-H]-
Thymine	125.03455597142438	3.4791666666666665	[M-H]-
Thymine, 2H4	129.05968591020334	3.5625	[M-H]-
Trehalose	341.1089528288435	12.710833333333333	[M-H]-
Trehalose, 13C	353.1493203640725	12.74	[M-H]-
UDP-N-acetylglucosamine	606.074242909617	11.746666666666666	[M-H]-
Uracil	111.01884886914326	4.3425	[M-H]-
Uridine	243.06216266416905	6.1425	[M-H]-
cis-Aconitic acid	173.00849966092332	13.661666666666667	[M-H]-
