rank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id
26	C10H23NO6	[M + H]+	C10H23NO6	68.99363080517455	63.7625239053371	5.231106899837451	10	0.497920929087467	0.8449324400094221	1.1805950858792404	0.20626748847531595		254.15987	167.266	38_200929_Poo_TruePooMortality_DDApos_38
27	C10H18N4O5	[M + H]+	C10H18N4O5	68.37454502476898	65.37444142877179	3.000103595997185	18	0.8153939298973932	0.674658430894399	1.0871539446108742	-0.17227045119138953		275.13495	580.03	119_200929_Poo_TruePooMortality_DDApos_119
28	C11H21N3O4	[M + H]+	C11H21N3O4	68.26403361620747	62.921378585685254	5.3426550305222165	10	0.8348224606506373	0.3857252508025055	0.5927357092978767	0.2705038265295145		260.16055	237.345	54_200929_Poo_TruePooMortality_DDApos_54
29	C9H19NO9	[M + H]+	C9H19NO9	68.20336458913737	64.90819254786697	3.295172041270396	19	0.8444198440037066	4.278833858145416	4.278833858145416	-0.3085767675878544		286.11317	617.359	134_200929_Poo_TruePooMortality_DDApos_134
30	C11H22N2O3	[M + H]+	C11H22N2O3	67.9510001829254	62.4332927087758	5.517707474149596	10	0.9266035488380711	4.983047679845603	4.983047679845603	0.02021750923014678		231.17032	124.048	11_200929_Poo_TruePooMortality_DDApos_11
31	C12H21NO	[M + H]+	C12H21NO	66.64048981102906	63.11525674437004	3.5252330666590104	25	0.8000964705498057	2.9769638431712293	2.9769638431712293	0.32676868871073095		196.16965	139.039	16_200929_Poo_TruePooMortality_DDApos_16
32	C12H26O7	[M + H3N + H]+	C12H29NO7	65.0367479003866	65.0367479003866	0.0	8	0.5172192903035541	1.5889409641989474	1.5889409641989474	-0.40069445867338505		300.20156	154.625	21_200929_Poo_TruePooMortality_DDApos_21
33	C10H18N4O5	[M + H]+	C10H18N4O5	65.0294543659767	62.27989372792098	2.7495606380557227	18	0.8218276560887186	0.7447763376399055	0.7447763376399055	0.2159444988358248		275.13506	578.894	117_200929_Poo_TruePooMortality_DDApos_117
34	C10H22O6	[M + H]+	C10H22O6	64.69624023746007	58.393479288095236	6.30276094936484	9	0.8279930045929167	2.5999599564314555	2.5999599564314555	-0.31595935015378135		239.14884	158.75	25_200929_Poo_TruePooMortality_DDApos_25
35	C6H13NO2	[M + H]+	C6H13NO2	62.89174201318339	60.0219186694562	2.869823343727189	9	0.9578370031695066	6.847818896365796	6.847818896365796	0.4481893091310402		132.10196	459.08	79_200929_Poo_TruePooMortality_DDApos_79
36	C6H11NO	[M + H]+	C6H11NO	62.58236015726046	59.835811964551596	2.746548192708862	11	0.8095287363104902	7.180683193822081	7.180683193822081	2.328971036310521		114.09161	161.996	26_200929_Poo_TruePooMortality_DDApos_26
37	C11H23NO2	[M + H]+	C11H23NO2	62.49298178330722	62.49298178330722	0.0	13	0.9285334750436282	6.1371327690758095	6.1371327690758095	0.025197182527815012		202.18016	168.043	47_200929_Poo_TruePooMortality_DDApos_47
38	C12H23NO	[M + H]+	C12H23NO	62.333561755279185	58.776387267026664	3.557174488252522	25	0.7643764696374794	4.543867294859577	4.543867294859577	0.19697780233831522		198.18528	139.039	15_200929_Poo_TruePooMortality_DDApos_15
