GENE.NAME,KEGG,PathwayID,Pathway_info,Details
glnA,K01915,9102,Energy metabolism,00910 Nitrogen metabolism [PATH:ko00910]
glnA,K01915,9156,Nervous system,04724 Glutamatergic synapse [PATH:ko04724]
glnA,K01915,9105,Amino acid metabolism,"00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]"
glnA,K01915,9141,Transport and catabolism,04147 Exosome [BR:ko04147]
glnA,K01915,9156,Nervous system,04727 GABAergic synapse [PATH:ko04727]
glnA,K01915,9143,Cell growth and death,04217 Necroptosis [PATH:ko04217]
glnA,K01915,9105,Amino acid metabolism,00220 Arginine biosynthesis [PATH:ko00220]
glnA,K01915,9101,Carbohydrate metabolism,00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]
nadE,K01916,9108,Metabolism of cofactors and vitamins,00760 Nicotinate and nicotinamide metabolism [PATH:ko00760]
gshB,K01920,9105,Amino acid metabolism,00270 Cysteine and methionine metabolism [PATH:ko00270]
gshB,K01920,9106,Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ko00480]
ddl,K01921,9107,Glycan biosynthesis and metabolism,00550 Peptidoglycan biosynthesis [PATH:ko00550]
ddl,K01921,9106,Metabolism of other amino acids,00473 D-Alanine metabolism [PATH:ko00473]
ddl,K01921,9107,Glycan biosynthesis and metabolism,01011 Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]
ddl,K01921,9168,Drug resistance,01502 Vancomycin resistance [PATH:ko01502]
purC,K01923,9104,Nucleotide metabolism,00230 Purine metabolism [PATH:ko00230]
murC,K01924,9107,Glycan biosynthesis and metabolism,00550 Peptidoglycan biosynthesis [PATH:ko00550]
murC,K01924,9107,Glycan biosynthesis and metabolism,01011 Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]
murC,K01924,9106,Metabolism of other amino acids,00471 D-Glutamine and D-glutamate metabolism [PATH:ko00471]
murD,K01925,9107,Glycan biosynthesis and metabolism,01011 Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]
murD,K01925,9106,Metabolism of other amino acids,00471 D-Glutamine and D-glutamate metabolism [PATH:ko00471]
murD,K01925,9107,Glycan biosynthesis and metabolism,00550 Peptidoglycan biosynthesis [PATH:ko00550]
murE,K01928,9107,Glycan biosynthesis and metabolism,00550 Peptidoglycan biosynthesis [PATH:ko00550]
murE,K01928,9107,Glycan biosynthesis and metabolism,01011 Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]
murE,K01928,9105,Amino acid metabolism,00300 Lysine biosynthesis [PATH:ko00300]
murF,K01929,9107,Glycan biosynthesis and metabolism,00550 Peptidoglycan biosynthesis [PATH:ko00550]
murF,K01929,9107,Glycan biosynthesis and metabolism,01011 Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]
murF,K01929,9105,Amino acid metabolism,00300 Lysine biosynthesis [PATH:ko00300]
murF,K01929,9168,Drug resistance,01502 Vancomycin resistance [PATH:ko01502]
purM,K01933,9104,Nucleotide metabolism,00230 Purine metabolism [PATH:ko00230]
