GENE.NAME,KEGG,PathwayID,Pathway_info,Details
gadB,K01590,9105,Amino acid metabolism,00340 Histidine metabolism [PATH:ko00340]
pyrF,K01591,9104,Nucleotide metabolism,00240 Pyrimidine metabolism [PATH:ko00240]
ppc,K01595,9102,Energy metabolism,00720 Carbon fixation pathways in prokaryotes [PATH:ko00720]
ppc,K01595,9101,Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620]
ppc,K01595,9102,Energy metabolism,00710 Carbon fixation in photosynthetic organisms [PATH:ko00710]
ppc,K01595,9102,Energy metabolism,00680 Methane metabolism [PATH:ko00680]
hemE,K01599,9108,Metabolism of cofactors and vitamins,00860 Porphyrin and chlorophyll metabolism [PATH:ko00860]
rbcL,K01601,9102,Energy metabolism,00710 Carbon fixation in photosynthetic organisms [PATH:ko00710]
rbcL,K01601,9101,Carbohydrate metabolism,00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]
rbcS,K01602,9102,Energy metabolism,00710 Carbon fixation in photosynthetic organisms [PATH:ko00710]
rbcS,K01602,9101,Carbohydrate metabolism,00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]
trpC,K01609,9105,Amino acid metabolism,"00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]"
speH,K01611,9105,Amino acid metabolism,00270 Cysteine and methionine metabolism [PATH:ko00270]
speH,K01611,9105,Amino acid metabolism,00330 Arginine and proline metabolism [PATH:ko00330]
deoC,K01619,9101,Carbohydrate metabolism,00030 Pentose phosphate pathway [PATH:ko00030]
cbbA,K01624,9101,Carbohydrate metabolism,00051 Fructose and mannose metabolism [PATH:ko00051]
cbbA,K01624,9101,Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ko00010]
