GENE.NAME,CTRL0_A,CTRL0_B,CTRL0_C,TRT0_A,TRT0_B,TRT0_C,CTRL12_A,CTRL12_B,CTRL12_C,TRT12_A,TRT12_B,TRT12_C,TRT24_A,TRT24_B,TRT24_C,CTRL24_A,CTRL24_B,CTRL36_A,CTRL36_B,CTRL36_C,TRT36_A,TRT36_B,TRT36_C
PMM0490,3369,4785,3193,1963,2850,4419,9434,7799,8122,1303,3657,1394,60,64,50,4681,4037,9527,6192,12824,77,157,62
PMM0491,2773,3794,2366,1412,2116,2962,5596,4720,4783,763,1798,698,35,36,22,3667,2981,6440,4925,8146,28,72,28
PMM0492,951,1187,1104,593,689,1309,2389,1594,1655,457,883,408,39,32,16,1975,1437,2150,1719,2687,11,31,20
cxp,1704,2056,2048,1647,1820,3236,7081,4772,5990,2114,4192,2721,201,234,142,3310,3680,5606,3767,6264,96,136,92
PMM0494,11144,8886,11716,6352,6410,16195,5021,4687,6396,1443,3936,1923,305,264,119,16846,23616,7319,4022,8282,75,139,61
hemC,11180,9825,13007,7241,7926,23154,13919,12239,13870,3608,9830,4279,362,263,165,20178,24292,14519,9459,17282,144,273,156
rpoD,15884,14774,17653,9551,13686,27158,34765,29628,32865,10658,20918,8894,522,364,269,27972,54279,36443,21377,41988,315,544,290
PMM0498,1078,1235,1151,763,986,2019,2242,1671,1731,422,1331,548,72,65,50,1739,1277,1398,897,1633,34,79,33
PMM0500,8865,9136,8184,6599,5262,9391,13838,10499,10696,2704,4458,1733,117,97,66,13726,10934,11361,8174,14703,110,149,91
PMM0501,640,1010,711,640,641,908,1261,677,513,185,427,170,29,35,17,1327,578,568,366,795,11,23,18
ycf41,1969,3255,2236,1602,2666,2882,28169,23350,24325,5974,10130,3479,47,66,50,6019,3659,27415,21658,32090,189,325,157
cobK,3045,3484,2697,2036,1963,3442,5563,4453,3082,870,2025,783,68,63,44,4538,2986,3595,2085,5000,44,76,52
cutA,392,600,389,218,373,578,1165,853,547,150,595,245,41,23,19,640,392,585,235,808,21,21,9
PMM0505,1288,1681,2092,1053,1757,4045,3593,3352,3471,728,2572,1073,109,70,49,2708,2601,2801,1471,3451,29,99,49
purA,7037,8921,10957,5674,6643,14572,14523,10164,11524,3111,5836,2707,137,117,103,16828,14800,12720,8376,15666,138,200,102
psb27,16690,21897,19689,12316,12095,21918,11691,10409,10232,2069,4279,1339,103,113,90,32028,28131,16907,14614,19225,77,156,77
proS,6540,8558,5455,5521,5467,7387,9069,7367,7570,2097,4172,1459,103,131,74,8424,6287,7328,5700,8299,75,107,57
PMM0509,444,659,489,312,425,743,3684,2378,1875,660,1164,408,26,27,14,1223,670,1913,1564,2354,41,18,25
PMM0510,10571,10526,8629,9307,7093,13176,7474,7267,5931,1140,3348,1045,117,110,70,13454,11327,7656,5553,7856,51,90,48
ppa,11437,10670,9062,9342,7312,14891,8357,7282,5407,1282,3907,1358,210,177,98,13366,10130,6913,4780,7440,71,114,61
lepB,2084,2285,2022,1605,1686,3486,2974,2102,1846,519,1832,798,110,79,42,2558,1932,1862,1293,2420,26,41,32
pyrC_a,2637,2682,2782,2368,2333,5301,2746,2124,2909,632,1603,650,38,41,46,3838,4897,2546,1827,2837,30,62,26
serB,5355,6324,4743,4258,3411,6435,4212,3257,3419,1018,2555,1211,83,70,35,6848,6981,4283,3290,5240,46,70,34
PMM0516,1381,1718,1185,800,841,1739,1110,1076,1044,219,656,265,29,33,15,1542,1563,1174,600,1550,16,15,15
PMM0517,43,79,78,19,51,144,204,157,194,26,169,74,6,4,3,109,67,132,65,188,0,5,2
ftsI,1485,2101,1805,1210,1497,3270,5716,5371,5619,1175,3561,1338,113,122,75,2963,2530,5109,3031,5537,73,99,72
tal,4611,8804,5674,3685,7310,7688,66694,58796,71519,14540,25990,10936,152,205,167,13406,12257,74145,56957,87436,411,845,285
fixC,1519,1766,1798,1348,1072,2701,4291,2855,2404,828,1851,831,96,91,57,2719,2266,2543,1784,3228,56,101,31
frr,3676,3928,4162,2711,2681,5212,9271,6569,7972,2057,3454,1639,72,79,38,6458,7055,7881,4927,9527,72,120,45
pyrH,1620,2036,2112,1501,1207,2739,6292,3420,4197,1774,2359,1343,69,91,53,3415,3522,3862,1978,5081,58,55,59
cobO,655,1096,603,697,667,713,2611,1368,1851,919,996,570,20,41,28,724,651,1632,1191,1714,20,25,27
PMM0524,298,415,427,268,357,755,1209,1045,1328,307,889,354,30,37,29,640,516,1090,654,1153,34,51,18
hemH,5777,8339,5906,4773,5426,8769,5155,4299,3248,816,2881,1137,173,155,79,7898,4596,4290,3387,5382,76,87,76
ilvB,4937,6989,5467,4344,5027,7231,24457,18524,20472,5927,9210,4001,155,154,151,10980,10911,26744,18315,27010,178,270,160
PMM0527,343,486,479,208,383,710,1543,1348,1196,226,807,302,24,17,4,697,561,1033,574,1337,10,26,11
pgeF,1778,3257,2369,1148,1527,3248,3166,2422,1393,411,1463,737,103,56,18,2836,1334,1817,778,2870,25,75,25
PMM0529,4128,4798,3786,3588,3154,5619,4344,3999,3838,1151,2690,1102,91,87,66,4170,4575,4241,2857,4946,69,79,28
rps1b,7009,7303,5458,5922,4067,6222,10392,5679,5603,3049,3687,1910,97,79,68,6880,6455,6975,5274,7701,70,97,70
PMM0531,4402,6000,4930,3276,2957,5695,6213,4994,4806,1122,2904,1199,128,110,88,8409,5897,5854,3055,7612,60,100,59
adoA,60532,78285,46676,40981,50546,59108,46995,40704,39007,7842,17678,6111,294,233,199,54604,57705,52651,37334,63980,352,667,242
aarA,10553,15883,15620,9455,10819,21651,16192,11544,12537,2520,6359,2644,222,234,175,21522,15808,11541,7442,16521,180,327,188
accA,3487,5054,5696,3428,3138,8411,5594,3803,3928,1079,2659,1255,170,169,107,9170,6365,4238,2997,6073,73,127,106
PMM0535,1697,1913,2430,1484,1718,4627,1996,1564,1917,486,1776,822,139,114,66,3098,2502,1430,1035,1833,62,69,73
folE,32699,38833,35859,27520,23364,51845,19155,15968,16492,3960,9757,4547,975,862,423,40458,37389,20084,10782,25344,308,471,319
trpF,160,276,197,150,228,316,647,533,509,131,431,162,12,22,28,303,207,421,306,477,18,25,12
psaM,13918,10514,10698,5037,10482,15607,3832,4469,4904,705,2169,885,115,106,36,16081,16824,8527,6845,9096,29,67,16
PMM0541,20502,16079,18222,7590,16895,27183,8318,7877,9474,1597,4266,1980,244,186,74,27283,28241,14019,9529,15621,74,164,67
por,1678,1712,2955,1167,1837,4348,2613,1568,1959,754,1930,1103,129,99,66,3395,3828,1890,1027,2453,47,79,36
chlL,7589,6445,12999,4865,7524,19832,35608,28690,44929,12874,19120,10162,373,272,244,27479,44911,42099,32081,45194,354,492,206
chlB,5902,7258,14171,4564,10335,20658,81818,80513,108047,25589,52386,22125,532,505,460,72139,104294,154387,122214,143326,808,1363,715
chlN,8403,9937,18643,5967,10733,24794,96582,98726,127624,30227,59854,25404,614,612,600,82105,114142,186683,141202,175901,1008,1569,770
PMM0546,5080,6374,9081,3448,5197,12075,25167,27410,28221,6515,16610,8408,201,233,192,15559,20079,44531,35645,41659,208,411,206
CsoS1D,2650,3188,3362,2284,2017,5552,1343,1055,967,475,1224,790,91,61,40,5509,4417,1209,573,1631,38,38,34
rbcS,107557,41629,186291,60968,21153,241152,3292,2812,3750,1013,2208,2605,1517,537,601,177458,258498,3832,2170,5149,107,170,82
csoS2,77164,35394,110623,33828,16785,138329,6679,4386,4622,1844,2974,2052,639,387,419,125345,133461,5185,3794,7880,180,253,110
csoS3,6384,4850,10658,3479,2368,16110,3308,2518,2300,793,1497,828,127,97,135,11141,11033,2684,1892,3566,77,131,80
csoS4A,1633,2113,2488,1448,1171,2933,4266,2531,2418,1086,1210,610,49,34,42,3450,3536,3634,2670,3994,31,30,38
PMM0556,907,1053,1013,447,776,1935,2072,1398,1303,307,1204,587,60,72,35,1347,1132,1132,461,1578,29,56,39
PMM0557,1788,1746,1787,983,1596,3050,2578,1789,2421,625,1351,604,97,56,29,3519,4390,2219,1800,2586,21,40,18
tdcF,935,1365,685,699,863,807,2159,1366,1419,420,846,363,19,20,10,1145,783,1602,1322,1757,21,28,23
gloB,1385,2075,1109,998,1232,1697,2862,2435,1742,407,1359,460,68,55,33,2333,1157,2126,1365,2665,34,47,47
hisG,6403,7490,6058,5368,4218,8423,6816,5284,4879,1170,3234,1264,164,198,111,10881,8043,6045,4362,6693,79,129,79
PMM0561,10845,13087,8031,9358,7913,12013,6594,5090,5252,1584,5583,2576,429,467,239,8552,8014,5171,3169,5989,156,250,152
PMM0562,2003,2999,2216,2003,1890,3178,2347,1876,1644,597,1406,576,73,75,59,2495,1879,1758,1137,1968,36,62,36
PMM0563,627,729,616,415,652,1265,1569,1098,742,339,1348,622,123,83,23,1058,657,762,375,1026,20,44,28
PMM0564,944,964,949,584,732,1563,1694,1329,1037,328,1020,485,61,43,13,1483,1154,1182,601,1506,19,49,16
dnaA,2429,3086,2335,1669,3250,4691,15822,16403,21193,4631,14431,5896,207,214,169,2524,3384,12682,9156,12726,171,300,151
PMM0566,1431,2318,1016,1113,1583,1692,2925,2050,1273,493,1570,674,75,47,25,1167,631,1026,654,1707,25,39,36
gorA,3641,4291,3544,2941,2607,4482,3823,3153,2895,824,1897,659,68,59,42,5022,4477,3602,2712,4325,52,80,39
ECM27,628,885,768,595,580,1086,1988,1457,1207,377,1413,644,75,56,24,1530,928,1367,910,1722,29,53,21
pyrC,454,616,489,325,454,740,1404,977,995,343,864,383,48,46,22,873,541,790,436,991,27,52,27
ndhL,2011,2210,1677,1570,1743,3278,5926,7235,7237,1594,5178,2262,99,75,33,2271,2709,5130,2356,5382,26,88,30
PMM0571,1635,1898,1475,1151,1561,2656,4827,4276,3929,1570,5683,2737,158,111,42,1954,1725,2822,1233,3682,46,109,80
trpA,1999,2864,2563,1669,1913,3632,5405,4318,3086,1990,9508,4747,293,213,110,4092,2428,3104,1743,4748,55,85,63
PMM0575,384,661,468,324,733,632,3625,3346,3350,912,2245,696,20,17,22,731,455,2499,1609,2248,24,55,23
PMM0576,594,1227,879,513,1353,1303,7134,7194,7401,1861,4596,1364,46,38,36,1306,744,5808,4173,5128,57,115,58
PMM0577,1240,2878,2000,1124,2941,2745,28294,19728,21433,7926,10670,4622,86,82,78,3178,2123,21057,18094,21319,210,296,161
hisIE,1574,2167,1948,1220,1018,2134,5522,3129,2947,1218,1164,574,25,22,10,3459,2782,4166,2498,5283,29,50,25
queD,1161,1680,1089,906,779,1112,4275,4254,2942,798,1785,685,39,33,16,1646,1197,4365,2791,5009,26,30,28
clpB,6213,8286,5580,3767,5504,7177,9004,6389,6379,1705,3335,1268,67,97,128,7130,5907,5945,3384,8515,63,164,96
petE,51235,80655,47153,39066,54284,46819,25791,21300,27370,5906,8549,4353,289,247,187,59372,58927,40746,26504,46929,234,343,151
PMM0582,4062,3477,6019,2781,3606,10978,4076,3418,4516,915,2032,965,126,99,65,9608,15070,4931,3132,5839,51,100,37
hemE,17577,11275,20522,8914,10769,31277,8690,7530,10475,2238,4007,1759,215,195,170,35858,52761,15234,10657,17255,128,201,88
glgB,8366,8737,10636,7534,6017,15508,7061,5412,6149,1735,3062,1281,168,175,134,12807,12502,5997,4299,6666,144,147,153
PMM0585,1559,2331,2128,1449,1606,3047,4445,3184,3009,790,1870,700,80,85,61,3656,2029,2733,1849,3504,57,86,46
PMM0586,571,857,768,541,671,1065,1667,1194,1240,254,827,306,29,27,20,1248,851,1100,785,1390,21,26,9
PMM0587,294,473,399,240,352,795,1267,968,796,152,709,246,39,16,15,800,379,667,450,880,16,27,8
PMM0588,317,393,336,206,321,625,1172,856,688,177,696,274,25,28,14,721,445,564,330,786,14,23,8
PMM0589,757,1064,706,481,742,1337,3906,3305,2169,616,2105,833,51,74,34,1265,766,1786,998,2629,38,76,34
proA,1323,1539,1555,1021,1096,2355,2127,1694,1590,446,1049,483,68,67,32,2438,2240,1873,1195,2494,24,39,37
folB,259,348,355,225,255,608,496,392,432,97,315,157,17,13,6,483,506,369,292,556,8,18,9
PMM0592,303,420,440,267,344,804,1076,849,751,179,633,265,30,19,19,777,569,664,503,900,25,46,12
prlC,28885,42016,17077,17862,23919,25715,13569,9652,7259,1918,4822,1852,252,276,200,14015,12332,6626,5085,9867,144,182,168
ndhD2,23796,28921,18528,20477,17090,30675,12939,10616,8681,2148,6478,2460,514,470,233,17450,15068,9610,5604,12607,166,266,159
thrB,1190,1233,1510,890,993,2375,2374,1266,1436,733,1189,695,106,123,68,2483,2260,1515,957,1757,53,51,51
glk,1287,1358,1535,862,1068,2603,2269,1581,1594,400,1041,338,56,52,38,2144,1863,1572,908,1760,37,40,38
thrS,3942,3288,5097,3155,2745,9219,4631,3987,4965,1031,2511,1027,118,96,75,6416,8209,4914,3141,5234,71,110,54
trpS,6732,5405,8633,5090,3908,12685,5564,4169,5041,1501,2676,1107,135,109,69,11441,12762,6105,4225,6920,65,133,68
PMM0599,5046,4499,5450,3480,2751,7338,4178,2454,2997,1082,1573,644,89,52,56,9557,8765,3886,3063,4293,54,51,51
mntC,3205,4630,5211,2427,4113,7884,11698,9875,7493,1950,8170,3951,255,208,113,9380,7785,8379,5231,9869,90,141,69
mntA,2403,2908,2947,1990,2818,5292,6544,4423,3609,1747,8201,4064,410,288,80,4828,4623,3586,2129,5131,64,58,88
mntB,4452,4731,5422,3528,4024,9001,6180,5559,5329,1635,9174,4064,457,375,114,7307,7742,4612,2346,6121,83,123,90
PMM0604,2166,2653,2489,1783,2629,5336,4452,3862,2809,1139,7987,3227,399,257,95,3173,2803,2542,1770,3395,46,91,54
PMM0605,4289,5114,5145,2699,2864,6823,3981,3639,3652,646,1823,726,178,141,95,13443,8716,3984,2205,5978,81,92,70
lepB_2,1978,2509,2020,1570,1112,2332,2483,1902,1603,438,888,295,39,21,30,3886,2330,2200,1705,3029,23,46,29
menD,1277,1478,1155,867,780,1912,1967,1482,1043,374,1104,473,56,71,30,1994,1213,902,535,1559,32,59,34
menB,5231,4497,4563,3899,2638,6079,3215,2058,2175,759,1133,537,43,37,28,7496,6845,2759,2111,3390,37,45,32
glgA,13688,11309,12679,10177,6654,16599,6538,5541,5634,1379,3081,1204,138,123,108,18184,17470,6784,4660,8297,91,120,74
murF,1120,1240,1078,699,870,1712,1345,1138,819,260,929,411,61,52,37,1434,1057,736,440,1063,28,34,17
glmU,4754,5342,3456,3535,3277,5323,11461,9283,7915,2068,5128,1924,139,125,106,7152,5809,10655,7090,13617,106,186,62
aroA,1131,1344,1492,926,1082,2622,3147,2051,2399,707,1665,793,82,87,52,2428,2594,2108,1380,2745,38,50,51
PMM0615,4949,5636,5754,5061,3985,7555,6403,5177,5106,1641,4106,2115,240,183,113,8765,7785,5483,3084,6688,77,87,68
amiC,749,885,822,699,659,1351,1909,1189,953,541,1673,979,115,50,35,1142,935,855,443,1244,33,40,21
murI,255,400,288,213,273,605,774,505,370,173,868,413,55,36,20,448,221,350,217,477,10,28,18
sds,12599,16965,7453,13152,9594,11074,5399,4563,4997,1158,2938,1388,202,184,108,5873,6962,5014,3302,5684,72,139,73
acs,8790,9548,9518,6410,8457,13655,20476,16768,22718,5498,7969,4315,174,120,159,15422,23637,28677,21119,30172,213,352,165
PMM0620,2068,2744,1884,1132,1373,2364,2516,1418,851,344,1406,707,202,158,73,2915,758,933,474,1885,65,73,35
dnaQ,184,288,194,109,262,291,1576,1346,1738,413,1416,655,36,32,18,333,311,1632,1160,1862,23,29,16
PMM0622,37560,40238,48245,35251,27796,64348,22204,21443,29419,7068,13635,6748,1617,1452,524,64266,82459,34946,17895,40031,422,506,339
hisS,1222,1563,1531,1004,1056,2145,3785,2597,2466,980,2708,1279,100,81,42,2337,1684,2384,1253,2886,46,70,38
PMM0625,71,129,99,75,95,160,174,142,121,78,242,102,15,9,6,78,67,80,53,116,7,5,3
PMM0626,278,460,614,233,430,978,1920,2070,2681,411,1280,480,23,20,22,922,879,2100,1094,2166,14,33,9
pcbA,717158,1214112,1092888,572920,1302889,1463177,737345,855995,938611,226076,409561,143951,9518,6570,5064,1568635,2026524,1554624,1284328,1448428,7176,12055,4927
gltS,3776,4238,5343,3023,3119,7797,5854,5591,6396,1360,3199,1168,86,62,58,6269,7442,5435,2712,7261,55,103,39
PMM0629,334,466,333,246,283,451,970,817,804,194,401,167,13,10,4,492,458,908,817,1097,11,14,3
GSTO1,378,501,288,288,266,493,681,507,313,122,295,160,20,21,9,413,240,332,193,534,5,14,13
PMM0631,2378,2799,1787,1619,2076,2878,5989,5269,4468,855,2457,939,41,25,30,2952,2295,4856,3004,6174,39,78,32
PMM0632,1333,1495,1337,961,1303,2727,2534,1786,1664,606,2265,1191,198,137,40,1798,1798,1300,880,1911,44,64,34
crtL-e,5454,5350,5598,3438,3880,10512,7899,6444,6357,2041,6021,3042,527,389,139,8031,9693,6291,3350,7584,93,134,82
por_2,326,393,333,191,275,564,595,413,345,135,373,226,18,13,7,419,289,334,200,466,6,12,7
mscS,1427,1571,1745,899,1253,2312,5210,4355,4716,1063,2460,830,69,46,25,2587,2766,5036,3984,5842,40,93,28
pncA,614,610,445,419,422,755,964,880,621,178,673,271,39,26,16,798,638,781,496,961,15,20,9
fur,2281,3046,3640,1655,2761,5100,8542,8143,7570,1432,4816,1719,87,97,92,6429,6700,9360,5196,10797,74,127,66
PMM0638,3065,4173,2657,2156,2753,4176,6426,5355,5451,1188,3311,1296,162,138,47,4137,3594,5944,4639,6734,64,107,49
ggpP,1475,1644,1583,1021,1251,2501,3018,2183,2424,529,1653,725,66,59,49,2504,2222,2420,1618,2835,42,68,44
PMM0641,6595,5435,6524,5173,4149,10376,9285,8788,10257,2216,5033,1994,139,132,53,8697,10856,10175,5313,11291,96,159,61
met17,16908,15623,22659,11469,15952,31528,29998,26721,42217,9042,15236,6911,354,304,205,45534,73256,54520,41729,52894,314,507,263
metA,3894,3863,6316,3159,4170,9226,8545,7795,11720,2148,4776,2280,147,140,93,11119,19690,13347,8295,13575,103,196,84
sulP2,6402,5235,7185,4702,3652,8790,5409,4209,4848,1508,3020,1487,162,103,75,11805,14444,5793,3819,6941,74,127,76
PMM0645,881,1045,738,545,803,1110,1871,1249,1015,336,1340,630,45,47,41,832,631,843,502,1297,34,31,19
PMM0647,1289,2485,2799,862,2052,4676,5852,6337,11929,1040,3019,1654,36,37,41,2310,1888,6803,4111,7414,47,170,37
cetA,1061,1271,1435,927,824,2047,2323,1430,1005,564,1550,759,110,89,56,2747,1661,1182,688,1698,50,46,43
PMM0649,2132,2178,2270,1376,1326,2981,2007,1580,1845,463,1054,451,82,45,42,4009,3878,2206,1364,2643,26,36,18
PMM0651,1062,1321,1981,856,1121,3408,7128,5725,6336,1799,5386,2491,177,158,66,3428,3691,5725,4136,7558,88,119,93
PMM0652,404,426,370,315,341,790,2629,2797,1696,692,2803,989,90,54,23,1318,1078,1951,1506,2216,14,30,21
gloA,1513,1846,853,1059,1190,1407,1211,893,865,390,1301,627,99,58,26,827,878,1188,819,1350,30,32,18
PMM0654,434,595,399,354,506,770,768,593,655,110,568,230,26,38,18,455,474,497,206,602,13,14,17
vnfG,401,399,312,244,304,538,1230,927,1146,255,780,402,18,17,11,707,538,966,719,1261,14,15,10
rluF,368,594,342,308,352,632,1062,707,589,197,704,346,40,32,18,589,335,554,336,688,12,37,20
PMM0659,834,983,1361,517,836,2057,5306,4529,5100,1117,2455,898,53,59,48,2810,3179,5464,4361,5404,67,65,42
PMM0662,692,1026,736,398,602,1046,1646,1123,1024,242,508,173,20,12,6,1142,757,1236,758,1407,11,12,12
prfC,1763,2553,2595,1616,1576,3827,4612,3084,3034,1002,2096,988,164,127,78,4026,3124,3670,2283,4598,98,115,93
PMM0664,1484,1809,1535,840,1074,2321,3264,2203,1939,595,1609,705,124,94,36,2012,1398,1752,801,2607,34,50,34
hslO,1619,1655,1393,1203,1052,1920,3794,2297,2275,833,1831,897,82,58,38,1659,1812,2251,1484,2656,34,54,39
PMM0666,238,294,198,202,178,246,2262,896,913,445,622,361,27,15,6,465,291,910,683,1091,22,15,18
PMM0667,627,818,576,407,531,827,1797,1300,1586,404,899,378,16,22,16,1026,1140,1766,1394,2267,18,23,6
rsmE,593,656,518,333,447,895,1875,1300,1550,427,919,455,24,21,10,717,954,1374,802,1707,13,24,21
PMM0669,493,532,406,332,478,779,1128,855,1022,286,843,384,26,23,13,601,694,901,621,1018,14,20,11
tesA,367,504,449,304,378,703,882,569,350,261,944,425,61,49,26,869,448,444,230,590,21,31,11
phnC,554,711,558,415,452,933,1532,1139,835,335,1197,547,71,36,26,933,721,812,540,1129,23,44,16
phnE,773,850,1012,564,690,1801,1384,1051,917,264,811,345,43,39,19,1620,1006,724,390,1008,21,31,20
phnD,3272,3295,4192,2628,2165,5817,3182,2664,2530,678,1718,679,101,74,38,6630,4922,2445,1565,3672,41,63,32
aspC,4166,5035,5780,3745,3021,8370,5522,4674,3653,822,2536,823,93,84,56,11720,6199,4524,3443,5938,40,122,58
PMM0675,570,737,575,416,365,902,1916,1389,847,342,1157,617,39,59,13,1067,541,739,437,1361,14,27,10
gcpE,2646,3173,2704,2324,2166,4289,3856,2992,2925,921,1883,805,61,91,57,4261,3902,2872,2049,3514,50,91,47
nadA,4274,4757,3055,2928,3197,4604,6489,5420,5571,1169,3159,1329,114,94,80,4049,3847,5991,3287,6427,65,106,55
PMM0679,746,951,843,658,476,1454,1071,668,763,218,515,239,38,31,23,1593,1041,652,367,918,18,25,27
PMM0680,7067,8092,3591,4986,4520,4194,837,553,638,223,540,310,67,38,26,2433,3387,629,402,858,21,30,10
PMM0681,732,1076,861,562,580,1252,2972,2360,2081,580,1555,615,83,71,53,1669,1154,2122,1653,2819,33,52,42
aroB,908,853,946,616,605,1601,2633,1799,2313,695,926,513,28,22,28,1577,1937,1913,1082,2403,34,51,29
purK,1531,1981,1968,1417,1297,3116,4474,3680,3669,872,2044,842,43,75,64,2960,2517,3946,2414,5012,52,95,60
PMM0685,6828,9847,6480,6723,7813,16734,8515,7502,9605,8280,37280,22253,2703,3197,1210,8659,7385,10019,6504,11845,661,564,607
cds-WP_011132321.1,999,1397,818,656,670,1040,2042,1589,1630,358,838,301,20,13,16,2223,1419,1702,1192,2523,18,21,10
hli22,3140,5603,2548,4164,2415,3466,2507,2075,1980,470,1358,726,127,183,96,2191,1673,1944,1184,2408,71,88,58
hli21,3780,5830,2954,3832,3240,4243,2572,1984,2090,445,1268,751,108,154,71,2406,2215,2049,1149,2625,63,83,51
PMM0691,1584,1853,1885,821,1794,3051,2521,1808,1356,463,957,435,38,25,14,3534,2492,2548,1919,3153,23,25,28
PMM0692,331,441,361,279,246,544,914,514,436,174,261,132,16,9,1,672,523,566,340,738,3,12,9
PMM0693,367,456,323,301,276,409,992,714,613,209,441,148,16,12,18,508,381,640,401,783,8,15,6
PMM0694,1531,1714,1271,1139,1026,1831,1654,1336,1052,302,681,291,33,25,18,2346,1787,1699,890,2102,22,38,28
PMM0695,993,1056,370,564,418,564,892,478,345,169,598,291,23,39,20,507,251,355,222,534,32,31,10
PMM0696,2054,2208,903,1273,1244,1326,858,462,562,185,452,228,22,28,29,826,749,491,251,755,11,18,15
PMM0697,2319,3097,1195,1469,1484,1470,1449,879,838,241,615,284,28,39,24,1058,797,820,488,1109,13,26,16
PMM0698,1970,3097,1138,1369,1342,1358,2205,1406,1147,425,637,337,23,18,19,1014,715,1232,706,1536,20,33,3
PMM0699,4001,8665,2019,2833,2272,2161,3803,1910,1557,530,828,503,28,40,21,2232,1054,1808,809,3550,22,40,14
PMM0700,3899,9965,2351,3188,2888,2749,3364,2101,1856,493,1050,554,38,47,33,2369,1202,1861,846,3809,30,49,14
PMM0701,1259,1221,1199,990,800,1943,599,568,509,154,345,125,20,11,7,1788,1552,709,287,790,7,10,5
PMM0702,421,551,403,272,338,619,1416,1238,935,202,804,337,22,30,15,675,542,788,336,1032,8,18,6
PMM0703,3605,4704,1576,2891,2469,2245,728,507,517,140,470,238,44,40,25,849,944,321,182,461,10,30,14
PMM0704,615,1005,669,504,685,955,3781,3137,3342,818,2106,866,51,55,41,1241,1064,3132,2154,3662,39,62,47
phoB,365,461,412,233,297,513,1509,953,1161,355,682,364,20,11,13,627,551,1042,713,1515,26,29,15
phoR,429,491,419,192,388,791,1416,1036,1069,272,845,360,34,39,23,696,501,699,422,977,26,27,27
PMM0707,1160,1655,839,875,785,1100,2091,1542,1119,437,1748,924,126,109,65,963,742,1342,773,1966,21,30,18
phoA,3012,3977,3601,2298,2314,4253,6065,4408,5091,1600,3875,2516,301,399,256,3621,3236,3945,3110,5221,153,118,154
oprB,7362,9356,7536,8663,3687,8419,10600,9785,9624,2666,4507,2410,200,203,149,11240,9243,8917,5361,10562,124,134,89
pstS,57144,64938,63938,39229,51907,93234,41962,46052,45976,12868,22654,9695,1513,1685,875,140843,125418,58256,51836,60657,683,699,576
chrA,404,573,373,255,319,462,619,502,351,98,356,126,25,12,12,397,231,304,158,450,14,25,8
arsJ,2237,2768,1896,1823,1471,2541,2784,2414,2083,564,1520,560,73,52,82,2625,2061,2089,1435,2921,47,81,45
gap3,1572,2152,1206,1053,1249,1726,3042,2339,1708,510,1510,642,70,65,53,1770,1253,1960,1373,2805,67,85,47
PMM0715,304,588,251,188,374,439,841,726,556,93,327,109,4,11,9,420,199,676,364,833,6,15,7
PMM0717,134,224,155,105,104,244,352,230,147,56,200,71,17,12,9,275,100,130,78,211,10,15,5
ptrA,46,99,35,17,39,61,226,115,40,22,169,75,9,13,5,88,15,52,17,86,5,2,0
PMM0719,324,587,206,302,385,319,1924,1997,1527,368,1214,487,24,27,21,357,195,1429,1250,1720,23,16,6
PMM0720,79,86,60,31,45,73,230,134,93,41,146,86,12,17,5,126,19,40,26,157,2,5,8
PMM0721,411,622,357,215,423,691,1002,777,415,114,620,319,37,30,16,513,240,429,202,734,7,17,8
PMM0722,3848,3989,4119,2999,2831,5922,4419,3893,4479,960,1955,819,98,85,33,5873,6346,4763,2524,5458,32,74,34
pstC,503,734,495,463,429,791,1708,1680,1806,410,1229,505,39,54,28,887,771,1262,814,1780,23,64,28
pstA,1270,1556,1237,1106,798,1877,2756,2939,2920,716,1448,442,34,38,32,2510,1916,2827,2075,3316,48,49,29
pstB,2116,2656,1969,1713,1544,2800,6376,6014,4588,1451,2616,976,54,65,39,3650,2696,5352,4056,6364,57,71,41
PMM0726,1443,1526,2267,1315,1261,3393,7774,7672,8788,2058,3650,1144,19,22,19,3366,3868,8680,5738,8762,58,99,58
pdeM,295,416,268,140,340,457,1121,896,695,134,490,174,12,17,4,437,282,939,633,1220,12,18,9
PMM0728,741,890,643,523,586,1036,1498,1114,963,350,1023,417,64,62,35,1047,617,855,564,1080,42,62,38
PMM0729,413,555,257,217,286,446,710,528,375,142,512,265,25,37,19,535,198,268,200,511,13,29,20
PMM0730,849,1317,594,689,1259,1216,1151,864,820,223,975,495,46,52,53,991,548,580,398,968,32,54,30
PMM0731,1455,2592,1183,1072,2448,2354,2125,1569,1778,317,1360,663,63,56,54,1556,1055,1138,833,1701,23,63,26
PMM0732,532,551,567,221,471,843,1336,755,826,261,499,289,22,14,7,766,686,685,507,1038,6,22,10
PMM0733,1085,1850,1302,603,1127,1692,6335,4245,3583,913,2388,910,39,74,35,2770,1248,3657,2920,5211,40,91,65
PMM0734,1384,2887,2071,1082,1846,2964,4914,4773,3542,705,2205,594,36,62,38,4760,2971,5163,5917,5781,46,61,51
PMM0735,98,105,106,36,76,143,394,347,231,72,154,78,4,2,1,311,152,337,150,439,2,6,3
PMM0736,1158,1429,983,978,845,1349,4787,3028,2594,802,1447,617,23,24,25,2351,1944,3854,2888,4404,17,35,21
PMM0737,820,1172,767,479,724,1149,8320,6683,4986,1136,2785,1003,34,21,24,2250,1591,6286,4592,7569,33,79,26
