GENE.NAME,CTRL0_A,CTRL0_B,CTRL0_C,TRT0_A,TRT0_B,TRT0_C,CTRL12_A,CTRL12_B,CTRL12_C,TRT12_A,TRT12_B,TRT12_C,TRT24_A,TRT24_B,TRT24_C,CTRL24_A,CTRL24_B,CTRL36_A,CTRL36_B,CTRL36_C,TRT36_A,TRT36_B,TRT36_C
CP12,6318,16702,5714,7684,8127,6542,29679,50369,54621,6987,17629,5939,121,116,106,12312,14817,70329,62122,78245,261,564,153
ecm4,624,1015,646,451,457,886,1239,976,663,110,406,174,12,11,4,874,448,711,358,1143,4,16,10
aspA,2086,2362,1583,1364,1230,2463,2855,2137,1564,444,1383,789,70,64,37,1944,1604,1840,1128,2732,23,31,32
psbA,3071096,4818156,2159518,2579292,3028628,2274271,831204,741524,896455,216341,374098,206737,16712,10303,9341,1506422,1911785,845506,530274,976133,4948,8971,2652
aroC,3968,4769,2437,3105,2758,3299,9320,6745,7313,2001,3621,1713,82,77,40,4171,4028,9763,7543,11122,79,139,93
eda,9285,11812,7227,6223,8399,9610,3248,2599,2839,587,2387,1165,152,146,64,4859,5281,2470,1659,3313,26,66,37
ftsH2,112698,137724,67891,93355,77291,81291,27859,20323,26966,6960,11033,5998,719,583,307,54318,67138,34579,24045,40437,292,417,259
sat,19869,16191,24008,13767,17319,37581,5811,4438,11383,2348,2763,1470,142,75,102,18999,44933,9356,6792,10196,96,116,32
psbO,149471,125757,151226,74019,106400,188940,48116,42805,66601,12043,20417,9191,752,501,579,203274,241474,83114,49229,99014,529,847,313
coaBC,2049,2403,2463,1337,1866,3661,4217,3577,4293,832,1754,639,30,26,34,4103,4038,4661,2517,5990,37,73,23
PMM0230,395,475,492,332,385,765,1409,848,922,322,434,205,3,6,4,1076,876,1216,729,1469,13,15,5
PMM0231,1541,2267,1573,1463,1004,1655,4711,2257,1466,693,716,344,13,6,9,2734,1926,3401,3049,3902,25,25,15
PMM0232,1191,1843,1326,1084,925,1644,3580,1917,1455,554,686,337,18,14,11,2200,1482,2685,1658,3301,19,23,20
